,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,gs3,pa,p1
NARS_S1,0.0,0.0,0.0,0.145,0.0067,0.0018,0.0018,0.0,0.3672,0.4908,0.2911
NARS_S2,0.0,0.0,0.0,0.2679,0.0992,0.1157,0.1335,0.0001,0.0511,0.9457,0.7137
NARS_S3,0.0,0.0,0.0,0.2941,0.029,0.4434,0.7581,0.0,0.0809,0.5059,0.9057
BFI_S1,0.145,0.2679,0.2941,0.0,0.0097,0.0002,0.0,0.0047,0.0525,0.4758,0.4567
BFI_S2,0.0067,0.0992,0.029,0.0097,0.0,0.0,0.0002,0.0007,0.0034,0.2167,0.2363
BFI_S3,0.0018,0.1157,0.4434,0.0002,0.0,0.0,0.0,0.1096,0.0703,0.8305,0.7989
BFI_S4,0.0018,0.1335,0.7581,0.0,0.0002,0.0,0.0,0.4585,0.6814,0.8624,0.9556
BFI_S5,0.0,0.0001,0.0,0.0047,0.0007,0.1096,0.4585,0.0,0.2686,0.3566,0.1616
gs3,0.3672,0.0511,0.0809,0.0525,0.0034,0.0703,0.6814,0.2686,0.0,0.4351,0.7143
pa,0.4908,0.9457,0.5059,0.4758,0.2167,0.8305,0.8624,0.3566,0.4351,0.0,0.0
p1,0.2911,0.7137,0.9057,0.4567,0.2363,0.7989,0.9556,0.1616,0.7143,0.0,0.0
