,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,gs3,pa,p1
NARS_S1,0.0,0.0,0.0,0.1769,0.0008,0.0,0.0003,0.0,0.0457,0.6798,0.1145
NARS_S2,0.0,0.0,0.0,0.0593,0.0077,0.0017,0.0205,0.0,0.001,0.945,0.4734
NARS_S3,0.0,0.0,0.0,0.0049,0.0014,0.535,0.9811,0.0,0.0005,0.8168,0.5797
BFI_S1,0.1769,0.0593,0.0049,0.0,0.0,0.0,0.0,0.0,0.101,0.1951,0.6563
BFI_S2,0.0008,0.0077,0.0014,0.0,0.0,0.0,0.0,0.0,0.0347,0.4337,0.1774
BFI_S3,0.0,0.0017,0.535,0.0,0.0,0.0,0.0,0.0,0.1936,0.7682,0.7457
BFI_S4,0.0003,0.0205,0.9811,0.0,0.0,0.0,0.0,0.0127,0.4494,0.1902,0.5846
BFI_S5,0.0,0.0,0.0,0.0,0.0,0.0,0.0127,0.0,0.1956,0.1218,0.4481
gs3,0.0457,0.001,0.0005,0.101,0.0347,0.1936,0.4494,0.1956,0.0,0.8415,0.1449
pa,0.6798,0.945,0.8168,0.1951,0.4337,0.7682,0.1902,0.1218,0.8415,0.0,0.0
p1,0.1145,0.4734,0.5797,0.6563,0.1774,0.7457,0.5846,0.4481,0.1449,0.0,0.0
