,group1,group2,r,p
0,1.0,2.0,,1.0
0,1.0,2.0,,1.0
0,1.0,2.0,,1.0
0,1.0,2.0,,1.0
0,1.0,2.0,,1.0
0,1.0,2.0,,1.0
0,0.0,1.0,-0.050242590620093106,0.5922298638514498
0,0.0,1.0,-0.037372336167738135,0.6904145886517423
0,0.0,1.0,-0.0731601626194004,0.43511285782685527
0,0.0,1.0,0.09224123358090586,0.3247168998972654
0,0.0,1.0,-0.10541935622107423,0.260061126520773
0,0.0,1.0,1.0,0.0
0,0.0,2.0,-0.11351873436680626,0.23550603389310137
0,0.0,2.0,0.019307576128943512,0.8405938145321972
0,0.0,2.0,0.042577111250340464,0.6572587110696972
0,0.0,2.0,0.024593207914674873,0.7977877696625653
0,0.0,2.0,0.0651461875736396,0.49694132973639726
0,0.0,2.0,1.0,0.0
0,0.0,3.0,-0.08079339535383488,0.22530636209502544
0,0.0,3.0,-0.008573595912174293,0.89778219199616
0,0.0,3.0,-0.013737146140321569,0.8369173925057781
0,0.0,3.0,0.057328986509566644,0.3899615179956607
0,0.0,3.0,-0.016488734435882058,0.8048516060058348
0,0.0,3.0,1.0,0.0
0,all,Not03,0.03231642624949221,0.40646730368324435
