,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,dep,gs3,pa,p1
51,26.0,23.0,15.0,3.0,1.8888888888888888,3.4444444444444446,4.375,4.5,12,-3.0,0.0,0.0
52,20.0,23.0,15.0,3.25,4.4444444444444455,4.888888888888889,1.625,3.1,12,-1.0,0.0,0.0
53,12.0,10.0,6.0,2.0,4.777777777777779,4.888888888888889,1.0,4.1,12,0.8000000000000003,0.0,0.0
54,23.0,25.0,15.0,3.0,4.666666666666667,4.222222222222221,1.0,4.6,12,-2.0,0.0,0.0
55,13.0,13.0,6.0,4.0,4.111111111111111,4.0,1.875,3.6,12,1.4000000000000004,0.0,0.0
56,16.0,17.0,12.0,1.75,3.333333333333333,3.6666666666666665,2.625,4.6,12,1.0,0.0,0.0
57,19.0,18.0,7.0,3.0,3.0,3.0,3.125,3.3,12,2.6,0.0,0.0
58,24.0,22.0,13.0,1.875,4.0,2.555555555555556,4.625,4.2,12,0.3999999999999999,0.0,0.0
59,10.0,13.0,9.0,1.25,2.6666666666666665,4.777777777777779,4.625,3.2,12,0.5999999999999996,0.0,0.0
60,7.0,11.0,5.0,4.0,4.333333333333333,3.555555555555556,1.75,5.0,12,-1.0,0.0,0.0
61,16.0,14.0,6.0,2.625,4.666666666666667,4.888888888888889,1.625,3.1,12,0.0,0.0,0.0
62,21.0,16.0,15.0,3.125,4.333333333333333,4.111111111111111,1.75,2.6,12,0.20000000000000018,0.0,0.0
63,15.0,18.0,8.0,2.5,4.0,4.666666666666667,3.5,3.3,12,-0.3999999999999999,0.0,0.0
64,7.0,9.0,7.0,3.75,4.222222222222221,4.888888888888889,2.875,4.3,12,-0.40000000000000036,0.0,0.0
65,12.0,16.0,13.0,2.5,4.0,4.222222222222221,1.0,3.8,12,-1.0,0.0,0.0
66,9.0,16.0,9.0,1.375,3.333333333333333,2.2222222222222223,4.5,3.7,12,-0.7999999999999998,0.0,0.0
67,15.0,18.0,10.0,4.625,4.777777777777779,5.0,1.625,3.7,12,1.0,0.0,0.0
68,15.0,14.0,8.0,1.625,3.888888888888889,3.0,3.0,3.4,12,-0.19999999999999973,0.0,0.0
69,15.0,19.0,12.0,3.625,4.222222222222221,4.222222222222221,1.25,3.9,12,1.0,0.0,0.0
70,25.0,19.0,7.0,3.625,3.555555555555556,3.555555555555556,3.375,3.7,12,1.4,0.0,0.0
71,18.0,17.0,9.0,3.0,3.6666666666666665,3.4444444444444446,2.875,3.1,12,-1.3999999999999995,0.0,0.0
72,7.0,7.0,3.0,4.75,5.0,5.0,1.0,4.4,12,-0.6000000000000005,0.0,0.0
73,12.0,20.0,13.0,1.25,4.777777777777779,5.0,1.0,2.2,12,1.4,0.0,0.0
74,8.0,13.0,6.0,2.625,4.111111111111111,4.0,3.25,4.9,12,0.0,0.0,0.0
75,14.0,16.0,9.0,3.75,3.4444444444444446,4.777777777777779,1.875,4.6,12,-0.3999999999999999,0.0,0.0
76,12.0,12.0,6.0,2.5,4.111111111111111,4.0,2.0,3.6,12,0.7999999999999998,0.0,0.0
77,13.0,13.0,9.0,1.875,3.888888888888889,3.111111111111111,1.375,2.8,12,2.0,0.0,0.0
78,16.0,15.0,7.0,1.75,2.555555555555556,3.7777777777777777,4.25,3.8,12,-0.6000000000000001,0.0,0.0
79,17.0,20.0,10.0,2.75,3.111111111111111,4.222222222222221,2.625,4.1,12,-0.40000000000000036,0.0,0.0
80,10.0,12.0,7.0,3.5,3.6666666666666665,4.666666666666667,1.125,3.7,12,0.19999999999999973,0.0,0.0
81,20.0,18.0,10.0,1.25,4.333333333333333,3.2222222222222223,2.625,2.3,12,-0.6000000000000001,0.0,0.0
82,14.0,12.0,8.0,3.125,4.888888888888889,5.0,1.125,3.9,12,2.4,0.0,0.0
83,22.0,18.0,11.0,3.75,4.5555555555555545,4.4444444444444455,1.875,4.3,12,1.2000000000000002,0.0,0.0
84,14.0,16.0,9.0,2.25,3.333333333333333,3.333333333333333,3.375,3.8,12,-1.0,0.0,0.0
85,8.0,6.0,5.0,3.375,3.6666666666666665,4.666666666666667,1.875,4.5,12,0.3999999999999999,0.0,0.0
86,16.0,18.0,8.0,2.625,3.2222222222222223,4.333333333333333,3.25,3.9,12,0.3999999999999999,0.0,0.0
87,8.0,11.0,12.0,2.75,2.888888888888889,4.111111111111111,3.375,4.0,12,0.7999999999999998,0.0,0.0
88,17.0,20.0,14.0,3.25,4.111111111111111,5.0,1.625,4.7,12,-1.0,0.0,0.0
89,13.0,19.0,10.0,1.5,2.6666666666666665,4.333333333333333,2.875,4.9,12,-3.0,0.0,0.0
90,20.0,11.0,9.0,2.5,3.333333333333333,3.333333333333333,2.875,2.9,12,-0.3999999999999999,0.0,0.0
91,16.0,12.0,9.0,1.375,4.666666666666667,4.666666666666667,2.375,2.7,12,0.0,0.0,0.0
92,13.0,19.0,11.0,2.0,1.7777777777777777,2.555555555555556,2.75,5.0,12,2.0,0.0,0.0
93,12.0,16.0,8.0,1.5,4.666666666666667,4.4444444444444455,3.375,3.6,12,0.8000000000000003,0.0,0.0
94,26.0,25.0,15.0,4.875,4.4444444444444455,5.0,1.0,4.3,12,0.5999999999999996,0.0,0.0
95,16.0,11.0,14.0,1.125,3.555555555555556,4.666666666666667,2.625,3.9,12,-1.4,0.0,0.0
96,11.0,15.0,8.0,4.5,4.111111111111111,4.888888888888889,1.25,4.6,12,-1.4,0.0,0.0
97,8.0,9.0,7.0,1.375,3.7777777777777777,3.7777777777777777,1.5,2.4,12,0.3999999999999999,0.0,0.0
98,19.0,20.0,13.0,2.25,3.6666666666666665,3.6666666666666665,3.625,2.3,12,-0.20000000000000018,0.0,0.0
99,18.0,15.0,9.0,3.25,3.0,3.6666666666666665,2.5,3.2,12,-1.0,0.0,0.0
100,13.0,12.0,7.0,3.5,3.333333333333333,3.888888888888889,2.5,4.0,12,-1.0,0.0,0.0
101,18.0,21.0,11.0,2.75,3.888888888888889,4.0,2.75,4.5,12,-1.2000000000000002,0.0,0.0
102,15.0,21.0,8.0,4.375,4.333333333333333,5.0,1.375,4.3,12,-2.0,0.0,0.0
103,19.0,17.0,10.0,3.25,3.555555555555556,3.6666666666666665,2.875,2.7,12,-0.20000000000000018,0.0,0.0
104,13.0,16.0,14.0,3.375,2.6666666666666665,3.0,2.875,2.7,12,-0.6000000000000001,0.0,0.0
105,18.0,20.0,8.0,3.125,3.333333333333333,3.2222222222222223,3.0,3.8,12,2.8,0.0,0.0
106,19.0,19.0,13.0,1.5,3.0,3.555555555555556,3.125,3.7,12,-0.8000000000000003,0.0,0.0
107,14.0,11.0,6.0,1.5,3.7777777777777777,4.888888888888889,2.0,3.1,12,-0.7999999999999998,0.0,0.0
108,6.0,7.0,5.0,2.875,4.333333333333333,4.777777777777779,1.0,4.8,12,-0.3999999999999999,0.0,0.0
109,7.0,13.0,7.0,2.625,3.2222222222222223,4.888888888888889,1.75,3.9,12,0.0,0.0,0.0
110,17.0,14.0,6.0,1.5,3.6666666666666665,3.7777777777777777,4.25,3.9,12,-3.2,0.0,0.0
111,19.0,21.0,10.0,3.625,4.111111111111111,4.0,2.625,4.2,12,-0.7999999999999998,0.0,0.0
112,12.0,17.0,9.0,2.25,4.222222222222221,4.111111111111111,2.5,3.2,12,-2.0,0.0,0.0
113,14.0,18.0,12.0,1.5,3.7777777777777777,3.2222222222222223,4.0,2.7,12,-1.5999999999999996,0.0,0.0
114,11.0,18.0,10.0,2.375,3.7777777777777777,4.4444444444444455,2.5,2.8,12,-1.6,0.0,0.0
115,18.0,16.0,12.0,3.5,3.0,3.2222222222222223,2.625,3.2,12,-1.2000000000000002,0.0,0.0
116,6.0,16.0,6.0,1.625,3.0,4.333333333333333,4.625,4.3,12,0.8000000000000003,0.0,0.0
117,9.0,11.0,3.0,4.375,4.777777777777779,4.5555555555555545,1.5,4.7,12,-0.20000000000000018,0.0,0.0
118,11.0,10.0,6.0,4.625,4.222222222222221,3.7777777777777777,1.875,4.2,12,1.0,0.0,0.0
119,17.0,18.0,12.0,2.125,3.2222222222222223,2.888888888888889,1.625,2.5,12,0.5999999999999996,0.0,0.0
120,6.0,7.0,9.0,2.5,4.333333333333333,4.4444444444444455,1.875,3.8,12,-2.0,0.0,0.0
121,14.0,14.0,9.0,3.375,4.333333333333333,4.4444444444444455,1.625,4.0,12,0.3999999999999999,0.0,0.0
122,13.0,13.0,6.0,2.125,3.0,3.6666666666666665,3.625,3.8,12,0.19999999999999973,0.0,0.0
123,16.0,21.0,13.0,2.75,3.888888888888889,4.0,2.0,4.3,12,-1.7999999999999998,0.0,0.0
124,13.0,15.0,9.0,2.75,3.4444444444444446,3.333333333333333,2.5,4.1,12,0.5999999999999996,0.0,0.0
125,14.0,14.0,8.0,2.0,2.555555555555556,4.666666666666667,3.125,3.6,12,0.6000000000000001,0.0,0.0
126,9.0,10.0,11.0,1.75,2.0,3.4444444444444446,2.5,4.4,12,-2.0000000000000004,0.0,0.0
127,16.0,14.0,8.0,4.375,4.4444444444444455,4.111111111111111,1.375,3.3,12,-1.2000000000000002,0.0,0.0
128,22.0,20.0,11.0,2.25,3.555555555555556,4.888888888888889,3.625,3.3,12,-0.3999999999999999,0.0,0.0
129,18.0,21.0,13.0,1.875,2.333333333333333,3.2222222222222223,4.25,4.6,12,0.20000000000000018,0.0,0.0
