,deployment,measurement,statistics,p_value
0,ih,GODSPEED1_S1,0.015259800404547427,4472.5
0,ih,GODSPEED1_S2,0.11051586049947454,4877.5
0,ih,GODSPEED1_S3,0.03912168372746504,4646.0
0,ih,GODSPEED1_S4,0.05085760790481236,4699.5
0,ih,GODSPEED1_S5,0.06185384689692839,4744.5
0,rh,GODSPEED1_S1,7.19958832154123e-05,4791.5
0,rh,GODSPEED1_S2,0.014657885419277235,5616.0
0,rh,GODSPEED1_S3,0.0025364457116581023,5301.5
0,rh,GODSPEED1_S4,3.9422853313889166e-08,3993.5
0,rh,GODSPEED1_S5,0.0009695781204764606,5158.0
0,ri,GODSPEED1_S1,0.46697706372067,6120.5
0,ri,GODSPEED1_S2,0.369508912902193,6001.0
0,ri,GODSPEED1_S3,0.44331360795865465,6092.0
0,ri,GODSPEED1_S4,0.13582322515959833,5636.0
0,ri,GODSPEED1_S5,0.4255068968536953,6071.0
