,question,rationality,preference,zscore,zprob,binomal,num_users,sig,deployment
0,Q5.1,rational,70,1.1624826138617292,1.0,0.007584811775431663,111,True,rational_irrational
1,Q5.1,irrational,41,-1.1624826138617292,1.0,0.007584811775431663,111,True,rational_irrational
2,Q7.1,rational,83,2.204708405599831,1.0,1.6752020995667599e-07,111,True,rational_irrational
3,Q7.1,irrational,28,-2.204708405599831,1.0,1.6752020995667599e-07,111,True,rational_irrational
4,Q10.1,rational,69,1.0823113991126443,1.0,0.013233607758826317,111,True,rational_irrational
5,Q10.1,irrational,42,-1.0823113991126443,1.0,0.013233607758826317,111,True,rational_irrational
6,Q12.1,irrational,72,1.3228250433598987,1.0,0.002238345717908815,111,True,rational_irrational
7,Q12.1,rational,39,-1.3228250433598987,1.0,0.002238345717908815,111,True,rational_irrational
8,Q14.1,irrational,62,0.521112895869051,1.0,0.25460512309379413,111,False,rational_irrational
9,Q14.1,rational,49,-0.521112895869051,1.0,0.25460512309379413,111,False,rational_irrational
10,Q16.1,rational,64,0.6814553253672205,1.0,0.12847543208575984,111,False,rational_irrational
11,Q16.1,irrational,47,-0.6814553253672205,1.0,0.12847543208575984,111,False,rational_irrational
12,Q18.1,irrational,69,1.0823113991126443,1.0,0.013233607758826317,111,True,rational_irrational
13,Q18.1,rational,42,-1.0823113991126443,1.0,0.013233607758826317,111,True,rational_irrational
14,investments,rational,57,0.12025682212362715,1.0,0.8495501873144535,111,False,rational_irrational
15,investments,irrational,54,-0.12025682212362715,1.0,0.8495501873144535,111,False,rational_irrational
16,analyst,rational,59,0.2805992516217967,1.0,0.5692202278035754,111,False,rational_irrational
17,analyst,irrational,52,-0.2805992516217967,1.0,0.5692202278035754,111,False,rational_irrational
18,jury,rational,65,0.7616265401163053,1.0,0.08708912722374854,111,False,rational_irrational
19,jury,irrational,46,-0.7616265401163053,1.0,0.08708912722374854,111,False,rational_irrational
20,bartender,irrational,57,0.12025682212362715,1.0,0.8495501873144535,111,False,rational_irrational
21,bartender,rational,54,-0.12025682212362715,1.0,0.8495501873144535,111,False,rational_irrational
22,prefer,rational,62,0.521112895869051,1.0,0.25460512309379413,111,False,rational_irrational
23,prefer,irrational,49,-0.521112895869051,1.0,0.25460512309379413,111,False,rational_irrational
0,Q5.1,rational,94,1.107299253457557,1.0,8.656167708687353e-12,116,True,rational_half
1,Q5.1,half,22,-1.107299253457557,1.0,8.656167708687353e-12,116,True,rational_half
2,Q7.1,rational,99,1.2610908164377732,1.0,2.9566626383126724e-15,116,True,rational_half
3,Q7.1,half,17,-1.2610908164377732,1.0,2.9566626383126724e-15,116,True,rational_half
4,Q10.1,rational,80,0.6766828771129515,1.0,5.4004505269050944e-05,116,True,rational_half
5,Q10.1,half,36,-0.6766828771129515,1.0,5.4004505269050944e-05,116,True,rational_half
6,Q12.1,rational,83,0.7689578149010813,1.0,3.865427244352973e-06,116,True,rational_half
7,Q12.1,half,33,-0.7689578149010813,1.0,3.865427244352973e-06,116,True,rational_half
8,Q14.1,rational,81,0.7074411897089947,1.0,2.332238289572828e-05,116,True,rational_half
9,Q14.1,half,35,-0.7074411897089947,1.0,2.332238289572828e-05,116,True,rational_half
10,Q16.1,rational,73,0.46137468894064876,1.0,0.006831631268294269,116,True,rational_half
11,Q16.1,half,43,-0.46137468894064876,1.0,0.006831631268294269,116,True,rational_half
12,Q18.1,rational,96,1.1688158786496434,1.0,4.248735618228403e-13,116,True,rational_half
