,Rationality,Color,Side,Investments,Analyst,Jury,Bartender,Prefer,Gender,Education,Age,Userid,Interactions,Social_influence,Emotions,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Anthropomorphism,Animacy,Likability,Intelligence,Safety,Agreement
0,0,0,1,0,0,0,0,0,0.0,3,21,R_0H64w76ZrUPXO8h,10.0,11.0,8.0,3.375,3.111111111111111,2.4444444444444446,3.875,4.6,-0.6000000000000001,-1.5,-0.19999999999999973,3.4,-0.3333333333333335,0.7142857142857143
1,0,0,0,0,0,0,0,0,1.0,4,31,R_0OsmavzUJoQgAMN,17.0,19.0,9.0,3.125,3.333333333333333,3.555555555555556,2.625,3.1,-0.6000000000000005,-1.333333333333333,-1.2000000000000002,-0.6000000000000005,-0.33333333333333304,0.14285714285714285
2,0,1,1,0,0,0,0,0,0.0,5,28,R_0PnrauMTvq3YuaJ,8.0,13.0,10.0,2.25,3.555555555555556,3.7777777777777777,2.625,3.8,-0.19999999999999973,-0.3333333333333335,0.0,0.20000000000000018,0.3333333333333335,0.0
3,0,1,0,2,2,2,0,2,1.0,4,35,R_0eX2BNs7YLJBIuB,13.0,16.0,10.0,1.25,3.2222222222222223,2.7777777777777777,4.375,3.4,-0.20000000000000018,0.6666666666666665,0.5999999999999996,0.3999999999999999,0.666666666666667,-0.7142857142857143
4,0,1,1,0,0,0,0,0,1.0,2,59,R_11bFr4TFkEncfHl,16.0,19.0,9.0,4.375,4.5555555555555545,4.666666666666667,1.625,3.4,0.6000000000000001,-0.16666666666666696,1.4,1.0,0.33333333333333304,0.14285714285714285
5,0,1,0,0,0,0,2,0,1.0,3,30,R_123UE2TeFwICMCc,9.0,13.0,7.0,4.625,4.888888888888889,3.111111111111111,2.75,4.7,-0.7999999999999998,-0.6666666666666665,0.40000000000000036,1.7999999999999998,0.0,0.42857142857142855
6,0,1,0,0,0,0,0,0,0.0,4,57,R_125wO6seSa3pbes,15.0,15.0,11.0,4.25,4.5555555555555545,4.5555555555555545,2.25,2.9,-0.19999999999999973,-1.0000000000000004,-1.6,-1.2000000000000002,-1.9999999999999998,0.14285714285714285
7,0,0,0,0,0,0,0,0,1.0,4,41,R_12RbAf7ksUHbWTR,9.0,16.0,6.0,3.625,4.888888888888889,4.888888888888889,1.0,3.6,1.2000000000000002,0.4999999999999998,1.4,1.1999999999999997,2.666666666666667,0.14285714285714285
8,0,0,1,0,0,1,1,0,0.0,3,23,R_1BQOs3xU6cpI7T0,13.0,15.0,6.0,3.25,4.333333333333333,4.666666666666667,2.375,2.7,1.0,0.666666666666667,0.7999999999999998,1.2000000000000002,0.6666666666666665,0.42857142857142855
9,0,1,0,0,0,1,1,0,0.0,7,38,R_1Cejvqvgn5Gp0vZ,9.0,16.0,7.0,3.0,3.7777777777777777,4.5555555555555545,1.375,4.2,-0.7999999999999998,0.0,-0.3999999999999999,0.0,0.33333333333333304,0.7142857142857143
