,rationality,color,side,Q5.1,Q7.1,Q10.1,Q12.1,Q14.1,Q16.1,Q18.1,investments,analyst,jury,bartender,prefer,gender,education,age,userID,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,GODSPEED1_S1,GODSPEED1_S2,GODSPEED1_S3,GODSPEED1_S4,GODSPEED1_S5,preference_average
0,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,4,33,R_12hhbwziTC4ZkC4,13.0,16.0,14.0,3.375,2.6666666666666665,3.0,2.875,2.7,2.0,3.6666666666666665,4.0,4.2,4.666666666666667,0.0
1,2,1,1,2,1,1,2,1,1,2,1,1,1,2,1,1,2,33,R_3MnAo5QmQVG29YL,18.0,20.0,8.0,3.125,3.3333333333333335,3.2222222222222223,3.0,3.8,2.4,2.6666666666666665,3.8,3.2,3.3333333333333335,0.0
2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,0,4,35,R_3m9s30iSY9IKK9B,19.0,19.0,13.0,1.5,3.0,3.5555555555555554,3.125,3.7,1.8,2.5,2.8,4.2,3.0,0.0
3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,0,7,42,R_11cF5e3BWJ8DOPL,14.0,11.0,6.0,1.5,3.7777777777777777,4.888888888888889,2.0,3.1,1.0,2.0,3.0,3.0,3.6666666666666665,0.0
4,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,0,4,43,R_2tfZBWrT8dfV9hi,6.0,7.0,5.0,2.875,4.333333333333333,4.777777777777778,1.0,4.8,1.0,2.0,3.0,1.8,3.6666666666666665,0.0
5,2,1,1,1,1,2,2,2,1,2,1,1,1,2,1,1,2,29,R_BJSNJcWfSXQjqE1,7.0,13.0,7.0,2.625,3.2222222222222223,4.888888888888889,1.75,3.9,1.0,1.5,2.8,3.4,3.3333333333333335,0.0
6,2,1,1,1,2,2,1,2,2,1,2,1,1,2,2,1,2,32,R_1mlwkBoBWdMtWPu,17.0,14.0,6.0,1.5,3.6666666666666665,3.7777777777777777,4.25,3.9,3.6,3.8333333333333335,1.0,1.0,1.0,0.0
7,2,1,1,2,1,2,1,2,2,2,2,2,2,1,2,1,3,26,R_2rCkrqlunJAOgUD,19.0,21.0,10.0,3.625,4.111111111111111,4.0,2.625,4.2,2.4,2.3333333333333335,2.4,1.6,3.6666666666666665,0.0
8,2,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,4,31,R_296LPMFfESaX47X,12.0,17.0,9.0,2.25,4.222222222222222,4.111111111111111,2.5,3.2,4.0,4.0,4.2,3.6,3.3333333333333335,0.0
9,2,1,1,2,1,1,1,2,2,1,2,2,2,1,2,0,4,23,R_1rHqnJ6y1Vk7JyH,14.0,18.0,12.0,1.5,3.7777777777777777,3.2222222222222223,4.0,2.7,4.0,3.3333333333333335,3.8,4.2,3.0,0.0
