,rationality,color,side,Q5.1,Q7.1,Q10.1,Q12.1,Q14.1,Q16.1,Q18.1,investments,analyst,jury,bartender,prefer,gender,education,age,userID,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,GODSPEED1_S1,GODSPEED1_S2,GODSPEED1_S3,GODSPEED1_S4,GODSPEED1_S5,preference_average
0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,7,37,R_2fwWymlJrfVh3SC,6.0,10.0,8.0,4.625,5.0,5.0,1.125,4.6,2.4,3.1666666666666665,5.0,5.0,3.3333333333333335,0.42857142857142855
1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,32,R_3MDyFl7SXwGlfUi,10.0,20.0,13.0,3.0,2.888888888888889,5.0,1.125,3.2,1.0,1.6666666666666667,2.8,3.8,4.0,0.7142857142857143
2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,29,R_1oklEFUUXdXoCIs,13.0,13.0,7.0,3.0,3.7777777777777777,3.7777777777777777,2.125,3.3,3.8,3.5,4.0,4.0,3.6666666666666665,0.7142857142857143
3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2,46,R_bvxDNT0B8LUyW5P,21.0,18.0,12.0,2.0,3.2222222222222223,3.3333333333333335,4.0,2.3,3.0,3.3333333333333335,3.0,3.2,3.0,0.14285714285714285
4,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,4,35,R_2w4EgoJ8AVydxdy,6.0,6.0,6.0,3.75,1.4444444444444444,5.0,1.0,3.9,1.8,2.3333333333333335,3.0,2.4,3.0,0.14285714285714285
5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,30,R_1qgOW38YevjYc4Y,13.0,18.0,9.0,2.625,3.888888888888889,4.0,2.25,2.6,3.8,4.0,4.0,4.0,3.3333333333333335,0.0
6,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,38,R_30cqnT68XKtYGfh,8.0,10.0,4.0,2.0,4.111111111111111,4.0,2.5,4.6,2.0,2.0,3.0,2.0,3.0,0.42857142857142855
7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,23,R_3oyZMxNSCZTNGzn,16.0,15.0,10.0,2.625,3.7777777777777777,3.4444444444444446,2.875,3.2,2.6,3.3333333333333335,3.4,3.2,4.333333333333333,0.0
8,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,22,R_vIfUBtuxCLd1YPL,14.0,14.0,9.0,2.625,3.2222222222222223,3.6666666666666665,2.0,3.8,1.0,1.3333333333333333,3.0,2.4,2.3333333333333335,0.7142857142857143
9,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,50,R_vCSc9egjQy6RPDH,9.0,12.0,7.0,3.5,3.2222222222222223,2.4444444444444446,3.75,4.7,2.6,3.6666666666666665,4.2,4.0,2.3333333333333335,0.42857142857142855
