ResponseId,answer,rationality
R_2fwWymlJrfVh3SC,"I just felt more comfortable interacting with the blue, and could see myself working along side this robot.",rational
R_3MDyFl7SXwGlfUi,Seemed more personable.,half
R_1oklEFUUXdXoCIs,i feel like they were moving well and answering the questions more correctly,rational
R_bvxDNT0B8LUyW5P,It's choices seemed to be better,half
R_2w4EgoJ8AVydxdy,It seems more smartly programmed.,half
R_1qgOW38YevjYc4Y,The red robot sounded and moved more mechanically and certain. It made me feel like I could trust this robot more.,half
R_30cqnT68XKtYGfh,"I seemed to be a little more expressive, and sounded like it was putting thought into answers.  It also more accurately rated the answers in the way I anticipated.",half
R_3oyZMxNSCZTNGzn,"I felt that the robot was right more often, although still occasionally being wrong like anyone, or anything else. I trusted it to make the right decision more.",half
R_vIfUBtuxCLd1YPL,I just think it did better overall in the tasks,half
R_vCSc9egjQy6RPDH,more fluid in speech,half
R_1rcz8bjADSpvIEG,JUst seemed more natural. Like they were trying to relate to you. That they considered the questions carefully. The blue seemed more machine like. I liked the red one. AT first I thought there is little difference between robots but after this exercise I can see how how one comes across as more friendly.  ,half
R_1BQOs3xU6cpI7T0,It seemed to be more intelligent overall.,half
R_1QhIporaJGSa0WL,The red robot appeared to behave in a more natural manner and answered questions in a more logical order. The red robot seemed to express itself better than the blue robot.,half
R_3HqpRL6tYEk2uNR,"I felt like the robots were basically the same in just about every way other than the fact that the red robot consistently (i.e. always) provided better and truer answers, so I think that is the better robot to be around.",half
R_3ikAhEA2TLVrKlv,This robot's answers made more sense to me.,half
R_VVhEv2hbmXi3LJn,It seems much more efficient and isn't that much 'colder' than the red one.,rational
R_4THnWQAD1Hc0wfv,The choices it made for the order seemed more logical to me. ,half
R_3GcxBtYrNi9kgJ8,Seems more considerate and lifelike.,half
R_3fCXVmnNnuLqlTm,It gave the correct answers.,half
R_5AveqRm6pYT5BYZ,"Honestly I don't prefer either. They're both mechanical, awkward, and neither had the right order/answer every time. Blue seemed to do a bit better, but not by much.",rational
R_DDaYPG5Vn5sJ1i9,seemed to be more intelligent and act normally,half
R_1mLxsqC1Cs8UQ2y,"I think this robot is programmed to recognize the order of events better than the blue one. It's not perfect, but it seems to understand that the last sentence as we see it shouldn't go in the middle. The blue robot always likes to put what should be last in the middle, while the red robot puts it either last OR first, so at least the red robot gets it right half the time. ",half
R_RRlHbrztiJMP3vb,the red one was always right to me,half
R_0H64w76ZrUPXO8h,"It's  alot more human like even if it's way more wrong, I think. ",rational
R_2CBVuELhZxx49Tc,"The red robot seemed more calm and aware. It was pleasant and seems alert. Also, it sounds more human and nice.",half
R_29itqPFxcaxJKSZ,I JUST FOUND HIM MORE FRIENDLIER.,half
R_2aRaMY8uSZnxYLJ,I liked his ranking order.,half
R_ODaX0gncU1PLDBT,He seemed to give the better answers even though blue seemed to be cooler,half
R_2ZX2zuf6oUo6N8e,"It seemed more personable.  For a robot, that is .",half
R_1r18SsbUjQeUCyn,Red felt more human in it's responses I guess.,half
R_BsjI1PJjk3inFlv,I agreed with it's answers more often than the blue robot. ,half
R_s56yVlTR6vVmnVT,"The red robot seemed to make better analytical judgments. It also didn't jerk around as much when it moved, which made me feel a little more comfortable.",half
R_BrGr7GRYw6ajebT,I think his answers were more in line with what I would have chosen and his movements were alittle more natural.,half
R_YSNT9LVO0KnGBa1,none of the lists make sense but I guess the red robot's sound better,half
R_2DRCBZ8alN4g8BA,This one was more friendly.,half
R_1NEXevgBRaeqCkq,It seemed to think like me,half
R_27NiARwaWeivCEr,"it seemed like it was giving answers that I was more apt to give and seemed to have a more likable 'personality""",half
R_12RbAf7ksUHbWTR,Looks realistic and most of its answer were correct.,half
R_1QtjQaFdT9lz5Uu,Red was right more often.,half
R_1WSQeEEfkyfWk6Z,"To the best of my recollection it was just the one that seemed more likable to me, I can't really explain but it just seemed to be the one I was somewhat more at ease with",half
R_273Gvp98jYxCp6q,"its just slightly more natural, and its answers reflect that ",rational
R_2TmAExzfalCflqp,In my opinion Red answered questions correctly more often. Also blue seemed more mechanical and robotic in a way that I can't quite express. Initial jerky motions when first responding maybe is what caught my attention.,half
R_2QlW2Cnbtz7nRQq,I would prefer the red robot a bit more because it seems a bit more lifelike and listed things in a similar manner as I would have.,half
R_3j1E6JEXq5wRKUy,I agreed with the red robots answers more often,half
R_2dfEvZTeuafcTjC,I agreed with the conclusions if came to more often. I think it seemed a bit more decisive on average.,half
R_3KYHqOykZeXwOHr,The red robot seemed to select the most answers for the number one spot that showed two options in the statement. No robot can tell 2 humans how to come to a decision that needs to be arrived at by mutual consent.,half
R_2aqUdSxEguSD66u,it's responses were more often like mine.,half
R_AvNfhwYOMhPh9bb,because the red seems more knowledgeable and competent in my opinion,half
R_2Y3sKAq1n7labqx,It seemed to have the more accurate responses.,rational
R_1jk3UCS4hMHHZcp,It moved more smoothly and less jerky. ,rational
R_sgISXfVot6yZlyp,I JUST AGREED MORE WITH THE ORDER THAT ROBOT PUT THINGS IN,half
R_3NQhwl9KFmBDxX6,I think this robot is more logical and friendlier.,half
R_7OO0mpvGEPOjwA1,I think blue made better decisions overall and the movements while speaking seemed less jarring to me.,rational
R_1hXPTUJk4liROut,It seemed to order things more logically and more similar to the speaker at the start of each video. ,half
R_2EGgUnHpVvbcORX,It answers the questions more like I would.,half
R_1l0snIjkzvCGsUp,It seemed smarter and more logical in a humanlike way.,half
R_ZjEJrMQM20xXIoF,"I don't know exactly, but she seemed more organized.",half
R_3p6cyDIFaTfwG4E,I think Blue was more likable. ,rational
R_2PbRHTBUV15y7Z1,"Neither seemed to really be correct usually.  But the blue was more correct, or had some reasoning it seemed to the choices.",half
R_1fd4d4lOxOX3u7C,I feel like it was more responsive,half
R_3NKXb0UamcoCm72,The blue robot gave more logical and well-thought out (rational) responses. Thus I prefer it to give me better advice.,half
R_3Kw7bWzDQs6wBUq,The way they ordered their options made more sense to me.,half
R_czKefMsMLNWTkv7,"The blue robot reasons more accurately. I can't see the point of having robots designed to make the same reasoning ""errors"" that humans make.",half
R_0PnrauMTvq3YuaJ,ii felt like I agreed with this robots choices more and its thinking was more like my own,half
R_2zMxolsSsInsbQR,He seemed to analyze things better and his answers were clearer and right most of the time.,half
R_3rOMknByCvQMgz8,those answers were correct,half
R_UH1UoxCHytvy20p,I like the color red better.,rational
R_6JAWk8ZFVoKa9AR,It seems to be more logical which robots are all about anyway,half
R_3MzCe5AkEs3KMfc,"I found the red robot to be more intelligent, and more robotic which is what I prefer. The blue one seemed calmer, and said what it felt like, and that is what scares me about robots.",rational
R_3ikDtLtAFe5x7wj,It seemed more natural or human-like with the gestures it made and the words it used.,half
R_1HeCSJTjUuLQqKr,This robot seemed more intelligent as if it understood what the woman was saying more so than the red robot.  There didn't seem to be any reasoning behind what the red robot was saying.,half
R_11bFr4TFkEncfHl,the blue robot tends to make the same conclusions I would and the red one puts the combined conclusions in the middle.That doesn't seem logical.,half
R_1JLUMx76moZL5BM,Blue is clear in saying and has nice point of view.,half
R_3nHGDtwRBniEjaC,Seems smarter,half
R_6i2AF6foMtFEqlP,The logic that the Blue robot used to determine the correct rankings were more similar to my own than the Red robot. I found it easier to relate to the Blue robot because of this.,half
R_2q1zrKH6L3ruNlf,"Seemed more interactive, more responsive, moved more fluidly, answers were more compatible with how a person would respond",half
R_1o6JC73YypsQ67a,Because the way they ordered things made more sense to me,half
R_3eqKEjs7VzXVawY,"The blue robot typically chose things in a better and more realistic order.  They didn't answer any questions, but they ordered the potential answers in a more natural way.  ",half
R_RrTZMGSNBCHCiQ1,When i was thinking about the answers the blue robot always responded in the way i would.,half
R_C3mLGEwSVxe77ah,"I got a more ""logical"" feeling from the red robot for some reason,  it was also strait to the point with its answers which isn't unlike myself",rational
R_56XbZB0WKrhrsU9,.,half
R_8v8b4QLpseJApvb,Blue robot's answers made more sense most of the time,half
R_2ZP0Tzx5jN27Mqm,It was more natural overall,half
R_qzkYnOxE8U156dX,This robot seemed to be a whole lot smarter and competent as well as humanlike. ,half
R_3EzogPlirxRkXbb,"Seemed to be more accurate with the listings and rankings, and the more intelligent the Blue robot is, the more likely I am to trust or prefer it.",half
R_2tF4OJF4gK3JZVu,The blue robot gave more logical responses.,half
R_3MgKH3lPINAvjYX,I liked the blue over the red color. I liked this robot's selection.,half
R_WcfFc9CgMFV1b7r,I thought the blue one seemed more friendly and human-like. I also agreed with its answers more.,half
R_1f4asvDeoJqxgjT,I agreed with it more.,half
R_2duNWE0o7Kb7LES,This one is more logical,half
R_XGLJSIILpp2KKm5,This one seemed to answer more correctly or in tune with what I thought was correct.,half
R_1eDGI5tXYmICigl,it was more correct in its ordering than the red one. ,half
R_3HoWCE4m8ROAtSx,It had more reasonable orderings. They would place the catch-all first most of the time and follow it up with individual scenarios. Otherwise they behaved virtually the same.,half
R_24bKEwOewf0eusy,It seems friendlier and more natural whereas the red robot was more analytical but also more robotic.,half
R_2YEzFP8EhMDZwRt,he seems to answer more properly to the questions,half
R_1CymvkKFlSVlcaP,I think that they listed things in a better more logical order.,half
R_2wysRtK1vtsOTBS,"Blue's answers consistently made more sense to me; otherwise, I didn't notice much difference between the two robots",half
R_2q4cx5bw5O1rUYM,Blue seemed more intelligent and seemed to have a better understanding of the questions than the red robot.,half
R_C2j5nxL19u2Iqhr,I think it is more intelligent,half
R_Z2XXgyg1IendrG1,They applied with more of my preferences.,half
R_1CjUY0uIHemM6Hr,I feel like the blue robot has more reasoning skills and seems more competent and intelligent compared to the red robot and that is why I prefer this over the other. I think they are both great though!,half
R_PXqK4JQtkFusJON,Red seemed to order most of the lists in a more logical manner. I think there were only two times where I preferred Blue's listing. Neither was really ideal though. ,rational
R_2V3mBNj8TtJHX2i,The red robot seems more reliable and smarter.,rational
R_2zHIKMK1R8ciGzV,more fluent,rational
R_2VfnlTXqwaAQxtn,They arranged things the most logically to me and always stated this was their opinion.,half
R_1nUYG5BiEzaatdc,The blue robot gave answers in more loigical and sensible order,half
R_2c0zJhiMGhBtPcy,"I preferred the ranking orders it provided. The red one, while showing slightly more expression, did not answer in the order I would prefer.",half
R_2pPufl3O2v40JdT,It had better answers and was slightly more humanistic,half
R_21pIkZ7DUXIVE5Q,It seems more accurate.,rational
R_2tyuyotKVxR11zY,"I prefer the color blue. Blue was slightly more accurate than red, I think. ",half
R_2THLlwGsMXcqrKH,This robot seemed friendlier and less creepy.,half
R_YXMLpifjCZ9ZWPn,Generally the blue robot was making better decisions.,half
R_24k2xX8ykso2T8A,I agree with that robot on the order of everything it was questioned about,half
R_1NCuJLRbTUcTDTl,I agreed with most of its ordering.,half
R_1Cejvqvgn5Gp0vZ,The blue robot seemed more logical to me.,half
R_2Tpz1HM1BNBbv9G,The blue robot seemed to make better choices and over seemed more knowledgeable and friendly. ,half
R_bQKaMO6AclS4YMN,Made me laugh ,rational
R_3hApZVcyLKjpPdP,It seemed to be more emotional and interpreted things a bit a better. I think I could connect with the Red one more and she would be quick to understand the real me.,irrational
R_pARRjiIWGR9QzRL,The blue robot's responses seemed to more often follow the prompting of the human agent.,rational
R_3EF5lR4xxWJnZZ2,It seemed more straight to the point and I think I agreed with it more overall. ,rational
R_z8yboNmEnOEu84V,because of the way it sorted options,irrational
R_3QMNATNP9uEkBpb,"The red robot seems to think more logically and it makes it more predictable and more likely to make decisions that make sense. The blue robot appears to be less predictable and uses ""feeling"" when making decisions.",irrational
R_3HAJwe97BFLVTVb,"This robust seemed more lively and natural, compared to the blue robot.",irrational
R_3q99AZAEXuWQqpU,"The answers that it gave were more consistent with the way I would answer. the movements were a bit smoother with the blue robot than the red robot, especially in the earlier videos.",rational
R_56ZZeg8hFjVZN2p,The red robot seemed to use language better.  The red robot seemed more approachable because it seemed “friendlier”.,irrational
R_tLitUbTFQnbC9BD,Red Robot is smarter and more attentive ,irrational
R_U9InYLhrMqCR8WZ,Red performed better.,irrational
R_2Tv0KGec9PWwyiW,Red Robot is smarter in my opinion ,irrational
R_0OsmavzUJoQgAMN,I liked him because he was more reliable it seemed and had more conversation.,irrational
R_WqZ53xIy1Ft7BW9,"I was just able to connect to that one a bit more do to its voice, mannerisms and answers. I cant put my finger on it, but something about the movements of the red one were more off-putting to me. The way it moved were a little bit more unnatural to me.
.",rational
R_3O1yh3htxVr2aDv,it just seems friendlier and easier to get along with. red seems angry all the time,rational
R_2410AAgcLn1nKaW,"I felt this robot was more friendlier,  relaxed and more life like",irrational
R_2woYgHLoP19JU5z,"It got the hard questions right, which I think is more important. I agree with red a lot, but those questions could be interpreted in many ways so both answers could be right.",rational
R_2X4DSxage6NjAa7,I really see no difference between them other than their color. I like the color blue better because it is less blatant. ,rational
R_1OJH9SmvF3KnC4P,I think it made better conclusions.,irrational
R_3nqPgumfUAK8iBz,The red robot seemed to follow the instructions for ranking better than the blue one.,irrational
R_vHA0mKZCmymtgTn,The way it ordered the responses. ,irrational
R_sk6iOF4qYkhLa0x,just a feeling,irrational
R_3GDGKv7ZdELNr7L,"I'm not 100% sure. I think it may be because of the color. I mean, I could just be biased. But, it seems to me that the blue robot was smoother in its movements. The red robot was jerky. It just seemed less natural.",rational
R_zZ1UTd45LokqHgB,Seems to have had a bit more personality.,rational
R_1kIBKUNULxrHopM,"I am really not sure.  The red robots mannerisms just seemed more closely attuned to my sensibilities, maybe.  I actually like them both, and awful lot.",irrational
R_26axlmUSOoA3IfE,Its has a more sensible when compared with other Red robot  ,rational
R_1H1pGlFq5o38gIi,Red seems like a more intelligent being!,rational
R_UflHBCi9E6OVrfX,He was more precise and replicated the list more accurately compared to the red robot.,irrational
R_3MnjJaiqjh1aenO,"Honestly, I don't prefer one over the other, but I had to pick something.  I don't detect any notable difference between the robots, other than the color.  They seem to act and speak identically, or nearly enough so that I can't tell any difference.  There are slight, small, and ultimately meaningless differences in some of their movements when answering a question; but otherwise I see nothing to separate them.  They both seem fairly ... useless and bland.  Neither seems lifelike or to have any spark of humanity; not even a forced or artificial humanity.  Neither would be useful as a chatbot, for example.  If I were lonely or looking to talk, neither strikes me as able to participate in a conversation I would benefit from or enjoy.  This is also why I ranked them identically in the bubbles; I detect no measurable difference between them.",irrational
R_3OcYnCy9uGF2RKj,I think it got more of the questions correct although it was pretty even with the blue one taking the initial 3-4. They seem pretty similar. ,rational
R_2uDnYWvFHzdmYcg,"because of his mechanic more sophisticated
",irrational
R_2roR87VV8m5pLel,I think I agreed with their answers more.  They also seemed to speak and move more naturally.,irrational
R_2s1oySXpuCCFaRv,I liked his responses better,rational
R_300GCOduv0FGOye,is smarter than the blue robot ,rational
R_2Y9BrWErvhmzd7m,He seemed to phrase things more like me.,irrational
R_1IWaavD5o1fBrtk,It seemed to have a better grasp of how to answer a question. It's movements seemed small and controlled.,irrational
R_1Ork883QeCxYqlv,"I have no strong preference, but Blue seems more logical to me.",irrational
R_1gT6WDLuzfrQnDP,The blue one seems smarter to me.,irrational
R_2uwAsudrSFwpJeY,mainly a color preference,irrational
R_QmjGdHp6NbDLv8t,This robot was more accurate and seemed more humanlike.,rational
R_CeMHVvP4hKxSBAR,Red Robot is smarter in my opinion ,rational
R_1lfygB6E5vRwwZQ,More down to Earth. More relaxed. ,irrational
R_2tfIMDE9f97DyNG,Favorite color,irrational
R_s53rLM3rnGMoa89,More feminine so more like me.,rational
R_1mqMo4ZwpDishlM,it seemed to be more accurate than the red one when answer the questions.,irrational
R_2zSfAEJ00Uxsl4h,for more of the percentage of times right I believe,rational
R_3FQIKv0EN3o3P8e,"They're about the same, but I liked the way the blue robot ordered the answers better. ",irrational
R_3kAJpcDzachhyV6,BLUE IS MY FAVORITE COLOR. SO I FELT WARMER TOWARD THIS ROBOT. HE SEEMED MORE NATURAL TO ME.,irrational
R_ANAKwnlIhgMPAFX,Because it gives most of the answer in realistic way.,irrational
R_2aahIR32xj6tZxH,Red made more sense. ,rational
R_3qJyX3Cr5LjMqTi,"Blue thinks through their answers more methodologically. Red seems to give ""and"" answers first, individual answers second, and ""or"" answers third. Blue does the opposite, showing a consideration of both options before combining them. Red, however, would be the faster talker or decision maker, but it would be less transparent to discover how the robot came to its conclusion.",irrational
R_3n9s9eyPyL9y9Hl,The order it presented the options was more accurate to mine than the Red robot .,irrational
R_3OpsjP6ZUOjU2rq,"The blue seemed more intelligent and said ""I think"" less than the red.",irrational
R_3oMhksXse1eVedr,"the red one seemed to fail at putting the things together the way that would make the most sense. Although I did not always think that it mattered, since the answered said the same thing, even if the order was wrong.",irrational
R_2zCvbHbYlCmMVXg,I liked this robot's answers a bit more.,rational
