,half,irrationality,preference,question,rationality
0,,,0.6206896551724138,Q5.1,rational_half
1,,,0.7068965517241379,Q7.1,rational_half
2,,,0.3793103448275862,Q10.1,rational_half
3,,,0.43103448275862066,Q12.1,rational_half
4,,,0.39655172413793105,Q14.1,rational_half
5,,,0.25862068965517243,Q16.1,rational_half
6,,,0.6551724137931034,Q18.1,rational_half
7,,,0.6551724137931034,investments,rational_half
8,,,0.7068965517241379,analyst,rational_half
9,,,0.6379310344827587,jury,rational_half
10,,,0.25862068965517243,bartender,rational_half
11,,,0.7068965517241379,prefer,rational_half
0,,,0.26126126126126126,Q5.1,rational_irrational
1,,,0.4954954954954955,Q7.1,rational_irrational
2,,,0.24324324324324326,Q10.1,rational_irrational
3,,,-0.2972972972972973,Q12.1,rational_irrational
4,,,-0.11711711711711711,Q14.1,rational_irrational
5,,,0.15315315315315314,Q16.1,rational_irrational
6,,,-0.24324324324324326,Q18.1,rational_irrational
7,,,0.02702702702702703,investments,rational_irrational
8,,,0.06306306306306306,analyst,rational_irrational
9,,,0.17117117117117117,jury,rational_irrational
10,,,-0.02702702702702703,bartender,rational_irrational
11,,,0.11711711711711711,prefer,rational_irrational
0,,,0.19230769230769232,Q5.1,irrational_half
1,,,0.07692307692307693,Q7.1,irrational_half
2,,,0.21153846153846154,Q10.1,irrational_half
3,,,0.3076923076923077,Q12.1,irrational_half
4,,,0.5,Q14.1,irrational_half
5,,,0.23076923076923078,Q16.1,irrational_half
6,,,0.4423076923076923,Q18.1,irrational_half
7,,,0.46153846153846156,investments,irrational_half
8,,,0.38461538461538464,analyst,irrational_half
9,,,0.38461538461538464,jury,irrational_half
10,,,0.19230769230769232,bartender,irrational_half
11,,,0.4807692307692308,prefer,irrational_half
