,Unnamed: 0,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
0,StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:24:19,2018-07-04 11:24:13,2018-07-04 11:24:21,2018-07-04 11:25:24,2018-07-04 11:27:54,2018-07-04 11:24:20,2018-07-04 11:27:53,2018-07-04 11:26:26,2018-07-04 11:24:07,2018-07-04 11:25:16,2018-07-04 11:26:23,2018-07-04 11:28:56,2018-07-04 11:24:39,2018-07-04 11:24:14,2018-07-04 11:26:21,2018-07-04 11:31:37,2018-07-04 11:31:27,2018-07-04 11:24:03,2018-07-04 11:44:54,2018-07-04 11:32:22,2018-07-04 11:31:13,2018-07-04 11:35:55,2018-07-04 11:32:03,2018-07-04 11:31:16,2018-07-04 11:49:14,2018-07-04 12:08:57,2018-07-04 12:11:18,2018-07-04 12:31:40,2018-07-04 12:17:59,2018-07-04 12:40:38,2018-07-04 11:35:09,2018-07-04 11:39:33,2018-07-04 11:35:54,2018-07-04 11:37:53,2018-07-04 11:41:01,2018-07-04 11:37:43,2018-07-04 11:53:50,2018-07-04 11:42:14,2018-07-04 11:41:02,2018-07-04 11:41:53,2018-07-04 11:35:37,2018-07-04 11:43:32,2018-07-04 11:44:01,2018-07-04 11:47:02,2018-07-04 11:47:11,2018-07-04 11:36:40,2018-07-04 11:42:26,2018-07-04 11:49:50,2018-07-04 11:41:30,2018-07-04 11:42:48,2018-07-04 11:51:08,2018-07-04 12:05:40,2018-07-04 11:34:59,2018-07-04 12:19:50,2018-07-04 12:02:27,2018-07-04 12:18:45,2018-07-04 12:23:44,2018-07-04 13:08:28,2018-07-04 13:12:40,2018-07-04 13:39:10,2018-07-04 11:29:00,2018-07-04 11:29:15,2018-07-04 11:30:27,2018-07-04 11:29:46,2018-07-04 11:32:36,2018-07-04 11:32:22,2018-07-04 11:30:14,2018-07-04 11:30:24,2018-07-04 11:30:35,2018-07-04 11:38:38,2018-07-04 11:35:21,2018-07-04 11:39:11,2018-07-04 11:39:50,2018-07-04 11:31:51,2018-07-04 11:39:20,2018-07-04 11:29:51,2018-07-04 11:42:55,2018-07-04 11:42:36,2018-07-04 11:43:44,2018-07-04 11:45:34,2018-07-04 11:40:49,2018-07-04 12:19:11,2018-07-04 12:15:41,2018-07-04 12:16:08,2018-07-04 12:53:12,2018-07-04 12:55:14,2018-07-04 13:05:22,2018-07-04 12:42:35,2018-07-04 13:07:57,2018-07-04 13:32:57,2018-07-04 11:38:16,2018-07-04 11:39:26,2018-07-04 11:37:18,2018-07-04 11:42:41,2018-07-04 11:37:48,2018-07-04 11:42:04,2018-07-04 11:44:34,2018-07-04 11:42:00,2018-07-04 11:38:42,2018-07-04 11:43:55,2018-07-04 11:45:20,2018-07-04 11:38:38,2018-07-04 11:51:43,2018-07-04 11:45:50,2018-07-04 11:39:51,2018-07-04 11:57:03,2018-07-04 11:39:41,2018-07-04 11:41:33,2018-07-04 11:48:56,2018-07-04 11:57:33,2018-07-04 12:05:21,2018-07-04 11:38:24,2018-07-04 12:02:04,2018-07-04 12:09:15,2018-07-04 12:21:29,2018-07-04 12:18:17,2018-07-04 11:42:10,2018-07-04 12:39:57,2018-07-04 13:05:51,2018-07-04 13:26:36
1,EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:31:45,2018-07-04 11:36:25,2018-07-04 11:39:06,2018-07-04 11:39:16,2018-07-04 11:39:26,2018-07-04 11:39:35,2018-07-04 11:39:45,2018-07-04 11:39:51,2018-07-04 11:39:56,2018-07-04 11:40:25,2018-07-04 11:42:21,2018-07-04 11:43:34,2018-07-04 11:43:52,2018-07-04 11:44:14,2018-07-04 11:45:20,2018-07-04 11:47:21,2018-07-04 11:48:16,2018-07-04 11:48:41,2018-07-04 11:50:03,2018-07-04 11:50:36,2018-07-04 11:52:09,2018-07-04 11:56:53,2018-07-04 11:59:06,2018-07-04 12:02:52,2018-07-04 12:07:53,2018-07-04 12:23:44,2018-07-04 12:35:04,2018-07-04 12:45:16,2018-07-04 12:50:38,2018-07-04 12:53:19,2018-07-04 11:46:50,2018-07-04 11:50:06,2018-07-04 11:51:08,2018-07-04 11:52:48,2018-07-04 11:53:31,2018-07-04 11:54:23,2018-07-04 11:55:56,2018-07-04 11:56:18,2018-07-04 11:56:39,2018-07-04 11:57:55,2018-07-04 11:59:37,2018-07-04 11:59:54,2018-07-04 12:01:02,2018-07-04 12:02:16,2018-07-04 12:02:28,2018-07-04 12:04:44,2018-07-04 12:06:28,2018-07-04 12:06:52,2018-07-04 12:09:52,2018-07-04 12:10:40,2018-07-04 12:21:00,2018-07-04 12:22:47,2018-07-04 12:25:45,2018-07-04 12:33:46,2018-07-04 12:35:24,2018-07-04 12:42:36,2018-07-04 12:47:10,2018-07-04 13:24:35,2018-07-04 13:29:35,2018-07-04 14:00:41,2018-07-04 11:40:54,2018-07-04 11:42:52,2018-07-04 11:43:38,2018-07-04 11:44:36,2018-07-04 11:44:43,2018-07-04 11:45:37,2018-07-04 11:47:51,2018-07-04 11:48:50,2018-07-04 11:48:55,2018-07-04 11:53:24,2018-07-04 11:53:47,2018-07-04 11:54:29,2018-07-04 11:54:43,2018-07-04 11:54:53,2018-07-04 11:56:18,2018-07-04 11:57:02,2018-07-04 11:57:48,2018-07-04 12:01:55,2018-07-04 12:04:55,2018-07-04 12:19:03,2018-07-04 12:22:50,2018-07-04 12:26:49,2018-07-04 12:27:22,2018-07-04 12:34:13,2018-07-04 13:11:20,2018-07-04 13:12:12,2018-07-04 13:21:31,2018-07-04 13:21:55,2018-07-04 13:33:33,2018-07-04 13:45:46,2018-07-04 11:51:50,2018-07-04 11:52:26,2018-07-04 11:52:41,2018-07-04 11:53:20,2018-07-04 11:53:32,2018-07-04 11:55:46,2018-07-04 11:55:55,2018-07-04 11:56:49,2018-07-04 11:57:37,2018-07-04 11:58:24,2018-07-04 11:59:22,2018-07-04 12:02:17,2018-07-04 12:06:58,2018-07-04 12:08:40,2018-07-04 12:09:15,2018-07-04 12:09:17,2018-07-04 12:09:46,2018-07-04 12:10:28,2018-07-04 12:16:45,2018-07-04 12:17:30,2018-07-04 12:21:21,2018-07-04 12:22:43,2018-07-04 12:23:24,2018-07-04 12:27:06,2018-07-04 12:30:50,2018-07-04 12:31:13,2018-07-04 12:34:53,2018-07-04 12:51:56,2018-07-04 13:21:43,2018-07-04 13:39:07
2,Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",138.75.69.205,73.0.11.8,71.89.202.71,72.249.239.68,104.183.112.198,73.247.192.128,174.195.131.161,76.104.104.130,134.196.45.170,73.206.102.228,67.215.11.12,216.110.214.42,68.83.64.108,76.16.74.0,24.72.184.89,76.23.61.247,104.4.100.162,69.247.72.26,24.46.117.154,69.76.44.10,216.9.178.245,200.8.102.82,107.210.162.40,72.194.74.20,172.72.240.130,73.144.111.74,216.228.55.76,170.253.133.237,24.252.117.247,67.198.119.57,100.11.252.6,206.201.80.36,24.192.91.104,73.2.27.58,71.204.253.18,24.18.91.252,98.200.12.180,216.14.250.140,74.97.26.167,216.106.39.229,50.93.225.4,64.250.12.111,97.90.218.142,96.249.230.160,171.243.90.166,108.18.70.89,73.92.5.208,68.204.213.212,67.44.208.105,73.255.3.61,66.199.58.117,64.183.114.58,108.77.159.58,174.226.1.144,68.0.187.240,97.88.73.246,173.56.245.139,71.184.155.101,107.1.159.106,71.200.185.179,67.241.46.125,72.198.74.135,184.167.83.143,24.167.164.138,97.121.110.141,142.129.109.174,69.204.84.71,49.34.144.242,97.84.104.156,208.107.138.33,108.26.144.81,173.91.17.128,69.40.115.161,162.234.116.141,173.63.61.15,104.11.61.83,24.251.45.4,24.209.229.22,68.8.98.166,74.66.213.88,32.208.75.84,73.0.11.8,24.131.61.204,75.185.110.45,73.188.191.75,47.183.112.142,75.104.115.253,67.61.123.166,99.40.167.164,76.106.201.205,174.60.56.18,100.36.53.170,73.167.138.231,50.44.110.133,172.56.0.234,173.29.238.222,98.193.105.168,69.180.83.7,24.127.94.39,88.244.36.130,68.44.95.7,24.128.190.141,184.18.202.140,174.60.239.169,71.11.171.75,174.21.113.94,24.60.247.22,70.113.182.176,174.27.167.0,173.217.96.226,174.59.105.108,108.219.219.20,64.253.11.97,47.186.114.31,184.101.124.16,24.131.61.204,108.56.4.132,174.207.18.144,107.15.241.1,71.223.15.57
4,Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",445,732,884,832,691,914,712,805,949,909,958,878,1152,1199,1138,944,1008,1477,309,1094,1255,1258,1622,1895,1118,887,1425,815,1958,761,700,632,913,894,749,999,125,843,937,961,1440,981,1020,914,917,1683,1442,1021,1701,1672,1791,1027,3046,836,1977,1430,1405,966,1015,1290,714,816,790,889,727,795,1056,1106,1099,885,1106,917,893,1382,1017,1631,892,1159,1270,2008,2521,457,700,1085,1088,1017,968,2360,1535,768,814,780,922,638,943,822,681,889,1135,869,842,1419,915,1369,1763,734,1805,1735,1668,1197,960,2659,1279,1070,561,776,3162,719,951,750
6,Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:31:46,2018-07-04 11:36:26,2018-07-04 11:39:07,2018-07-04 11:39:17,2018-07-04 11:39:27,2018-07-04 11:39:36,2018-07-04 11:39:47,2018-07-04 11:39:52,2018-07-04 11:39:58,2018-07-04 11:40:26,2018-07-04 11:42:22,2018-07-04 11:43:35,2018-07-04 11:43:52,2018-07-04 11:44:14,2018-07-04 11:45:21,2018-07-04 11:47:22,2018-07-04 11:48:17,2018-07-04 11:48:43,2018-07-04 11:50:04,2018-07-04 11:50:37,2018-07-04 11:52:10,2018-07-04 11:56:54,2018-07-04 11:59:06,2018-07-04 12:02:52,2018-07-04 12:07:54,2018-07-04 12:23:45,2018-07-04 12:35:05,2018-07-04 12:45:16,2018-07-04 12:50:39,2018-07-04 12:53:20,2018-07-04 11:46:50,2018-07-04 11:50:07,2018-07-04 11:51:09,2018-07-04 11:52:49,2018-07-04 11:53:31,2018-07-04 11:54:23,2018-07-04 11:55:57,2018-07-04 11:56:18,2018-07-04 11:56:40,2018-07-04 11:57:55,2018-07-04 11:59:38,2018-07-04 11:59:54,2018-07-04 12:01:02,2018-07-04 12:02:17,2018-07-04 12:02:29,2018-07-04 12:04:46,2018-07-04 12:06:29,2018-07-04 12:06:53,2018-07-04 12:09:53,2018-07-04 12:10:41,2018-07-04 12:21:00,2018-07-04 12:22:48,2018-07-04 12:25:46,2018-07-04 12:33:47,2018-07-04 12:35:25,2018-07-04 12:42:37,2018-07-04 12:47:10,2018-07-04 13:24:35,2018-07-04 13:29:36,2018-07-04 14:00:41,2018-07-04 11:40:55,2018-07-04 11:42:52,2018-07-04 11:43:38,2018-07-04 11:44:37,2018-07-04 11:44:44,2018-07-04 11:45:38,2018-07-04 11:47:51,2018-07-04 11:48:51,2018-07-04 11:48:56,2018-07-04 11:53:25,2018-07-04 11:53:48,2018-07-04 11:54:29,2018-07-04 11:54:43,2018-07-04 11:54:55,2018-07-04 11:56:19,2018-07-04 11:57:02,2018-07-04 11:57:49,2018-07-04 12:01:56,2018-07-04 12:04:56,2018-07-04 12:19:04,2018-07-04 12:22:51,2018-07-04 12:26:50,2018-07-04 12:27:22,2018-07-04 12:34:14,2018-07-04 13:11:22,2018-07-04 13:12:13,2018-07-04 13:21:31,2018-07-04 13:21:56,2018-07-04 13:33:34,2018-07-04 13:45:46,2018-07-04 11:51:51,2018-07-04 11:52:27,2018-07-04 11:52:41,2018-07-04 11:53:20,2018-07-04 11:53:33,2018-07-04 11:55:47,2018-07-04 11:55:56,2018-07-04 11:56:50,2018-07-04 11:57:38,2018-07-04 11:58:25,2018-07-04 11:59:23,2018-07-04 12:02:17,2018-07-04 12:06:59,2018-07-04 12:08:40,2018-07-04 12:09:16,2018-07-04 12:09:18,2018-07-04 12:09:47,2018-07-04 12:10:29,2018-07-04 12:16:45,2018-07-04 12:17:31,2018-07-04 12:21:22,2018-07-04 12:22:44,2018-07-04 12:23:24,2018-07-04 12:27:07,2018-07-04 12:30:51,2018-07-04 12:31:14,2018-07-04 12:34:54,2018-07-04 12:51:57,2018-07-04 13:21:44,2018-07-04 13:39:08
8,ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_12hhbwziTC4ZkC4,R_3MnAo5QmQVG29YL,R_12x9nX6xNu09eU5,R_3m9s30iSY9IKK9B,R_11cF5e3BWJ8DOPL,R_3noLMH6b1yskh18,R_1JXZtrUn8Hzenb2,R_2tfZBWrT8dfV9hi,R_BJSNJcWfSXQjqE1,R_1mlwkBoBWdMtWPu,R_2rCkrqlunJAOgUD,R_296LPMFfESaX47X,R_1rHqnJ6y1Vk7JyH,R_2Y64fxPqCwLMY7J,R_D90vrGCo2s6YKxH,R_ZCD0AB99kCTp0Nr,R_1mRyND0DfhUSGf9,R_2Sp2TRwCwFpZFOc,R_eV4TodRWyFoEwWR,R_t08JW1LDww39zqx,R_2Qsuy4ZBBjTVGuu,R_vcbrtuiUpplHZGF,R_1BVCrIsWyMWsM8p,R_eEAhF1eenrP3XJn,R_116ZD1ZHma6KnWH,R_1jCgskkCfGdFLrm,R_C3aKHmCWQVVVfLr,R_1IN0hqKWaGRLXHf,R_1LTJtwHZgx8dYT5,R_2SkoHOxNPaPZ2ir,R_3G6UJ6OY0Jx2Aa0,R_1gkDPL5qJxExZaX,R_33wf27BGDzYS7Rr,R_21BeJ0Cop7PCf1v,R_AEYxN8fu62T1nup,R_1r6LpnKSIxflAiv,R_r3JV3fdB2Xr4KqJ,R_3FL0xU5ZEL3wtMS,R_2uqTAnr64KCbBzv,R_shbWgGF0kOKu42B,R_3KNkr7Ia0i4I27z,R_3ETt035pNRn71Fy,R_1QmaBELRUV8k1HG,R_1DPi4zqCigomBO1,R_2E62UoN2PsImPUI,R_1o6EtS9icKfbwIy,R_dnzdcHAt33ys78R,R_3CNkjm67BwR3UKm,R_yHNMMmIiJqHKHip,R_VPavvEwKByl7pkd,R_216SzkO3J7ngebC,R_2dAPpi3oUmH3X9f,R_31HJoUHxsiZj2dh,R_1gRT5UhuM0bZGho,R_2eVIRdJgrZ2bDl4,R_3EiiUNUX3Su7Kio,R_2tGypwIsIUnkPWv,R_29v6ZSRqmfZ0I42,R_3oC6VpCyWTuwsjJ,R_3KO6JJ2UthC307F,R_21B8Fhp2vX28v1o,R_3fDCTlzcJxKq6pe,R_2aqSmFZ9XYYW1y9,R_1jAF9n0A9Im2vLb,R_22DoECqnN3Ij1LA,R_2pJOSS10WzM3WWT,R_1qX1ebn98pbtgwr,R_1rvlkbhwPHqOJrp,R_SI4sQ3rPb5P1lCh,R_3O0Ij2uKfTIG6Hv,R_1CIQhknem8NOOi6,R_yyWLlXcHmu2sZsB,R_sBjkyTE0R4BCXiV,R_2t8QVuFmfUAkRke,R_2WHUiolRvIl2Bld,R_1opch7l3UWoa4fF,R_3LgMUGZPbChFD38,R_2q9LfWIrecZTBfX,R_21EuXTHXuzlThe0,R_2V9LgMAqfnGMjAC,R_TtS7DzwDRaO6tTH,R_3e47V1fJMwGGCUG,R_3MtXzbXlQRPLCWo,R_3pmX16bCJGd3Lts,R_1q9xgEbLvB0OtOD,R_3n2VMuBvJj2Szxr,R_x3ITNQeFKApYQut,R_3p5dGBUvsNUSUjd,R_3oBACBeqiDipIbH,R_bIqQ2gRAHAdi0k9,R_3GuH1AdX86rmPUe,R_1GCf3z8V47zJYRt,R_1FJJG6UOccX69LN,R_1eS6jGY5UCiIQcb,R_7TF7eN0fxa4dLq1,R_AyDljEl6D41PSIF,R_29aX9AoTxPdhIYp,R_3IRJjcvDitJA2nl,R_2Vg2HaM24qMH3N2,R_3DwOilcSJ2iDlev,R_2a9yhA3gpFKEGcZ,R_ZgXLtw1cakJRxnz,R_3sByf13TuYj3uyV,R_1Nw4KqBnT5yCDi5,R_25u199SR0KMzlKY,R_2y15rZnf7DTawMM,R_1dEvQHPKEbUnRN8,R_1mmTkVXdtkT4ZBQ,R_1o1kpGXEn1ZIXbG,R_2w0LUTvQqwRn06q,R_vBRzkc8jzlqWDhT,R_1CIxTAVpopmkLlU,R_0eL3eqstM0StkBz,R_2XoLq5HRDETl1qc,R_1hMVIczX9Ds1UZK,R_2WSAax6mKzBUt9i,R_2SxJCmWWk4cPOAj,R_yP9V1ProEW0Qo7L,R_qUzYXivxgfmuBEd,R_2DMvvHkvhDXMtn4
