,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",7/4/2018 11:40,7/4/2018 11:38,7/4/2018 11:38,7/4/2018 11:38,7/4/2018 11:40,7/4/2018 11:41,7/4/2018 11:38,7/4/2018 11:39,7/4/2018 11:42,7/4/2018 11:38,7/4/2018 11:38,7/4/2018 11:44,7/4/2018 11:43,7/4/2018 11:45,7/4/2018 11:45,7/4/2018 11:46,7/4/2018 11:39,7/4/2018 11:44,7/4/2018 11:38,7/4/2018 11:54,7/4/2018 12:01,7/4/2018 11:57,7/4/2018 12:07,7/4/2018 11:55,7/4/2018 12:45,7/4/2018 12:51,7/4/2018 12:57,7/4/2018 13:04,7/4/2018 13:03,7/4/2018 13:11
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",7/4/2018 11:52,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:55,7/4/2018 11:57,7/4/2018 11:58,7/4/2018 11:58,7/4/2018 11:59,7/4/2018 11:59,7/4/2018 12:00,7/4/2018 12:01,7/4/2018 12:05,7/4/2018 12:06,7/4/2018 12:07,7/4/2018 12:07,7/4/2018 12:10,7/4/2018 12:13,7/4/2018 12:19,7/4/2018 12:22,7/4/2018 12:23,7/4/2018 12:27,7/4/2018 13:00,7/4/2018 13:07,7/4/2018 13:11,7/4/2018 13:15,7/4/2018 13:22,7/4/2018 13:31
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",24.130.227.229,173.174.144.246,174.101.212.155,72.14.101.106,107.12.182.11,72.209.19.7,50.74.49.203,67.169.209.224,174.110.247.92,181.66.165.225,97.121.64.15,24.205.20.167,73.26.55.87,104.54.230.202,173.25.25.86,73.178.119.101,75.106.246.55,98.22.51.38,75.136.162.169,104.35.170.65,104.244.146.67,73.230.128.17,99.100.238.66,47.149.7.143,68.195.11.250,108.185.71.126,75.32.5.219,66.214.241.13,99.120.144.62,173.94.197.73
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",702,873,925,923,838,794,983,1090,961,1217,1254,883,1011,980,1184,1208,1695,1358,1894,1153,1088,1516,939,1906,862,958,866,650,1145,1197
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",7/4/2018 11:52,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:55,7/4/2018 11:57,7/4/2018 11:58,7/4/2018 11:59,7/4/2018 11:59,7/4/2018 11:59,7/4/2018 12:00,7/4/2018 12:01,7/4/2018 12:05,7/4/2018 12:06,7/4/2018 12:07,7/4/2018 12:07,7/4/2018 12:10,7/4/2018 12:13,7/4/2018 12:19,7/4/2018 12:22,7/4/2018 12:23,7/4/2018 12:27,7/4/2018 13:00,7/4/2018 13:07,7/4/2018 13:11,7/4/2018 13:15,7/4/2018 13:22,7/4/2018 13:31
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2ZX2zuf6oUo6N8e,R_1r18SsbUjQeUCyn,R_BsjI1PJjk3inFlv,R_s56yVlTR6vVmnVT,R_BrGr7GRYw6ajebT,R_YSNT9LVO0KnGBa1,R_2DRCBZ8alN4g8BA,R_1NEXevgBRaeqCkq,R_27NiARwaWeivCEr,R_12RbAf7ksUHbWTR,R_1QtjQaFdT9lz5Uu,R_1WSQeEEfkyfWk6Z,R_273Gvp98jYxCp6q,R_2TmAExzfalCflqp,R_2QlW2Cnbtz7nRQq,R_3j1E6JEXq5wRKUy,R_2dfEvZTeuafcTjC,R_3KYHqOykZeXwOHr,R_2aqUdSxEguSD66u,R_AvNfhwYOMhPh9bb,R_2Y3sKAq1n7labqx,R_1jk3UCS4hMHHZcp,R_sgISXfVot6yZlyp,R_3NQhwl9KFmBDxX6,R_7OO0mpvGEPOjwA1,R_1hXPTUJk4liROut,R_2EGgUnHpVvbcORX,R_1l0snIjkzvCGsUp,R_ZjEJrMQM20xXIoF,R_3p6cyDIFaTfwG4E
