,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:24:19,2018-07-04 11:24:13,2018-07-04 11:24:21,2018-07-04 11:25:24,2018-07-04 11:27:54,2018-07-04 11:24:20,2018-07-04 11:27:53,2018-07-04 11:26:26,2018-07-04 11:24:07,2018-07-04 11:25:16,2018-07-04 11:26:23,2018-07-04 11:28:56,2018-07-04 11:24:39,2018-07-04 11:24:14,2018-07-04 11:26:21,2018-07-04 11:31:37,2018-07-04 11:31:27,2018-07-04 11:24:03,2018-07-04 11:44:54,2018-07-04 11:32:22,2018-07-04 11:31:13,2018-07-04 11:35:55,2018-07-04 11:32:03,2018-07-04 11:31:16,2018-07-04 11:49:14,2018-07-04 12:08:57,2018-07-04 12:11:18,2018-07-04 12:31:40,2018-07-04 12:17:59,2018-07-04 12:40:38
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:31:45,2018-07-04 11:36:25,2018-07-04 11:39:06,2018-07-04 11:39:16,2018-07-04 11:39:26,2018-07-04 11:39:35,2018-07-04 11:39:45,2018-07-04 11:39:51,2018-07-04 11:39:56,2018-07-04 11:40:25,2018-07-04 11:42:21,2018-07-04 11:43:34,2018-07-04 11:43:52,2018-07-04 11:44:14,2018-07-04 11:45:20,2018-07-04 11:47:21,2018-07-04 11:48:16,2018-07-04 11:48:41,2018-07-04 11:50:03,2018-07-04 11:50:36,2018-07-04 11:52:09,2018-07-04 11:56:53,2018-07-04 11:59:06,2018-07-04 12:02:52,2018-07-04 12:07:53,2018-07-04 12:23:44,2018-07-04 12:35:04,2018-07-04 12:45:16,2018-07-04 12:50:38,2018-07-04 12:53:19
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",138.75.69.205,73.0.11.8,71.89.202.71,72.249.239.68,104.183.112.198,73.247.192.128,174.195.131.161,76.104.104.130,134.196.45.170,73.206.102.228,67.215.11.12,216.110.214.42,68.83.64.108,76.16.74.0,24.72.184.89,76.23.61.247,104.4.100.162,69.247.72.26,24.46.117.154,69.76.44.10,216.9.178.245,200.8.102.82,107.210.162.40,72.194.74.20,172.72.240.130,73.144.111.74,216.228.55.76,170.253.133.237,24.252.117.247,67.198.119.57
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",445,732,884,832,691,914,712,805,949,909,958,878,1152,1199,1138,944,1008,1477,309,1094,1255,1258,1622,1895,1118,887,1425,815,1958,761
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:31:46,2018-07-04 11:36:26,2018-07-04 11:39:07,2018-07-04 11:39:17,2018-07-04 11:39:27,2018-07-04 11:39:36,2018-07-04 11:39:47,2018-07-04 11:39:52,2018-07-04 11:39:58,2018-07-04 11:40:26,2018-07-04 11:42:22,2018-07-04 11:43:35,2018-07-04 11:43:52,2018-07-04 11:44:14,2018-07-04 11:45:21,2018-07-04 11:47:22,2018-07-04 11:48:17,2018-07-04 11:48:43,2018-07-04 11:50:04,2018-07-04 11:50:37,2018-07-04 11:52:10,2018-07-04 11:56:54,2018-07-04 11:59:06,2018-07-04 12:02:52,2018-07-04 12:07:54,2018-07-04 12:23:45,2018-07-04 12:35:05,2018-07-04 12:45:16,2018-07-04 12:50:39,2018-07-04 12:53:20
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_12hhbwziTC4ZkC4,R_3MnAo5QmQVG29YL,R_12x9nX6xNu09eU5,R_3m9s30iSY9IKK9B,R_11cF5e3BWJ8DOPL,R_3noLMH6b1yskh18,R_1JXZtrUn8Hzenb2,R_2tfZBWrT8dfV9hi,R_BJSNJcWfSXQjqE1,R_1mlwkBoBWdMtWPu,R_2rCkrqlunJAOgUD,R_296LPMFfESaX47X,R_1rHqnJ6y1Vk7JyH,R_2Y64fxPqCwLMY7J,R_D90vrGCo2s6YKxH,R_ZCD0AB99kCTp0Nr,R_1mRyND0DfhUSGf9,R_2Sp2TRwCwFpZFOc,R_eV4TodRWyFoEwWR,R_t08JW1LDww39zqx,R_2Qsuy4ZBBjTVGuu,R_vcbrtuiUpplHZGF,R_1BVCrIsWyMWsM8p,R_eEAhF1eenrP3XJn,R_116ZD1ZHma6KnWH,R_1jCgskkCfGdFLrm,R_C3aKHmCWQVVVfLr,R_1IN0hqKWaGRLXHf,R_1LTJtwHZgx8dYT5,R_2SkoHOxNPaPZ2ir
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",1.2931060791016,27.443099975586,42.138595581055,38.080902099609,29.676605224609,41.191604614258,36.178405761719,37.195205688477,13.858306884766,29.982192993164,47.513305664062,44.784103393555,39.952606201172,42.456298828125,27.461502075195,40.587005615234,39.441101074219,35.044097900391,40.610000610352,37.766204833984,33.05810546875,10.466705322266,33.373397827148,33.645095825195,35.419799804688,42.643905639648,47.0126953125,33.425903320312,29.983795166016,29.872894287109
