,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-26 02:18:30,2018-06-26 02:15:00,2018-06-26 02:16:00,2018-06-26 02:24:12,2018-06-26 02:19:53,2018-06-26 02:19:41,2018-06-26 02:23:55,2018-06-26 02:20:24,2018-06-26 02:25:01,2018-06-26 02:26:33,2018-06-26 02:43:52,2018-06-26 02:22:15,2018-06-26 02:29:16,2018-06-26 02:50:19,2018-06-26 02:46:09,2018-06-26 02:39:04,2018-06-26 02:47:36,2018-06-26 02:29:47,2018-06-26 02:48:47,2018-06-26 02:55:20,2018-06-26 02:56:46,2018-06-26 03:13:09,2018-06-26 03:10:07,2018-06-26 03:10:48,2018-06-26 03:14:40,2018-06-26 03:19:23,2018-06-26 03:14:42,2018-06-26 03:26:40,2018-06-26 03:38:59,2018-06-26 03:29:33
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-26 02:20:41,2018-06-26 02:25:46,2018-06-26 02:28:35,2018-06-26 02:33:21,2018-06-26 02:35:09,2018-06-26 02:35:41,2018-06-26 02:40:20,2018-06-26 02:41:50,2018-06-26 02:42:35,2018-06-26 02:46:32,2018-06-26 02:47:02,2018-06-26 02:49:11,2018-06-26 02:49:59,2018-06-26 02:54:22,2018-06-26 02:56:11,2018-06-26 02:56:24,2018-06-26 03:01:13,2018-06-26 03:02:11,2018-06-26 03:03:21,2018-06-26 03:10:37,2018-06-26 03:15:54,2018-06-26 03:23:00,2018-06-26 03:28:03,2018-06-26 03:28:16,2018-06-26 03:28:27,2018-06-26 03:33:48,2018-06-26 03:36:09,2018-06-26 03:48:03,2018-06-26 03:53:32,2018-06-26 03:54:22
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",71.84.20.24,67.185.202.112,172.56.42.233,73.189.185.116,107.5.199.80,154.123.68.204,108.48.147.136,173.190.4.199,70.254.194.96,99.105.80.78,68.37.211.184,72.199.82.211,66.168.224.37,68.37.211.184,98.160.177.125,23.127.73.136,24.130.232.222,96.36.9.9,197.211.61.6,71.172.28.139,137.118.149.106,107.77.215.129,75.27.4.111,73.55.204.192,108.167.36.210,68.63.164.6,168.244.11.42,50.90.179.99,107.77.196.70,196.17.65.146
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",131,645,754,548,915,960,984,1285,1054,1198,189,1616,1243,243,602,1040,816,1944,874,916,1148,591,1075,1047,826,865,1286,1282,873,1488
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-26 02:20:42,2018-06-26 02:25:47,2018-06-26 02:28:35,2018-06-26 02:33:22,2018-06-26 02:35:10,2018-06-26 02:35:42,2018-06-26 02:40:21,2018-06-26 02:41:52,2018-06-26 02:42:36,2018-06-26 02:46:32,2018-06-26 02:47:02,2018-06-26 02:49:12,2018-06-26 02:50:00,2018-06-26 02:54:23,2018-06-26 02:56:12,2018-06-26 02:56:25,2018-06-26 03:01:14,2018-06-26 03:02:12,2018-06-26 03:03:21,2018-06-26 03:10:38,2018-06-26 03:15:55,2018-06-26 03:23:01,2018-06-26 03:28:04,2018-06-26 03:28:17,2018-06-26 03:28:28,2018-06-26 03:33:49,2018-06-26 03:36:10,2018-06-26 03:48:04,2018-06-26 03:53:33,2018-06-26 03:54:23
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_bQKaMO6AclS4YMN,R_3hApZVcyLKjpPdP,R_pARRjiIWGR9QzRL,R_3EF5lR4xxWJnZZ2,R_z8yboNmEnOEu84V,R_1BSfJk5mV2FniSf,R_3QMNATNP9uEkBpb,R_3HAJwe97BFLVTVb,R_3q99AZAEXuWQqpU,R_56ZZeg8hFjVZN2p,R_tLitUbTFQnbC9BD,R_2aFuIi4YSFLa4zA,R_U9InYLhrMqCR8WZ,R_2Tv0KGec9PWwyiW,R_0OsmavzUJoQgAMN,R_WqZ53xIy1Ft7BW9,R_3O1yh3htxVr2aDv,R_2410AAgcLn1nKaW,R_2tsR64sCdDojTRV,R_2woYgHLoP19JU5z,R_2X4DSxage6NjAa7,R_1OJH9SmvF3KnC4P,R_3EoHTqaF7Y9x74p,R_3nqPgumfUAK8iBz,R_vHA0mKZCmymtgTn,R_sk6iOF4qYkhLa0x,R_3GDGKv7ZdELNr7L,R_zZ1UTd45LokqHgB,R_1kIBKUNULxrHopM,R_26axlmUSOoA3IfE
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",35.618896484375,47.694305419922,47.54069519043,37.311996459961,42.855499267578,1,38.891204833984,37.132797241211,39.008193969727,41.386199951172,42.272994995117,32.636093139648,34.443603515625,42.272994995117,36.076797485352,30.241394042969,37.429901123047,43.933395385742,6.4530944824219,40.892303466797,45.704605102539,28.480697631836,39.78759765625,29.773406982422,40.825393676758,35.971801757812,35.22770690918,39.833099365234,37.751007080078,34.054397583008
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-120.76689910889,-117.45399475098,-122.27119445801,-121.96600341797,-85.882797241211,38,-76.895301818848,-84.096397399902,-95.63500213623,-81.791496276855,-83.599403381348,-117.05319976807,-86.936897277832,-83.599403381348,-115.08910369873,-97.768699645996,-121.77830505371,-86.264099121094,3.3957977294922,-74.477401733398,-123.86180114746,-81.551803588867,-85.971900939941,-95.320098876953,-96.674896240234,-83.900398254395,-80.843902587891,-86.174697875977,-97.821998596191,-118.2440032959
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID78,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID78""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID79""}",3,2,2,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,2,2,1,2,1,1,2,2
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID80_TEXT""}",27,28,35,23,35,23,25,27,46,67,28,23,56,61,31,48,34,51,29,36,69,22,44,33,37,33,46,37,45,28
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID81""}",4,4,3,5,5,3,3,4,5,5,5,3,5,5,5,5,5,4,5,5,3,4,4,5,5,3,5,3,4,5
