,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:22:12,2018-07-04 11:23:05,2018-07-04 11:21:55,2018-07-04 11:21:08,2018-07-04 11:23:26,2018-07-04 11:22:30,2018-07-04 11:25:21,2018-07-04 11:25:12,2018-07-04 11:27:37,2018-07-04 11:22:37,2018-07-04 11:27:15,2018-07-04 11:21:54,2018-07-04 11:24:37,2018-07-04 11:23:13,2018-07-04 11:21:11,2018-07-04 11:24:48,2018-07-04 11:23:33,2018-07-04 11:24:34,2018-07-04 11:30:42,2018-07-04 11:32:57,2018-07-04 11:36:58,2018-07-04 11:39:21,2018-07-04 11:37:32,2018-07-04 11:45:01,2018-07-04 11:28:18,2018-07-04 12:03:41,2018-07-04 12:27:13,2018-07-04 12:23:24,2018-07-04 12:31:25,2018-07-04 12:51:11
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:34:21,2018-07-04 11:35:11,2018-07-04 11:35:16,2018-07-04 11:36:11,2018-07-04 11:38:27,2018-07-04 11:38:29,2018-07-04 11:38:32,2018-07-04 11:40:29,2018-07-04 11:40:54,2018-07-04 11:41:26,2018-07-04 11:41:49,2018-07-04 11:42:56,2018-07-04 11:43:10,2018-07-04 11:44:04,2018-07-04 11:46:42,2018-07-04 11:47:03,2018-07-04 11:47:36,2018-07-04 11:47:52,2018-07-04 11:48:24,2018-07-04 11:49:07,2018-07-04 11:51:52,2018-07-04 11:53:24,2018-07-04 11:55:48,2018-07-04 11:56:01,2018-07-04 12:00:11,2018-07-04 12:15:10,2018-07-04 12:36:42,2018-07-04 12:41:11,2018-07-04 12:44:58,2018-07-04 13:12:10
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",68.44.129.34,104.0.74.90,75.187.69.219,98.143.0.112,70.163.6.37,98.177.165.235,108.64.75.194,69.76.44.10,76.98.73.254,64.203.220.154,174.47.173.254,23.113.68.110,63.227.47.202,107.77.199.71,73.230.121.97,157.32.97.236,73.43.88.83,72.80.116.19,73.135.121.41,71.63.144.86,73.233.150.132,69.142.163.135,99.117.138.226,96.249.250.200,98.19.23.102,70.125.32.46,65.31.180.86,68.199.25.103,69.243.81.82,98.27.172.168
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",728,726,801,902,900,958,790,917,796,1129,874,1261,1112,1251,1531,1334,1442,1398,1062,970,894,843,1095,659,1913,688,568,1067,813,1258
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:34:22,2018-07-04 11:35:12,2018-07-04 11:35:17,2018-07-04 11:36:12,2018-07-04 11:38:28,2018-07-04 11:38:29,2018-07-04 11:38:32,2018-07-04 11:40:31,2018-07-04 11:40:55,2018-07-04 11:41:27,2018-07-04 11:41:50,2018-07-04 11:42:56,2018-07-04 11:43:10,2018-07-04 11:44:05,2018-07-04 11:46:43,2018-07-04 11:47:04,2018-07-04 11:47:37,2018-07-04 11:47:53,2018-07-04 11:48:24,2018-07-04 11:49:07,2018-07-04 11:51:53,2018-07-04 11:53:25,2018-07-04 11:55:49,2018-07-04 11:56:02,2018-07-04 12:00:12,2018-07-04 12:15:10,2018-07-04 12:36:43,2018-07-04 12:41:12,2018-07-04 12:44:59,2018-07-04 13:12:11
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2PbRHTBUV15y7Z1,R_1fd4d4lOxOX3u7C,R_3NKXb0UamcoCm72,R_3Kw7bWzDQs6wBUq,R_czKefMsMLNWTkv7,R_0PnrauMTvq3YuaJ,R_2zMxolsSsInsbQR,R_3rOMknByCvQMgz8,R_Qglh8wHjvHmhIgp,R_UH1UoxCHytvy20p,R_6JAWk8ZFVoKa9AR,R_3MzCe5AkEs3KMfc,R_3ikDtLtAFe5x7wj,R_1HeCSJTjUuLQqKr,R_11bFr4TFkEncfHl,R_1JLUMx76moZL5BM,R_3nHGDtwRBniEjaC,R_6i2AF6foMtFEqlP,R_2q1zrKH6L3ruNlf,R_1o6JC73YypsQ67a,R_3eqKEjs7VzXVawY,R_RrTZMGSNBCHCiQ1,R_C3mLGEwSVxe77ah,R_56XbZB0WKrhrsU9,R_8v8b4QLpseJApvb,R_2ZP0Tzx5jN27Mqm,R_qzkYnOxE8U156dX,R_3EzogPlirxRkXbb,R_2tF4OJF4gK3JZVu,R_3MgKH3lPINAvjYX
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
