,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-26 02:15:36,2018-06-26 02:10:42,2018-06-26 02:10:25,2018-06-26 02:17:28,2018-06-26 02:09:50,2018-06-26 02:16:23,2018-06-26 02:27:19,2018-06-26 02:22:27,2018-06-26 02:22:17,2018-06-26 02:12:14,2018-06-26 02:24:20,2018-06-26 02:20:30,2018-06-26 02:26:36,2018-06-26 02:31:08,2018-06-26 02:25:57,2018-06-26 02:33:31,2018-06-26 02:10:19,2018-06-26 02:48:10,2018-06-26 02:53:59,2018-06-26 02:42:17,2018-06-26 03:00:44,2018-06-26 03:11:44,2018-06-26 03:14:23,2018-06-26 03:11:21,2018-06-26 03:20:51,2018-06-26 03:30:49,2018-06-26 02:56:13,2018-06-26 03:48:50,2018-06-26 03:37:28,2018-06-26 03:40:27,2018-06-26 03:50:23
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-26 02:18:09,2018-06-26 02:24:34,2018-06-26 02:26:40,2018-06-26 02:26:54,2018-06-26 02:27:34,2018-06-26 02:32:00,2018-06-26 02:34:04,2018-06-26 02:34:42,2018-06-26 02:34:43,2018-06-26 02:36:52,2018-06-26 02:37:43,2018-06-26 02:37:57,2018-06-26 02:41:52,2018-06-26 02:42:41,2018-06-26 02:46:43,2018-06-26 02:49:57,2018-06-26 02:51:08,2018-06-26 02:56:30,2018-06-26 03:02:37,2018-06-26 03:04:04,2018-06-26 03:18:37,2018-06-26 03:27:50,2018-06-26 03:32:17,2018-06-26 03:33:07,2018-06-26 03:35:59,2018-06-26 03:43:47,2018-06-26 03:44:33,2018-06-26 04:03:27,2018-06-26 04:03:37,2018-06-26 04:11:07,2018-06-26 04:14:37
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",71.84.20.24,174.218.2.38,73.184.142.159,76.171.45.72,146.185.31.214,24.20.124.0,198.184.147.16,68.37.211.184,47.214.190.65,70.190.71.6,138.75.174.102,108.84.149.88,107.211.221.164,96.249.250.200,136.33.51.78,68.37.211.184,79.178.220.104,99.58.42.214,110.54.215.129,75.104.114.203,174.59.105.108,173.25.95.117,45.27.36.30,99.113.144.178,27.34.17.249,76.98.73.254,99.124.216.42,170.253.133.237,99.190.112.31,71.182.235.61,107.12.251.52
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",152,831,974,565,1064,937,404,735,745,1477,802,1046,915,692,1245,986,2448,499,517,1306,1072,966,1073,1306,907,778,2900,877,1569,1839,1454
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-26 02:18:10,2018-06-26 02:24:35,2018-06-26 02:26:41,2018-06-26 02:26:55,2018-06-26 02:27:35,2018-06-26 02:32:01,2018-06-26 02:34:05,2018-06-26 02:34:43,2018-06-26 02:34:44,2018-06-26 02:36:52,2018-06-26 02:37:44,2018-06-26 02:37:57,2018-06-26 02:41:53,2018-06-26 02:42:42,2018-06-26 02:46:43,2018-06-26 02:49:58,2018-06-26 02:51:08,2018-06-26 02:56:30,2018-06-26 03:02:38,2018-06-26 03:04:04,2018-06-26 03:18:38,2018-06-26 03:27:51,2018-06-26 03:32:18,2018-06-26 03:33:08,2018-06-26 03:35:59,2018-06-26 03:43:48,2018-06-26 03:44:34,2018-06-26 04:03:28,2018-06-26 04:03:37,2018-06-26 04:11:08,2018-06-26 04:14:38
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_1H1pGlFq5o38gIi,R_UflHBCi9E6OVrfX,R_3MnjJaiqjh1aenO,R_3OcYnCy9uGF2RKj,R_2uDnYWvFHzdmYcg,R_2roR87VV8m5pLel,R_2s1oySXpuCCFaRv,R_300GCOduv0FGOye,R_2Y9BrWErvhmzd7m,R_1IWaavD5o1fBrtk,R_1Ork883QeCxYqlv,R_1gT6WDLuzfrQnDP,R_2uwAsudrSFwpJeY,R_1N4aJMF7yKompK6,R_QmjGdHp6NbDLv8t,R_CeMHVvP4hKxSBAR,R_3nDAKPfAFRnf26v,R_1lfygB6E5vRwwZQ,R_2tfIMDE9f97DyNG,R_s53rLM3rnGMoa89,R_1mqMo4ZwpDishlM,R_2zSfAEJ00Uxsl4h,R_3FQIKv0EN3o3P8e,R_3kAJpcDzachhyV6,R_ANAKwnlIhgMPAFX,R_2aahIR32xj6tZxH,R_3qJyX3Cr5LjMqTi,R_3n9s9eyPyL9y9Hl,R_3OpsjP6ZUOjU2rq,R_3oMhksXse1eVedr,R_2zCvbHbYlCmMVXg
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",35.618896484375,33.827392578125,33.918792724609,33.94140625,51.496398925781,45.498001098633,40.44059753418,42.272994995117,34.643798828125,33.339797973633,1.2931060791016,40.817199707031,30.843597412109,37.062698364258,39.014205932617,42.272994995117,32.066696166992,30.19270324707,14.385101318359,41.338592529297,40.114196777344,39.794204711914,34.940505981445,31.573104858398,27.716705322266,39.976699829102,35.314804077148,33.425903320312,34.20930480957,40.544692993164,34.900802612305
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-120.76689910889,-84.324401855469,-84.067802429199,-117.95550537109,-0.12240600585938,-122.77839660645,-79.995903015137,-83.599403381348,-92.978797912598,-111.63849639893,103.85580444336,-81.438499450684,-90.063003540039,-76.405197143555,-94.595100402832,-83.599403381348,34.766693115234,-95.417098999023,120.88110351562,-105.86019897461,-76.508796691895,-88.273399353027,-82.167198181152,-90.495597839355,85.316711425781,-75.258598327637,-81.866798400879,-88.830299377441,-118.5751953125,-79.928802490234,-76.826202392578
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
