,Unnamed: 0,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
0,StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:41:11,2018-07-04 11:42:17,2018-07-04 11:41:36,2018-07-04 11:40:56,2018-07-04 11:40:51,2018-07-04 11:41:04,2018-07-04 11:40:48,2018-07-04 11:41:24,2018-07-04 11:40:39,2018-07-04 11:43:42,2018-07-04 11:43:14,2018-07-04 11:42:53,2018-07-04 11:51:17,2018-07-04 11:42:00,2018-07-04 11:42:09,2018-07-04 11:43:38,2018-07-04 11:41:32,2018-07-04 11:42:57,2018-07-04 11:46:44,2018-07-04 11:58:31,2018-07-04 11:46:45,2018-07-04 11:41:01,2018-07-04 12:03:29,2018-07-04 12:06:23,2018-07-04 12:13:06,2018-07-04 12:32:14,2018-07-04 12:19:51,2018-07-04 12:53:46,2018-07-04 13:01:18,2018-07-04 13:00:35,7/4/2018 11:40,7/4/2018 11:38,7/4/2018 11:38,7/4/2018 11:38,7/4/2018 11:40,7/4/2018 11:41,7/4/2018 11:38,7/4/2018 11:39,7/4/2018 11:42,7/4/2018 11:38,7/4/2018 11:38,7/4/2018 11:44,7/4/2018 11:43,7/4/2018 11:45,7/4/2018 11:45,7/4/2018 11:46,7/4/2018 11:39,7/4/2018 11:44,7/4/2018 11:38,7/4/2018 11:54,7/4/2018 12:01,7/4/2018 11:57,7/4/2018 12:07,7/4/2018 11:55,7/4/2018 12:45,7/4/2018 12:51,7/4/2018 12:57,7/4/2018 13:04,7/4/2018 13:03,7/4/2018 13:11,2018-07-04 11:22:12,2018-07-04 11:23:05,2018-07-04 11:21:55,2018-07-04 11:21:08,2018-07-04 11:23:26,2018-07-04 11:22:30,2018-07-04 11:25:21,2018-07-04 11:25:12,2018-07-04 11:27:37,2018-07-04 11:22:37,2018-07-04 11:27:15,2018-07-04 11:21:54,2018-07-04 11:24:37,2018-07-04 11:23:13,2018-07-04 11:21:11,2018-07-04 11:24:48,2018-07-04 11:23:33,2018-07-04 11:24:34,2018-07-04 11:30:42,2018-07-04 11:32:57,2018-07-04 11:36:58,2018-07-04 11:39:21,2018-07-04 11:37:32,2018-07-04 11:45:01,2018-07-04 11:28:18,2018-07-04 12:03:41,2018-07-04 12:27:13,2018-07-04 12:23:24,2018-07-04 12:31:25,2018-07-04 12:51:11,2018-07-04 11:19:32,2018-07-04 11:19:43,2018-07-04 11:22:35,2018-07-04 11:21:53,2018-07-04 11:21:54,2018-07-04 11:20:37,2018-07-04 11:23:36,2018-07-04 11:27:02,2018-07-04 11:26:48,2018-07-04 11:30:11,2018-07-04 11:27:11,2018-07-04 11:30:28,2018-07-04 11:34:41,2018-07-04 11:42:06,2018-07-04 11:38:57,2018-07-04 11:37:47,2018-07-04 11:34:43,2018-07-04 11:45:14,2018-07-04 11:45:09,2018-07-04 11:56:25,2018-07-04 12:11:14,2018-07-04 12:16:53,2018-07-04 12:10:27,2018-07-04 12:17:42,2018-07-04 12:26:05,2018-07-04 12:19:12,2018-07-04 12:46:31,2018-07-04 13:09:31,2018-07-04 13:44:17,2018-07-04 14:02:08
1,EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:51:32,2018-07-04 11:53:03,2018-07-04 11:54:09,2018-07-04 11:54:12,2018-07-04 11:54:32,2018-07-04 11:55:29,2018-07-04 11:55:59,2018-07-04 11:56:14,2018-07-04 11:56:32,2018-07-04 11:57:05,2018-07-04 11:57:54,2018-07-04 11:59:27,2018-07-04 11:59:30,2018-07-04 12:00:48,2018-07-04 12:01:40,2018-07-04 12:03:14,2018-07-04 12:04:14,2018-07-04 12:04:21,2018-07-04 12:04:30,2018-07-04 12:09:42,2018-07-04 12:12:36,2018-07-04 12:13:01,2018-07-04 12:19:12,2018-07-04 12:22:45,2018-07-04 12:29:15,2018-07-04 12:49:54,2018-07-04 13:01:35,2018-07-04 13:08:18,2018-07-04 13:11:42,2018-07-04 13:24:03,7/4/2018 11:52,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:55,7/4/2018 11:57,7/4/2018 11:58,7/4/2018 11:58,7/4/2018 11:59,7/4/2018 11:59,7/4/2018 12:00,7/4/2018 12:01,7/4/2018 12:05,7/4/2018 12:06,7/4/2018 12:07,7/4/2018 12:07,7/4/2018 12:10,7/4/2018 12:13,7/4/2018 12:19,7/4/2018 12:22,7/4/2018 12:23,7/4/2018 12:27,7/4/2018 13:00,7/4/2018 13:07,7/4/2018 13:11,7/4/2018 13:15,7/4/2018 13:22,7/4/2018 13:31,2018-07-04 11:34:21,2018-07-04 11:35:11,2018-07-04 11:35:16,2018-07-04 11:36:11,2018-07-04 11:38:27,2018-07-04 11:38:29,2018-07-04 11:38:32,2018-07-04 11:40:29,2018-07-04 11:40:54,2018-07-04 11:41:26,2018-07-04 11:41:49,2018-07-04 11:42:56,2018-07-04 11:43:10,2018-07-04 11:44:04,2018-07-04 11:46:42,2018-07-04 11:47:03,2018-07-04 11:47:36,2018-07-04 11:47:52,2018-07-04 11:48:24,2018-07-04 11:49:07,2018-07-04 11:51:52,2018-07-04 11:53:24,2018-07-04 11:55:48,2018-07-04 11:56:01,2018-07-04 12:00:11,2018-07-04 12:15:10,2018-07-04 12:36:42,2018-07-04 12:41:11,2018-07-04 12:44:58,2018-07-04 13:12:10,2018-07-04 11:30:18,2018-07-04 11:32:20,2018-07-04 11:33:33,2018-07-04 11:35:33,2018-07-04 11:36:10,2018-07-04 11:36:16,2018-07-04 11:38:06,2018-07-04 11:40:58,2018-07-04 11:42:50,2018-07-04 11:43:15,2018-07-04 11:44:03,2018-07-04 11:44:46,2018-07-04 11:47:11,2018-07-04 11:51:59,2018-07-04 11:52:24,2018-07-04 11:54:45,2018-07-04 11:57:01,2018-07-04 11:57:13,2018-07-04 12:01:57,2018-07-04 12:09:26,2018-07-04 12:27:57,2018-07-04 12:30:45,2018-07-04 12:30:50,2018-07-04 12:34:44,2018-07-04 12:42:05,2018-07-04 12:52:05,2018-07-04 12:59:35,2018-07-04 13:23:49,2018-07-04 14:04:01,2018-07-04 14:29:23
2,Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",75.139.160.114,173.239.197.238,72.182.160.80,99.182.200.225,73.37.114.204,50.46.135.79,173.29.13.92,174.59.5.41,23.116.195.57,172.250.140.23,107.11.190.222,74.89.198.127,76.23.194.14,68.54.168.163,73.126.19.239,71.227.86.196,97.70.44.151,67.167.255.172,67.170.142.201,50.125.85.208,73.142.254.77,173.168.146.137,107.219.126.149,71.228.210.47,99.90.186.94,73.97.43.170,96.246.200.133,24.61.204.167,47.145.114.18,173.81.116.50,24.130.227.229,173.174.144.246,174.101.212.155,72.14.101.106,107.12.182.11,72.209.19.7,50.74.49.203,67.169.209.224,174.110.247.92,181.66.165.225,97.121.64.15,24.205.20.167,73.26.55.87,104.54.230.202,173.25.25.86,73.178.119.101,75.106.246.55,98.22.51.38,75.136.162.169,104.35.170.65,104.244.146.67,73.230.128.17,99.100.238.66,47.149.7.143,68.195.11.250,108.185.71.126,75.32.5.219,66.214.241.13,99.120.144.62,173.94.197.73,68.44.129.34,104.0.74.90,75.187.69.219,98.143.0.112,70.163.6.37,98.177.165.235,108.64.75.194,69.76.44.10,76.98.73.254,64.203.220.154,174.47.173.254,23.113.68.110,63.227.47.202,107.77.199.71,73.230.121.97,157.32.97.236,73.43.88.83,72.80.116.19,73.135.121.41,71.63.144.86,73.233.150.132,69.142.163.135,99.117.138.226,96.249.250.200,98.19.23.102,70.125.32.46,65.31.180.86,68.199.25.103,69.243.81.82,98.27.172.168,52.119.107.9,67.189.171.219,24.74.120.186,107.77.218.93,73.171.223.52,76.18.221.168,72.9.14.249,74.140.234.46,73.138.104.199,98.225.117.124,98.247.142.31,173.26.103.49,98.209.27.109,73.221.14.154,35.200.13.151,73.122.209.230,98.235.69.98,64.71.171.58,67.235.100.203,73.76.78.118,98.18.135.79,24.10.22.33,104.244.146.67,68.226.96.200,71.244.226.211,73.102.80.250,73.85.204.130,172.114.100.24,71.201.193.167,50.127.208.72
4,Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",620,646,753,796,821,865,911,889,953,803,879,994,492,1127,1170,1175,1361,1283,1066,670,1551,1919,943,981,969,1060,2503,871,623,1408,702,873,925,923,838,794,983,1090,961,1217,1254,883,1011,980,1184,1208,1695,1358,1894,1153,1088,1516,939,1906,862,958,866,650,1145,1197,728,726,801,902,900,958,790,917,796,1129,874,1261,1112,1251,1531,1334,1442,1398,1062,970,894,843,1095,659,1913,688,568,1067,813,1258,646,756,658,820,856,938,869,835,961,783,1011,857,750,592,806,1018,1338,719,1007,780,1003,832,1223,1021,959,1973,784,857,1183,1635
6,Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:51:32,2018-07-04 11:53:05,2018-07-04 11:54:10,2018-07-04 11:54:13,2018-07-04 11:54:33,2018-07-04 11:55:30,2018-07-04 11:56:00,2018-07-04 11:56:15,2018-07-04 11:56:33,2018-07-04 11:57:06,2018-07-04 11:57:54,2018-07-04 11:59:28,2018-07-04 11:59:31,2018-07-04 12:00:49,2018-07-04 12:01:41,2018-07-04 12:03:15,2018-07-04 12:04:15,2018-07-04 12:04:21,2018-07-04 12:04:31,2018-07-04 12:09:42,2018-07-04 12:12:37,2018-07-04 12:13:01,2018-07-04 12:19:13,2018-07-04 12:22:45,2018-07-04 12:29:15,2018-07-04 12:49:56,2018-07-04 13:01:35,2018-07-04 13:08:18,2018-07-04 13:11:42,2018-07-04 13:24:04,7/4/2018 11:52,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:53,7/4/2018 11:54,7/4/2018 11:54,7/4/2018 11:55,7/4/2018 11:57,7/4/2018 11:58,7/4/2018 11:59,7/4/2018 11:59,7/4/2018 11:59,7/4/2018 12:00,7/4/2018 12:01,7/4/2018 12:05,7/4/2018 12:06,7/4/2018 12:07,7/4/2018 12:07,7/4/2018 12:10,7/4/2018 12:13,7/4/2018 12:19,7/4/2018 12:22,7/4/2018 12:23,7/4/2018 12:27,7/4/2018 13:00,7/4/2018 13:07,7/4/2018 13:11,7/4/2018 13:15,7/4/2018 13:22,7/4/2018 13:31,2018-07-04 11:34:22,2018-07-04 11:35:12,2018-07-04 11:35:17,2018-07-04 11:36:12,2018-07-04 11:38:28,2018-07-04 11:38:29,2018-07-04 11:38:32,2018-07-04 11:40:31,2018-07-04 11:40:55,2018-07-04 11:41:27,2018-07-04 11:41:50,2018-07-04 11:42:56,2018-07-04 11:43:10,2018-07-04 11:44:05,2018-07-04 11:46:43,2018-07-04 11:47:04,2018-07-04 11:47:37,2018-07-04 11:47:53,2018-07-04 11:48:24,2018-07-04 11:49:07,2018-07-04 11:51:53,2018-07-04 11:53:25,2018-07-04 11:55:49,2018-07-04 11:56:02,2018-07-04 12:00:12,2018-07-04 12:15:10,2018-07-04 12:36:43,2018-07-04 12:41:12,2018-07-04 12:44:59,2018-07-04 13:12:11,2018-07-04 11:30:18,2018-07-04 11:32:21,2018-07-04 11:33:35,2018-07-04 11:35:34,2018-07-04 11:36:11,2018-07-04 11:36:16,2018-07-04 11:38:07,2018-07-04 11:40:58,2018-07-04 11:42:51,2018-07-04 11:43:15,2018-07-04 11:44:03,2018-07-04 11:44:46,2018-07-04 11:47:12,2018-07-04 11:52:00,2018-07-04 11:52:25,2018-07-04 11:54:46,2018-07-04 11:57:02,2018-07-04 11:57:14,2018-07-04 12:01:57,2018-07-04 12:09:27,2018-07-04 12:27:58,2018-07-04 12:30:45,2018-07-04 12:30:51,2018-07-04 12:34:45,2018-07-04 12:42:06,2018-07-04 12:52:06,2018-07-04 12:59:36,2018-07-04 13:23:50,2018-07-04 14:04:02,2018-07-04 14:29:24
8,ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2fwWymlJrfVh3SC,R_3MDyFl7SXwGlfUi,R_1oklEFUUXdXoCIs,R_bvxDNT0B8LUyW5P,R_5otbnOBmkJKR6Qp,R_2w4EgoJ8AVydxdy,R_1qgOW38YevjYc4Y,R_30cqnT68XKtYGfh,R_3oyZMxNSCZTNGzn,R_vIfUBtuxCLd1YPL,R_vCSc9egjQy6RPDH,R_1rcz8bjADSpvIEG,R_1BQOs3xU6cpI7T0,R_1QhIporaJGSa0WL,R_3HqpRL6tYEk2uNR,R_3ikAhEA2TLVrKlv,R_VVhEv2hbmXi3LJn,R_4THnWQAD1Hc0wfv,R_3GcxBtYrNi9kgJ8,R_3fCXVmnNnuLqlTm,R_5AveqRm6pYT5BYZ,R_DDaYPG5Vn5sJ1i9,R_ZxlG35p8UsZCNqN,R_1mLxsqC1Cs8UQ2y,R_RRlHbrztiJMP3vb,R_0H64w76ZrUPXO8h,R_2CBVuELhZxx49Tc,R_29itqPFxcaxJKSZ,R_2aRaMY8uSZnxYLJ,R_ODaX0gncU1PLDBT,R_2ZX2zuf6oUo6N8e,R_1r18SsbUjQeUCyn,R_BsjI1PJjk3inFlv,R_s56yVlTR6vVmnVT,R_BrGr7GRYw6ajebT,R_YSNT9LVO0KnGBa1,R_2DRCBZ8alN4g8BA,R_1NEXevgBRaeqCkq,R_27NiARwaWeivCEr,R_12RbAf7ksUHbWTR,R_1QtjQaFdT9lz5Uu,R_1WSQeEEfkyfWk6Z,R_273Gvp98jYxCp6q,R_2TmAExzfalCflqp,R_2QlW2Cnbtz7nRQq,R_3j1E6JEXq5wRKUy,R_2dfEvZTeuafcTjC,R_3KYHqOykZeXwOHr,R_2aqUdSxEguSD66u,R_AvNfhwYOMhPh9bb,R_2Y3sKAq1n7labqx,R_1jk3UCS4hMHHZcp,R_sgISXfVot6yZlyp,R_3NQhwl9KFmBDxX6,R_7OO0mpvGEPOjwA1,R_1hXPTUJk4liROut,R_2EGgUnHpVvbcORX,R_1l0snIjkzvCGsUp,R_ZjEJrMQM20xXIoF,R_3p6cyDIFaTfwG4E,R_2PbRHTBUV15y7Z1,R_1fd4d4lOxOX3u7C,R_3NKXb0UamcoCm72,R_3Kw7bWzDQs6wBUq,R_czKefMsMLNWTkv7,R_0PnrauMTvq3YuaJ,R_2zMxolsSsInsbQR,R_3rOMknByCvQMgz8,R_Qglh8wHjvHmhIgp,R_UH1UoxCHytvy20p,R_6JAWk8ZFVoKa9AR,R_3MzCe5AkEs3KMfc,R_3ikDtLtAFe5x7wj,R_1HeCSJTjUuLQqKr,R_11bFr4TFkEncfHl,R_1JLUMx76moZL5BM,R_3nHGDtwRBniEjaC,R_6i2AF6foMtFEqlP,R_2q1zrKH6L3ruNlf,R_1o6JC73YypsQ67a,R_3eqKEjs7VzXVawY,R_RrTZMGSNBCHCiQ1,R_C3mLGEwSVxe77ah,R_56XbZB0WKrhrsU9,R_8v8b4QLpseJApvb,R_2ZP0Tzx5jN27Mqm,R_qzkYnOxE8U156dX,R_3EzogPlirxRkXbb,R_2tF4OJF4gK3JZVu,R_3MgKH3lPINAvjYX,R_3F3VgMjB12LA8ub,R_WcfFc9CgMFV1b7r,R_1f4asvDeoJqxgjT,R_2duNWE0o7Kb7LES,R_XGLJSIILpp2KKm5,R_1eDGI5tXYmICigl,R_3HoWCE4m8ROAtSx,R_24bKEwOewf0eusy,R_2YEzFP8EhMDZwRt,R_1CymvkKFlSVlcaP,R_2wysRtK1vtsOTBS,R_2q4cx5bw5O1rUYM,R_C2j5nxL19u2Iqhr,R_Z2XXgyg1IendrG1,R_1CjUY0uIHemM6Hr,R_PXqK4JQtkFusJON,R_2V3mBNj8TtJHX2i,R_2zHIKMK1R8ciGzV,R_2VfnlTXqwaAQxtn,R_1nUYG5BiEzaatdc,R_2c0zJhiMGhBtPcy,R_2pPufl3O2v40JdT,R_21pIkZ7DUXIVE5Q,R_2tyuyotKVxR11zY,R_2THLlwGsMXcqrKH,R_YXMLpifjCZ9ZWPn,R_24k2xX8ykso2T8A,R_1NCuJLRbTUcTDTl,R_1Cejvqvgn5Gp0vZ,R_2Tpz1HM1BNBbv9G
