,Unnamed: 0,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330
0,StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-26 02:18:30,2018-06-26 02:15:00,2018-06-26 02:16:00,2018-06-26 02:24:12,2018-06-26 02:19:53,2018-06-26 02:19:41,2018-06-26 02:23:55,2018-06-26 02:20:24,2018-06-26 02:25:01,2018-06-26 02:26:33,2018-06-26 02:43:52,2018-06-26 02:22:15,2018-06-26 02:29:16,2018-06-26 02:50:19,2018-06-26 02:46:09,2018-06-26 02:39:04,2018-06-26 02:47:36,2018-06-26 02:29:47,2018-06-26 02:48:47,2018-06-26 02:55:20,2018-06-26 02:56:46,2018-06-26 03:13:09,2018-06-26 03:10:07,2018-06-26 03:10:48,2018-06-26 03:14:40,2018-06-26 03:19:23,2018-06-26 03:14:42,2018-06-26 03:26:40,2018-06-26 03:38:59,2018-06-26 03:29:33,2018-06-26 02:15:36,2018-06-26 02:10:42,2018-06-26 02:10:25,2018-06-26 02:17:28,2018-06-26 02:09:50,2018-06-26 02:16:23,2018-06-26 02:27:19,2018-06-26 02:22:27,2018-06-26 02:22:17,2018-06-26 02:12:14,2018-06-26 02:24:20,2018-06-26 02:20:30,2018-06-26 02:26:36,2018-06-26 02:31:08,2018-06-26 02:25:57,2018-06-26 02:33:31,2018-06-26 02:10:19,2018-06-26 02:48:10,2018-06-26 02:53:59,2018-06-26 02:42:17,2018-06-26 03:00:44,2018-06-26 03:11:44,2018-06-26 03:14:23,2018-06-26 03:11:21,2018-06-26 03:20:51,2018-06-26 03:30:49,2018-06-26 02:56:13,2018-06-26 03:48:50,2018-06-26 03:37:28,2018-06-26 03:40:27,2018-06-26 03:50:23,2018-06-26 02:12:26,2018-06-26 02:09:06,2018-06-26 02:10:52,2018-06-26 02:11:53,2018-06-26 02:10:02,2018-06-26 02:25:05,2018-06-26 02:16:39,2018-06-26 02:35:09,2018-06-26 02:21:08,2018-06-26 02:22:51,2018-06-26 02:22:20,2018-06-26 02:25:49,2018-06-26 02:35:03,2018-06-26 02:30:50,2018-06-26 02:32:56,2018-06-26 02:25:04,2018-06-26 02:41:00,2018-06-26 02:26:53,2018-06-26 02:35:00,2018-06-26 02:55:25,2018-06-26 02:50:01,2018-06-26 02:56:56,2018-06-26 02:59:48,2018-06-26 03:09:22,2018-06-26 03:07:11,2018-06-26 03:06:45,2018-06-26 03:09:24,2018-06-26 03:26:31,2018-06-26 03:30:08,2018-06-26 03:21:09,2018-06-26 03:57:10,2018-06-26 04:50:44,2018-06-26 02:05:43,2018-06-26 02:06:43,2018-06-26 02:06:08,2018-06-26 02:05:53,2018-06-26 02:09:12,2018-06-26 02:07:52,2018-06-26 02:06:26,2018-06-26 02:11:54,2018-06-26 02:06:50,2018-06-26 02:08:38,2018-06-26 02:13:47,2018-06-26 02:07:10,2018-06-26 02:10:58,2018-06-26 02:08:11,2018-06-26 02:07:20,2018-06-26 02:07:06,2018-06-26 02:18:51,2018-06-26 02:15:10,2018-06-26 02:05:56,2018-06-26 02:21:34,2018-06-26 02:23:43,2018-06-26 02:06:03,2018-06-26 03:12:52,2018-06-26 03:06:38,2018-06-26 03:08:24,2018-06-26 03:14:17,2018-06-26 03:10:16,2018-06-26 03:15:30,2018-06-26 04:47:19,2018-06-26 04:33:45
1,EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-26 02:20:41,2018-06-26 02:25:46,2018-06-26 02:28:35,2018-06-26 02:33:21,2018-06-26 02:35:09,2018-06-26 02:35:41,2018-06-26 02:40:20,2018-06-26 02:41:50,2018-06-26 02:42:35,2018-06-26 02:46:32,2018-06-26 02:47:02,2018-06-26 02:49:11,2018-06-26 02:49:59,2018-06-26 02:54:22,2018-06-26 02:56:11,2018-06-26 02:56:24,2018-06-26 03:01:13,2018-06-26 03:02:11,2018-06-26 03:03:21,2018-06-26 03:10:37,2018-06-26 03:15:54,2018-06-26 03:23:00,2018-06-26 03:28:03,2018-06-26 03:28:16,2018-06-26 03:28:27,2018-06-26 03:33:48,2018-06-26 03:36:09,2018-06-26 03:48:03,2018-06-26 03:53:32,2018-06-26 03:54:22,2018-06-26 02:18:09,2018-06-26 02:24:34,2018-06-26 02:26:40,2018-06-26 02:26:54,2018-06-26 02:27:34,2018-06-26 02:32:00,2018-06-26 02:34:04,2018-06-26 02:34:42,2018-06-26 02:34:43,2018-06-26 02:36:52,2018-06-26 02:37:43,2018-06-26 02:37:57,2018-06-26 02:41:52,2018-06-26 02:42:41,2018-06-26 02:46:43,2018-06-26 02:49:57,2018-06-26 02:51:08,2018-06-26 02:56:30,2018-06-26 03:02:37,2018-06-26 03:04:04,2018-06-26 03:18:37,2018-06-26 03:27:50,2018-06-26 03:32:17,2018-06-26 03:33:07,2018-06-26 03:35:59,2018-06-26 03:43:47,2018-06-26 03:44:33,2018-06-26 04:03:27,2018-06-26 04:03:37,2018-06-26 04:11:07,2018-06-26 04:14:37,2018-06-26 02:15:16,2018-06-26 02:19:07,2018-06-26 02:24:44,2018-06-26 02:27:25,2018-06-26 02:27:56,2018-06-26 02:32:40,2018-06-26 02:35:54,2018-06-26 02:36:14,2018-06-26 02:37:45,2018-06-26 02:38:03,2018-06-26 02:40:42,2018-06-26 02:41:03,2018-06-26 02:41:56,2018-06-26 02:47:39,2018-06-26 02:54:49,2018-06-26 02:54:55,2018-06-26 02:57:04,2018-06-26 02:58:17,2018-06-26 02:59:19,2018-06-26 03:05:31,2018-06-26 03:08:16,2018-06-26 03:13:28,2018-06-26 03:20:18,2018-06-26 03:26:13,2018-06-26 03:27:45,2018-06-26 03:29:31,2018-06-26 03:39:02,2018-06-26 03:42:03,2018-06-26 03:46:16,2018-06-26 03:52:00,2018-06-26 04:12:50,2018-06-26 05:18:17,2018-06-26 02:11:49,2018-06-26 02:12:29,2018-06-26 02:13:49,2018-06-26 02:18:46,2018-06-26 02:19:41,2018-06-26 02:20:33,2018-06-26 02:21:35,2018-06-26 02:21:45,2018-06-26 02:22:19,2018-06-26 02:22:38,2018-06-26 02:24:34,2018-06-26 02:25:12,2018-06-26 02:25:43,2018-06-26 02:27:24,2018-06-26 02:27:54,2018-06-26 02:28:51,2018-06-26 02:29:35,2018-06-26 02:30:17,2018-06-26 02:33:01,2018-06-26 02:36:28,2018-06-26 02:38:19,2018-06-26 02:40:06,2018-06-26 03:27:04,2018-06-26 03:29:18,2018-06-26 03:32:26,2018-06-26 03:36:09,2018-06-26 03:37:23,2018-06-26 03:53:18,2018-06-26 04:58:33,2018-06-26 05:03:58
2,Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",71.84.20.24,67.185.202.112,172.56.42.233,73.189.185.116,107.5.199.80,154.123.68.204,108.48.147.136,173.190.4.199,70.254.194.96,99.105.80.78,68.37.211.184,72.199.82.211,66.168.224.37,68.37.211.184,98.160.177.125,23.127.73.136,24.130.232.222,96.36.9.9,197.211.61.6,71.172.28.139,137.118.149.106,107.77.215.129,75.27.4.111,73.55.204.192,108.167.36.210,68.63.164.6,168.244.11.42,50.90.179.99,107.77.196.70,196.17.65.146,71.84.20.24,174.218.2.38,73.184.142.159,76.171.45.72,146.185.31.214,24.20.124.0,198.184.147.16,68.37.211.184,47.214.190.65,70.190.71.6,138.75.174.102,108.84.149.88,107.211.221.164,96.249.250.200,136.33.51.78,68.37.211.184,79.178.220.104,99.58.42.214,110.54.215.129,75.104.114.203,174.59.105.108,173.25.95.117,45.27.36.30,99.113.144.178,27.34.17.249,76.98.73.254,99.124.216.42,170.253.133.237,99.190.112.31,71.182.235.61,107.12.251.52,71.84.20.24,73.47.99.21,70.127.30.49,108.36.109.120,24.130.203.217,68.37.211.184,197.211.63.158,24.20.124.0,214.15.228.39,24.49.56.194,73.98.105.77,68.34.89.213,68.37.211.184,184.56.102.215,75.191.150.215,138.75.174.102,41.90.85.8,73.11.113.47,69.137.224.20,74.82.17.84,65.3.160.19,24.163.96.64,174.102.88.225,96.85.40.17,173.244.217.54,92.252.73.35,104.55.17.205,165.225.38.63,174.195.138.114,67.143.160.69,74.137.11.91,98.1.67.124,71.84.20.24,50.105.74.233,98.4.47.5,12.185.249.139,205.209.93.240,88.244.36.130,144.163.201.120,68.37.211.184,70.173.196.223,71.47.39.230,68.37.211.184,32.217.5.24,67.51.218.132,72.197.171.54,74.215.10.65,110.54.193.153,69.181.245.243,73.224.73.231,42.106.10.146,38.132.117.103,76.104.228.49,45.48.226.100,71.76.146.142,108.29.64.50,69.139.25.59,173.92.76.163,108.29.67.183,71.60.31.147,184.170.76.155,73.230.218.46
4,Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",131,645,754,548,915,960,984,1285,1054,1198,189,1616,1243,243,602,1040,816,1944,874,916,1148,591,1075,1047,826,865,1286,1282,873,1488,152,831,974,565,1064,937,404,735,745,1477,802,1046,915,692,1245,986,2448,499,517,1306,1072,966,1073,1306,907,778,2900,877,1569,1839,1454,170,601,832,931,1073,454,1155,65,996,912,1101,913,412,1008,1312,1790,963,1884,1459,605,1095,992,1230,1010,1233,1365,1777,931,968,1851,940,1652,366,345,460,772,628,760,908,591,929,839,647,1081,885,1152,1234,1305,643,906,1624,894,876,2042,851,1359,1441,1311,1626,2267,673,1813
6,Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-26 02:20:42,2018-06-26 02:25:47,2018-06-26 02:28:35,2018-06-26 02:33:22,2018-06-26 02:35:10,2018-06-26 02:35:42,2018-06-26 02:40:21,2018-06-26 02:41:52,2018-06-26 02:42:36,2018-06-26 02:46:32,2018-06-26 02:47:02,2018-06-26 02:49:12,2018-06-26 02:50:00,2018-06-26 02:54:23,2018-06-26 02:56:12,2018-06-26 02:56:25,2018-06-26 03:01:14,2018-06-26 03:02:12,2018-06-26 03:03:21,2018-06-26 03:10:38,2018-06-26 03:15:55,2018-06-26 03:23:01,2018-06-26 03:28:04,2018-06-26 03:28:17,2018-06-26 03:28:28,2018-06-26 03:33:49,2018-06-26 03:36:10,2018-06-26 03:48:04,2018-06-26 03:53:33,2018-06-26 03:54:23,2018-06-26 02:18:10,2018-06-26 02:24:35,2018-06-26 02:26:41,2018-06-26 02:26:55,2018-06-26 02:27:35,2018-06-26 02:32:01,2018-06-26 02:34:05,2018-06-26 02:34:43,2018-06-26 02:34:44,2018-06-26 02:36:52,2018-06-26 02:37:44,2018-06-26 02:37:57,2018-06-26 02:41:53,2018-06-26 02:42:42,2018-06-26 02:46:43,2018-06-26 02:49:58,2018-06-26 02:51:08,2018-06-26 02:56:30,2018-06-26 03:02:38,2018-06-26 03:04:04,2018-06-26 03:18:38,2018-06-26 03:27:51,2018-06-26 03:32:18,2018-06-26 03:33:08,2018-06-26 03:35:59,2018-06-26 03:43:48,2018-06-26 03:44:34,2018-06-26 04:03:28,2018-06-26 04:03:37,2018-06-26 04:11:08,2018-06-26 04:14:38,2018-06-26 02:15:17,2018-06-26 02:19:08,2018-06-26 02:24:45,2018-06-26 02:27:26,2018-06-26 02:27:56,2018-06-26 02:32:41,2018-06-26 02:35:55,2018-06-26 02:36:15,2018-06-26 02:37:46,2018-06-26 02:38:04,2018-06-26 02:40:43,2018-06-26 02:41:03,2018-06-26 02:41:57,2018-06-26 02:47:39,2018-06-26 02:54:49,2018-06-26 02:54:56,2018-06-26 02:57:05,2018-06-26 02:58:18,2018-06-26 02:59:19,2018-06-26 03:05:32,2018-06-26 03:08:17,2018-06-26 03:13:29,2018-06-26 03:20:19,2018-06-26 03:26:14,2018-06-26 03:27:46,2018-06-26 03:29:32,2018-06-26 03:39:03,2018-06-26 03:42:04,2018-06-26 03:46:17,2018-06-26 03:52:00,2018-06-26 04:12:51,2018-06-26 05:18:17,2018-06-26 02:11:50,2018-06-26 02:12:30,2018-06-26 02:13:49,2018-06-26 02:18:47,2018-06-26 02:19:43,2018-06-26 02:20:34,2018-06-26 02:21:35,2018-06-26 02:21:45,2018-06-26 02:22:20,2018-06-26 02:22:39,2018-06-26 02:24:35,2018-06-26 02:25:12,2018-06-26 02:25:44,2018-06-26 02:27:24,2018-06-26 02:27:55,2018-06-26 02:28:52,2018-06-26 02:29:36,2018-06-26 02:30:17,2018-06-26 02:33:02,2018-06-26 02:36:29,2018-06-26 02:38:20,2018-06-26 02:40:07,2018-06-26 03:27:05,2018-06-26 03:29:19,2018-06-26 03:32:26,2018-06-26 03:36:09,2018-06-26 03:37:24,2018-06-26 03:53:19,2018-06-26 04:58:33,2018-06-26 05:03:59
8,ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_bQKaMO6AclS4YMN,R_3hApZVcyLKjpPdP,R_pARRjiIWGR9QzRL,R_3EF5lR4xxWJnZZ2,R_z8yboNmEnOEu84V,R_1BSfJk5mV2FniSf,R_3QMNATNP9uEkBpb,R_3HAJwe97BFLVTVb,R_3q99AZAEXuWQqpU,R_56ZZeg8hFjVZN2p,R_tLitUbTFQnbC9BD,R_2aFuIi4YSFLa4zA,R_U9InYLhrMqCR8WZ,R_2Tv0KGec9PWwyiW,R_0OsmavzUJoQgAMN,R_WqZ53xIy1Ft7BW9,R_3O1yh3htxVr2aDv,R_2410AAgcLn1nKaW,R_2tsR64sCdDojTRV,R_2woYgHLoP19JU5z,R_2X4DSxage6NjAa7,R_1OJH9SmvF3KnC4P,R_3EoHTqaF7Y9x74p,R_3nqPgumfUAK8iBz,R_vHA0mKZCmymtgTn,R_sk6iOF4qYkhLa0x,R_3GDGKv7ZdELNr7L,R_zZ1UTd45LokqHgB,R_1kIBKUNULxrHopM,R_26axlmUSOoA3IfE,R_1H1pGlFq5o38gIi,R_UflHBCi9E6OVrfX,R_3MnjJaiqjh1aenO,R_3OcYnCy9uGF2RKj,R_2uDnYWvFHzdmYcg,R_2roR87VV8m5pLel,R_2s1oySXpuCCFaRv,R_300GCOduv0FGOye,R_2Y9BrWErvhmzd7m,R_1IWaavD5o1fBrtk,R_1Ork883QeCxYqlv,R_1gT6WDLuzfrQnDP,R_2uwAsudrSFwpJeY,R_1N4aJMF7yKompK6,R_QmjGdHp6NbDLv8t,R_CeMHVvP4hKxSBAR,R_3nDAKPfAFRnf26v,R_1lfygB6E5vRwwZQ,R_2tfIMDE9f97DyNG,R_s53rLM3rnGMoa89,R_1mqMo4ZwpDishlM,R_2zSfAEJ00Uxsl4h,R_3FQIKv0EN3o3P8e,R_3kAJpcDzachhyV6,R_ANAKwnlIhgMPAFX,R_2aahIR32xj6tZxH,R_3qJyX3Cr5LjMqTi,R_3n9s9eyPyL9y9Hl,R_3OpsjP6ZUOjU2rq,R_3oMhksXse1eVedr,R_2zCvbHbYlCmMVXg,R_3KMwnx4OgoxhNPx,R_2fx3WMX7DpwChbH,R_2CCzf8XgGfBiNlq,R_123UE2TeFwICMCc,R_0eX2BNs7YLJBIuB,R_2B2p06UyAnwmetO,R_3emgb03fkuRWWAO,R_3FPtoDox1Dbfzw8,R_z2JD3mArwqTYLEB,R_2WGbIecTLPFmxef,R_1eQAXf5qA3dVSGQ,R_1fZUDBPwQ7kPrla,R_w5GxtKxp5K1rmEx,R_300Ek1u316Quoee,R_20NAKNfFgbvDAoj,R_1JJBkAtivJdGhQO,R_Bs5GWmiZA8c7a4V,R_2an9nKu9r99GmC5,R_1K0Yqm9MssCn457,R_2PnZxc2koik9CtD,R_2YbVe0sP2E8YW6u,R_WxEWtmq3e1wY4OR,R_26u2xJm6wXFSDpT,R_2abt5IIowYqSfE0,R_2pXcwWQUYgPduqy,R_a5Hnea4UrFKqhLb,R_125wO6seSa3pbes,R_1dyRPS7I2FwaWOm,R_1n6eRgwMjjzgZXT,R_2oBt7ApLFmqFYtj,R_2TsBbKXW3eEHLvM,R_21iTC0GqjibVvFD,R_1g6fzCA2Vol1P6o,R_2VwfxDOfva5IYFa,R_2cdvFfi7YC0JytY,R_vodOeU4xNpP36U1,R_3JlSixzCsTaP6bv,R_AAS7q0yOXp31llL,R_2BsxHo2VIwmnnDA,R_1iqe5wKucaHOBTP,R_3Pk0voLMCEtGT7g,R_vBUAN4ox5lb0s4F,R_1ojUd7FJAkj7IhX,R_2qC6c60BSzgGQSf,R_1gNQCfVUwV1AlvW,R_2V87wFIJDmj9UuX,R_ZI57cWJ8QY8k0oN,R_dm4NgzVKNCxQIw1,R_T75BYgrTMmWEN69,R_331FGbY7ZR6a82R,R_tFYs60AJvQj6nCh,R_2R94tmxaEnqInfU,R_3nckSMIEpH7FAd9,R_3MMeCz1JfujE5sV,R_TouA7W3gcR3lNId,R_2sYixMN9SVTLcA7,R_1QEBqxk5Lbn7Ql3,R_1jIIFpPYSsEQPKV,R_d9XR9XUJ15esBDX,R_2ds8E8QE671cnsy,R_pyeDS4EvE1k4qad,R_zdsOA3BsmHUdXtT
