,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:35:09,2018-07-04 11:39:33,2018-07-04 11:35:54,2018-07-04 11:37:53,2018-07-04 11:41:01,2018-07-04 11:37:43,2018-07-04 11:53:50,2018-07-04 11:42:14,2018-07-04 11:41:02,2018-07-04 11:41:53,2018-07-04 11:35:37,2018-07-04 11:43:32,2018-07-04 11:44:01,2018-07-04 11:47:02,2018-07-04 11:47:11,2018-07-04 11:36:40,2018-07-04 11:42:26,2018-07-04 11:49:50,2018-07-04 11:41:30,2018-07-04 11:42:48,2018-07-04 11:51:08,2018-07-04 12:05:40,2018-07-04 11:34:59,2018-07-04 12:19:50,2018-07-04 12:02:27,2018-07-04 12:18:45,2018-07-04 12:23:44,2018-07-04 13:08:28,2018-07-04 13:12:40,2018-07-04 13:39:10
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:46:50,2018-07-04 11:50:06,2018-07-04 11:51:08,2018-07-04 11:52:48,2018-07-04 11:53:31,2018-07-04 11:54:23,2018-07-04 11:55:56,2018-07-04 11:56:18,2018-07-04 11:56:39,2018-07-04 11:57:55,2018-07-04 11:59:37,2018-07-04 11:59:54,2018-07-04 12:01:02,2018-07-04 12:02:16,2018-07-04 12:02:28,2018-07-04 12:04:44,2018-07-04 12:06:28,2018-07-04 12:06:52,2018-07-04 12:09:52,2018-07-04 12:10:40,2018-07-04 12:21:00,2018-07-04 12:22:47,2018-07-04 12:25:45,2018-07-04 12:33:46,2018-07-04 12:35:24,2018-07-04 12:42:36,2018-07-04 12:47:10,2018-07-04 13:24:35,2018-07-04 13:29:35,2018-07-04 14:00:41
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",100.11.252.6,206.201.80.36,24.192.91.104,73.2.27.58,71.204.253.18,24.18.91.252,98.200.12.180,216.14.250.140,74.97.26.167,216.106.39.229,50.93.225.4,64.250.12.111,97.90.218.142,96.249.230.160,171.243.90.166,108.18.70.89,73.92.5.208,68.204.213.212,67.44.208.105,73.255.3.61,66.199.58.117,64.183.114.58,108.77.159.58,174.226.1.144,68.0.187.240,97.88.73.246,173.56.245.139,71.184.155.101,107.1.159.106,71.200.185.179
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",700,632,913,894,749,999,125,843,937,961,1440,981,1020,914,917,1683,1442,1021,1701,1672,1791,1027,3046,836,1977,1430,1405,966,1015,1290
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:46:50,2018-07-04 11:50:07,2018-07-04 11:51:09,2018-07-04 11:52:49,2018-07-04 11:53:31,2018-07-04 11:54:23,2018-07-04 11:55:57,2018-07-04 11:56:18,2018-07-04 11:56:40,2018-07-04 11:57:55,2018-07-04 11:59:38,2018-07-04 11:59:54,2018-07-04 12:01:02,2018-07-04 12:02:17,2018-07-04 12:02:29,2018-07-04 12:04:46,2018-07-04 12:06:29,2018-07-04 12:06:53,2018-07-04 12:09:53,2018-07-04 12:10:41,2018-07-04 12:21:00,2018-07-04 12:22:48,2018-07-04 12:25:46,2018-07-04 12:33:47,2018-07-04 12:35:25,2018-07-04 12:42:37,2018-07-04 12:47:10,2018-07-04 13:24:35,2018-07-04 13:29:36,2018-07-04 14:00:41
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_3G6UJ6OY0Jx2Aa0,R_1gkDPL5qJxExZaX,R_33wf27BGDzYS7Rr,R_21BeJ0Cop7PCf1v,R_AEYxN8fu62T1nup,R_1r6LpnKSIxflAiv,R_r3JV3fdB2Xr4KqJ,R_3FL0xU5ZEL3wtMS,R_2uqTAnr64KCbBzv,R_shbWgGF0kOKu42B,R_3KNkr7Ia0i4I27z,R_3ETt035pNRn71Fy,R_1QmaBELRUV8k1HG,R_1DPi4zqCigomBO1,R_2E62UoN2PsImPUI,R_1o6EtS9icKfbwIy,R_dnzdcHAt33ys78R,R_3CNkjm67BwR3UKm,R_yHNMMmIiJqHKHip,R_VPavvEwKByl7pkd,R_216SzkO3J7ngebC,R_2dAPpi3oUmH3X9f,R_31HJoUHxsiZj2dh,R_1gRT5UhuM0bZGho,R_2eVIRdJgrZ2bDl4,R_3EiiUNUX3Su7Kio,R_2tGypwIsIUnkPWv,R_29v6ZSRqmfZ0I42,R_3oC6VpCyWTuwsjJ,R_3KO6JJ2UthC307F
