,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:19:32,2018-07-04 11:19:43,2018-07-04 11:22:35,2018-07-04 11:21:53,2018-07-04 11:21:54,2018-07-04 11:20:37,2018-07-04 11:23:36,2018-07-04 11:27:02,2018-07-04 11:26:48,2018-07-04 11:30:11,2018-07-04 11:27:11,2018-07-04 11:30:28,2018-07-04 11:34:41,2018-07-04 11:42:06,2018-07-04 11:38:57,2018-07-04 11:37:47,2018-07-04 11:34:43,2018-07-04 11:45:14,2018-07-04 11:45:09,2018-07-04 11:56:25,2018-07-04 12:11:14,2018-07-04 12:16:53,2018-07-04 12:10:27,2018-07-04 12:17:42,2018-07-04 12:26:05,2018-07-04 12:19:12,2018-07-04 12:46:31,2018-07-04 13:09:31,2018-07-04 13:44:17,2018-07-04 14:02:08
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:30:18,2018-07-04 11:32:20,2018-07-04 11:33:33,2018-07-04 11:35:33,2018-07-04 11:36:10,2018-07-04 11:36:16,2018-07-04 11:38:06,2018-07-04 11:40:58,2018-07-04 11:42:50,2018-07-04 11:43:15,2018-07-04 11:44:03,2018-07-04 11:44:46,2018-07-04 11:47:11,2018-07-04 11:51:59,2018-07-04 11:52:24,2018-07-04 11:54:45,2018-07-04 11:57:01,2018-07-04 11:57:13,2018-07-04 12:01:57,2018-07-04 12:09:26,2018-07-04 12:27:57,2018-07-04 12:30:45,2018-07-04 12:30:50,2018-07-04 12:34:44,2018-07-04 12:42:05,2018-07-04 12:52:05,2018-07-04 12:59:35,2018-07-04 13:23:49,2018-07-04 14:04:01,2018-07-04 14:29:23
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",52.119.107.9,67.189.171.219,24.74.120.186,107.77.218.93,73.171.223.52,76.18.221.168,72.9.14.249,74.140.234.46,73.138.104.199,98.225.117.124,98.247.142.31,173.26.103.49,98.209.27.109,73.221.14.154,35.200.13.151,73.122.209.230,98.235.69.98,64.71.171.58,67.235.100.203,73.76.78.118,98.18.135.79,24.10.22.33,104.244.146.67,68.226.96.200,71.244.226.211,73.102.80.250,73.85.204.130,172.114.100.24,71.201.193.167,50.127.208.72
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",646,756,658,820,856,938,869,835,961,783,1011,857,750,592,806,1018,1338,719,1007,780,1003,832,1223,1021,959,1973,784,857,1183,1635
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:30:18,2018-07-04 11:32:21,2018-07-04 11:33:35,2018-07-04 11:35:34,2018-07-04 11:36:11,2018-07-04 11:36:16,2018-07-04 11:38:07,2018-07-04 11:40:58,2018-07-04 11:42:51,2018-07-04 11:43:15,2018-07-04 11:44:03,2018-07-04 11:44:46,2018-07-04 11:47:12,2018-07-04 11:52:00,2018-07-04 11:52:25,2018-07-04 11:54:46,2018-07-04 11:57:02,2018-07-04 11:57:14,2018-07-04 12:01:57,2018-07-04 12:09:27,2018-07-04 12:27:58,2018-07-04 12:30:45,2018-07-04 12:30:51,2018-07-04 12:34:45,2018-07-04 12:42:06,2018-07-04 12:52:06,2018-07-04 12:59:36,2018-07-04 13:23:50,2018-07-04 14:04:02,2018-07-04 14:29:24
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_3F3VgMjB12LA8ub,R_WcfFc9CgMFV1b7r,R_1f4asvDeoJqxgjT,R_2duNWE0o7Kb7LES,R_XGLJSIILpp2KKm5,R_1eDGI5tXYmICigl,R_3HoWCE4m8ROAtSx,R_24bKEwOewf0eusy,R_2YEzFP8EhMDZwRt,R_1CymvkKFlSVlcaP,R_2wysRtK1vtsOTBS,R_2q4cx5bw5O1rUYM,R_C2j5nxL19u2Iqhr,R_Z2XXgyg1IendrG1,R_1CjUY0uIHemM6Hr,R_PXqK4JQtkFusJON,R_2V3mBNj8TtJHX2i,R_2zHIKMK1R8ciGzV,R_2VfnlTXqwaAQxtn,R_1nUYG5BiEzaatdc,R_2c0zJhiMGhBtPcy,R_2pPufl3O2v40JdT,R_21pIkZ7DUXIVE5Q,R_2tyuyotKVxR11zY,R_2THLlwGsMXcqrKH,R_YXMLpifjCZ9ZWPn,R_24k2xX8ykso2T8A,R_1NCuJLRbTUcTDTl,R_1Cejvqvgn5Gp0vZ,R_2Tpz1HM1BNBbv9G
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",40.476303100586,42.458602905273,35.882598876953,30.004104614258,30.167205810547,30.143798828125,38.210800170898,39.532699584961,25.766494750977,32.311798095703,47.631896972656,37.218994140625,42.988800048828,47.287506103516,35,33.760604858398,41.280807495117,37.751007080078,36.302200317383,29.720306396484,34.496795654297,38.693206787109,32.165603637695,32.213195800781,39.125198364258,40.278793334961,26.278503417969,34.257202148438,41.740097045898,39.46110534668
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-86.957099914551,-71.359703063965,-80.896697998047,-95.298400878906,-81.771499633789,-81.540100097656,-76.48560333252,-84.290100097656,-80.204399108887,-110.92590332031,-122.29679870605,-93.317596435547,-85.46410369873,-122.10940551758,105,-84.176300048828,-75.896202087402,-97.821998596191,-82.482498168945,-95.313903808594,-83.584899902344,-121.31159973145,-85.670799255371,-110.88729858398,-76.511596679688,-85.371002197266,-80.116798400879,-118.41949462891,-87.987998962402,-83.817199707031
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",2,1,1,1,1,2,2,2,2,2,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,1
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",24,22,24,34,39,30,20,30,26,27,45,33,24,27,24,28,28,30,27,24,42,66,34,47,34,62,31,30,38,29
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",3,2,5,5,2,5,3,5,5,5,6,4,5,5,5,5,5,5,5,5,5,4,2,3,3,3,3,5,4,4
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID77_1""}",3,1,2,1,2,1,4,2,1,2,2,2,1,3,4,1,2,4,2,1,4,5,2,1,2,4,4,4,4,5
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID77_2""}",2,4,2,2,2,1,2,4,1,5,3,4,2,3,5,4,4,3,4,3,3,1,3,2,2,1,1,2,2,1
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID77_3""}",2,5,4,5,4,4,5,2,5,5,4,4,3,4,5,4,4,5,5,5,5,4,4,5,5,5,4,5,5,4
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID77_4""}",2,4,3,2,1,4,2,3,1,3,5,2,4,2,5,5,2,3,4,1,1,1,1,4,2,1,2,1,1,2
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID77_5""}",3,4,4,1,4,2,4,2,4,4,4,4,4,4,3,1,3,4,5,4,5,4,2,3,4,5,3,5,4,5
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID77_6""}",4,5,4,5,4,5,4,4,5,4,2,4,5,4,4,5,4,4,5,4,1,1,5,5,5,4,4,4,4,4
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID77_7""}",3,5,4,5,3,3,2,4,1,4,5,3,4,4,4,2,3,2,4,5,4,5,3,4,4,5,5,4,4,5
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID77_8""}",2,1,2,2,2,3,3,4,4,3,2,2,4,3,4,1,2,3,2,2,2,1,4,2,2,1,4,2,1,3
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID77_9""}",3,2,4,4,3,2,4,1,5,4,1,2,2,4,1,1,4,3,3,5,3,5,4,5,3,5,4,5,4,4
Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID77_10""}",3,4,4,5,4,5,5,4,5,5,5,4,5,4,4,1,4,4,5,2,5,4,5,5,4,5,5,4,5,4
Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID77_11""}",4,4,3,4,2,2,2,2,4,3,2,2,2,3,3,1,3,3,3,5,4,4,3,1,4,4,4,4,3,5
Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID77_12""}",2,2,3,1,2,1,2,2,1,2,2,2,1,3,2,2,2,3,1,2,1,1,1,1,1,1,1,1,1,4
Q2.1_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID77_13""}",2,5,4,5,4,4,5,4,5,4,4,4,2,4,4,4,4,2,5,4,5,5,3,5,5,5,4,4,5,5
Q2.1_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID77_14""}",4,4,3,1,3,3,4,5,1,3,5,3,5,2,4,5,2,3,5,1,3,1,2,1,2,1,4,2,1,5
Q2.1_15,BFI,15,"I see myself as someone who is: - Is ingenious, a deep thinker","{""ImportId"":""QID77_15""}",4,4,4,4,3,2,5,3,5,4,4,3,4,3,4,2,4,3,5,5,3,4,1,3,4,4,5,5,4,4
Q2.1_16,BFI,16,I see myself as someone who is: - Generates a lot of enthusiasm,"{""ImportId"":""QID77_16""}",3,2,2,4,2,2,3,2,1,4,5,2,2,4,2,1,4,3,4,3,3,4,4,1,2,4,4,4,3,5
Q2.1_17,BFI,17,I see myself as someone who is: - Has a forgiving nature,"{""ImportId"":""QID77_17""}",2,3,4,5,3,1,5,4,1,2,2,3,3,2,2,3,4,3,2,2,2,5,3,4,5,4,5,4,3,1
