,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-26 02:12:26,2018-06-26 02:09:06,2018-06-26 02:10:52,2018-06-26 02:11:53,2018-06-26 02:10:02,2018-06-26 02:25:05,2018-06-26 02:16:39,2018-06-26 02:35:09,2018-06-26 02:21:08,2018-06-26 02:22:51,2018-06-26 02:22:20,2018-06-26 02:25:49,2018-06-26 02:35:03,2018-06-26 02:30:50,2018-06-26 02:32:56,2018-06-26 02:25:04,2018-06-26 02:41:00,2018-06-26 02:26:53,2018-06-26 02:35:00,2018-06-26 02:55:25,2018-06-26 02:50:01,2018-06-26 02:56:56,2018-06-26 02:59:48,2018-06-26 03:09:22,2018-06-26 03:07:11,2018-06-26 03:06:45,2018-06-26 03:09:24,2018-06-26 03:26:31,2018-06-26 03:30:08,2018-06-26 03:21:09,2018-06-26 03:57:10,2018-06-26 04:50:44
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-26 02:15:16,2018-06-26 02:19:07,2018-06-26 02:24:44,2018-06-26 02:27:25,2018-06-26 02:27:56,2018-06-26 02:32:40,2018-06-26 02:35:54,2018-06-26 02:36:14,2018-06-26 02:37:45,2018-06-26 02:38:03,2018-06-26 02:40:42,2018-06-26 02:41:03,2018-06-26 02:41:56,2018-06-26 02:47:39,2018-06-26 02:54:49,2018-06-26 02:54:55,2018-06-26 02:57:04,2018-06-26 02:58:17,2018-06-26 02:59:19,2018-06-26 03:05:31,2018-06-26 03:08:16,2018-06-26 03:13:28,2018-06-26 03:20:18,2018-06-26 03:26:13,2018-06-26 03:27:45,2018-06-26 03:29:31,2018-06-26 03:39:02,2018-06-26 03:42:03,2018-06-26 03:46:16,2018-06-26 03:52:00,2018-06-26 04:12:50,2018-06-26 05:18:17
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",71.84.20.24,73.47.99.21,70.127.30.49,108.36.109.120,24.130.203.217,68.37.211.184,197.211.63.158,24.20.124.0,214.15.228.39,24.49.56.194,73.98.105.77,68.34.89.213,68.37.211.184,184.56.102.215,75.191.150.215,138.75.174.102,41.90.85.8,73.11.113.47,69.137.224.20,74.82.17.84,65.3.160.19,24.163.96.64,174.102.88.225,96.85.40.17,173.244.217.54,92.252.73.35,104.55.17.205,165.225.38.63,174.195.138.114,67.143.160.69,74.137.11.91,98.1.67.124
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",170,601,832,931,1073,454,1155,65,996,912,1101,913,412,1008,1312,1790,963,1884,1459,605,1095,992,1230,1010,1233,1365,1777,931,968,1851,940,1652
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-26 02:15:17,2018-06-26 02:19:08,2018-06-26 02:24:45,2018-06-26 02:27:26,2018-06-26 02:27:56,2018-06-26 02:32:41,2018-06-26 02:35:55,2018-06-26 02:36:15,2018-06-26 02:37:46,2018-06-26 02:38:04,2018-06-26 02:40:43,2018-06-26 02:41:03,2018-06-26 02:41:57,2018-06-26 02:47:39,2018-06-26 02:54:49,2018-06-26 02:54:56,2018-06-26 02:57:05,2018-06-26 02:58:18,2018-06-26 02:59:19,2018-06-26 03:05:32,2018-06-26 03:08:17,2018-06-26 03:13:29,2018-06-26 03:20:19,2018-06-26 03:26:14,2018-06-26 03:27:46,2018-06-26 03:29:32,2018-06-26 03:39:03,2018-06-26 03:42:04,2018-06-26 03:46:17,2018-06-26 03:52:00,2018-06-26 04:12:51,2018-06-26 05:18:17
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_3KMwnx4OgoxhNPx,R_2fx3WMX7DpwChbH,R_2CCzf8XgGfBiNlq,R_123UE2TeFwICMCc,R_0eX2BNs7YLJBIuB,R_2B2p06UyAnwmetO,R_3emgb03fkuRWWAO,R_3FPtoDox1Dbfzw8,R_z2JD3mArwqTYLEB,R_2WGbIecTLPFmxef,R_1eQAXf5qA3dVSGQ,R_1fZUDBPwQ7kPrla,R_w5GxtKxp5K1rmEx,R_300Ek1u316Quoee,R_20NAKNfFgbvDAoj,R_1JJBkAtivJdGhQO,R_Bs5GWmiZA8c7a4V,R_2an9nKu9r99GmC5,R_1K0Yqm9MssCn457,R_2PnZxc2koik9CtD,R_2YbVe0sP2E8YW6u,R_WxEWtmq3e1wY4OR,R_26u2xJm6wXFSDpT,R_2abt5IIowYqSfE0,R_2pXcwWQUYgPduqy,R_a5Hnea4UrFKqhLb,R_125wO6seSa3pbes,R_1dyRPS7I2FwaWOm,R_1n6eRgwMjjzgZXT,R_2oBt7ApLFmqFYtj,R_2TsBbKXW3eEHLvM,R_21iTC0GqjibVvFD
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",35.618896484375,41.599792480469,28.147903442383,39.985305786133,37.330596923828,42.272994995117,6.4530944824219,45.498001098633,33.182006835938,39.629104614258,34.774398803711,42.426803588867,42.272994995117,42.108505249023,36.016204833984,1.2931060791016,-1.2832946777344,44.048599243164,39.350692749023,40.751693725586,25.937194824219,35.54460144043,41.398895263672,37.453506469727,40.730804443359,52.316696166992,30.615798950195,40.730804443359,35.998504638672,37.751007080078,37.048004150391,43.101699829102
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-120.76689910889,-70.563102722168,-82.039901733398,-75.436698913574,-121.83670043945,-83.599403381348,3.3957977294922,-122.77839660645,-117.2467956543,-77.712799072266,-106.7274017334,-83.193496704102,-83.599403381348,-80.050003051758,-80.043403625488,103.85580444336,36.816696166992,-123.21969604492,-76.562698364258,-73.997200012207,-80.317001342773,-78.830902099609,-83.653900146484,-77.477996826172,-73.997497558594,7.7832946777344,-87.316200256348,-73.997497558594,-86.780601501465,-97.821998596191,-83.848503112793,-78.949897766113
