,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-07-04 11:41:11,2018-07-04 11:42:17,2018-07-04 11:41:36,2018-07-04 11:40:56,2018-07-04 11:40:51,2018-07-04 11:41:04,2018-07-04 11:40:48,2018-07-04 11:41:24,2018-07-04 11:40:39,2018-07-04 11:43:42,2018-07-04 11:43:14,2018-07-04 11:42:53,2018-07-04 11:51:17,2018-07-04 11:42:00,2018-07-04 11:42:09,2018-07-04 11:43:38,2018-07-04 11:41:32,2018-07-04 11:42:57,2018-07-04 11:46:44,2018-07-04 11:58:31,2018-07-04 11:46:45,2018-07-04 11:41:01,2018-07-04 12:03:29,2018-07-04 12:06:23,2018-07-04 12:13:06,2018-07-04 12:32:14,2018-07-04 12:19:51,2018-07-04 12:53:46,2018-07-04 13:01:18,2018-07-04 13:00:35
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-07-04 11:51:32,2018-07-04 11:53:03,2018-07-04 11:54:09,2018-07-04 11:54:12,2018-07-04 11:54:32,2018-07-04 11:55:29,2018-07-04 11:55:59,2018-07-04 11:56:14,2018-07-04 11:56:32,2018-07-04 11:57:05,2018-07-04 11:57:54,2018-07-04 11:59:27,2018-07-04 11:59:30,2018-07-04 12:00:48,2018-07-04 12:01:40,2018-07-04 12:03:14,2018-07-04 12:04:14,2018-07-04 12:04:21,2018-07-04 12:04:30,2018-07-04 12:09:42,2018-07-04 12:12:36,2018-07-04 12:13:01,2018-07-04 12:19:12,2018-07-04 12:22:45,2018-07-04 12:29:15,2018-07-04 12:49:54,2018-07-04 13:01:35,2018-07-04 13:08:18,2018-07-04 13:11:42,2018-07-04 13:24:03
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",75.139.160.114,173.239.197.238,72.182.160.80,99.182.200.225,73.37.114.204,50.46.135.79,173.29.13.92,174.59.5.41,23.116.195.57,172.250.140.23,107.11.190.222,74.89.198.127,76.23.194.14,68.54.168.163,73.126.19.239,71.227.86.196,97.70.44.151,67.167.255.172,67.170.142.201,50.125.85.208,73.142.254.77,173.168.146.137,107.219.126.149,71.228.210.47,99.90.186.94,73.97.43.170,96.246.200.133,24.61.204.167,47.145.114.18,173.81.116.50
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",620,646,753,796,821,865,911,889,953,803,879,994,492,1127,1170,1175,1361,1283,1066,670,1551,1919,943,981,969,1060,2503,871,623,1408
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-07-04 11:51:32,2018-07-04 11:53:05,2018-07-04 11:54:10,2018-07-04 11:54:13,2018-07-04 11:54:33,2018-07-04 11:55:30,2018-07-04 11:56:00,2018-07-04 11:56:15,2018-07-04 11:56:33,2018-07-04 11:57:06,2018-07-04 11:57:54,2018-07-04 11:59:28,2018-07-04 11:59:31,2018-07-04 12:00:49,2018-07-04 12:01:41,2018-07-04 12:03:15,2018-07-04 12:04:15,2018-07-04 12:04:21,2018-07-04 12:04:31,2018-07-04 12:09:42,2018-07-04 12:12:37,2018-07-04 12:13:01,2018-07-04 12:19:13,2018-07-04 12:22:45,2018-07-04 12:29:15,2018-07-04 12:49:56,2018-07-04 13:01:35,2018-07-04 13:08:18,2018-07-04 13:11:42,2018-07-04 13:24:04
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2fwWymlJrfVh3SC,R_3MDyFl7SXwGlfUi,R_1oklEFUUXdXoCIs,R_bvxDNT0B8LUyW5P,R_5otbnOBmkJKR6Qp,R_2w4EgoJ8AVydxdy,R_1qgOW38YevjYc4Y,R_30cqnT68XKtYGfh,R_3oyZMxNSCZTNGzn,R_vIfUBtuxCLd1YPL,R_vCSc9egjQy6RPDH,R_1rcz8bjADSpvIEG,R_1BQOs3xU6cpI7T0,R_1QhIporaJGSa0WL,R_3HqpRL6tYEk2uNR,R_3ikAhEA2TLVrKlv,R_VVhEv2hbmXi3LJn,R_4THnWQAD1Hc0wfv,R_3GcxBtYrNi9kgJ8,R_3fCXVmnNnuLqlTm,R_5AveqRm6pYT5BYZ,R_DDaYPG5Vn5sJ1i9,R_ZxlG35p8UsZCNqN,R_1mLxsqC1Cs8UQ2y,R_RRlHbrztiJMP3vb,R_0H64w76ZrUPXO8h,R_2CBVuELhZxx49Tc,R_29itqPFxcaxJKSZ,R_2aRaMY8uSZnxYLJ,R_ODaX0gncU1PLDBT
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",47.370697021484,40.498092651367,32.660598754883,33.176895141602,45.544204711914,47.820907592773,41.573806762695,40.53059387207,41.785293579102,34.048599243164,40.259399414062,41.063903808594,43.863494873047,34.719299316406,42.750503540039,42.49690246582,42.397094726562,40.315505981445,45.450897216797,47.804901123047,42.056396484375,27.736206054688,41.604507446289,36.064300537109,43.115707397461,47.631896972656,40.919403076172,42.624099731445,33.866104125977,38.393905639648
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-120.35929870605,-74.319396972656,-97.02490234375,-96.698501586914,-122.64309692383,-122.31510162354,-90.458198547363,-76.622901916504,-87.773399353027,-117.01429748535,-81.96410369873,-72.429000854492,-70.097602844238,-86.560401916504,-71.009300231934,-83.23210144043,-83.373199462891,-87.396003723145,-122.69619750977,-122.28329467773,-71.119903564453,-82.669097900391,-87.995597839355,-87.430198669434,-87.99340057373,-122.29679870605,-73.860702514648,-71.338897705078,-118.05279541016,-81.564598083496
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",1,2,2,1,1,2,2,2,2,2,1,2,1,1,2,1,1,2,2,1,2,2,2,1,1,1,1,2,1,1
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",37,32,29,46,37,35,30,38,23,22,50,49,23,50,28,28,40,21,48,36,32,31,41,33,46,21,47,51,25,42
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",4,5,4,2,4,5,5,2,3,2,3,3,3,5,5,5,5,3,5,5,5,4,2,3,5,3,3,5,5,6
