,question,option,full_text,dict_text,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-26 02:05:43,2018-06-26 02:06:43,2018-06-26 02:06:08,2018-06-26 02:05:53,2018-06-26 02:09:12,2018-06-26 02:07:52,2018-06-26 02:06:26,2018-06-26 02:11:54,2018-06-26 02:06:50,2018-06-26 02:08:38,2018-06-26 02:13:47,2018-06-26 02:07:10,2018-06-26 02:10:58,2018-06-26 02:08:11,2018-06-26 02:07:20,2018-06-26 02:07:06,2018-06-26 02:18:51,2018-06-26 02:15:10,2018-06-26 02:05:56,2018-06-26 02:21:34,2018-06-26 02:23:43,2018-06-26 02:06:03,2018-06-26 03:12:52,2018-06-26 03:06:38,2018-06-26 03:08:24,2018-06-26 03:14:17,2018-06-26 03:10:16,2018-06-26 03:15:30,2018-06-26 04:47:19,2018-06-26 04:33:45
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-26 02:11:49,2018-06-26 02:12:29,2018-06-26 02:13:49,2018-06-26 02:18:46,2018-06-26 02:19:41,2018-06-26 02:20:33,2018-06-26 02:21:35,2018-06-26 02:21:45,2018-06-26 02:22:19,2018-06-26 02:22:38,2018-06-26 02:24:34,2018-06-26 02:25:12,2018-06-26 02:25:43,2018-06-26 02:27:24,2018-06-26 02:27:54,2018-06-26 02:28:51,2018-06-26 02:29:35,2018-06-26 02:30:17,2018-06-26 02:33:01,2018-06-26 02:36:28,2018-06-26 02:38:19,2018-06-26 02:40:06,2018-06-26 03:27:04,2018-06-26 03:29:18,2018-06-26 03:32:26,2018-06-26 03:36:09,2018-06-26 03:37:23,2018-06-26 03:53:18,2018-06-26 04:58:33,2018-06-26 05:03:58
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",71.84.20.24,50.105.74.233,98.4.47.5,12.185.249.139,205.209.93.240,88.244.36.130,144.163.201.120,68.37.211.184,70.173.196.223,71.47.39.230,68.37.211.184,32.217.5.24,67.51.218.132,72.197.171.54,74.215.10.65,110.54.193.153,69.181.245.243,73.224.73.231,42.106.10.146,38.132.117.103,76.104.228.49,45.48.226.100,71.76.146.142,108.29.64.50,69.139.25.59,173.92.76.163,108.29.67.183,71.60.31.147,184.170.76.155,73.230.218.46
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",366,345,460,772,628,760,908,591,929,839,647,1081,885,1152,1234,1305,643,906,1624,894,876,2042,851,1359,1441,1311,1626,2267,673,1813
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-26 02:11:50,2018-06-26 02:12:30,2018-06-26 02:13:49,2018-06-26 02:18:47,2018-06-26 02:19:43,2018-06-26 02:20:34,2018-06-26 02:21:35,2018-06-26 02:21:45,2018-06-26 02:22:20,2018-06-26 02:22:39,2018-06-26 02:24:35,2018-06-26 02:25:12,2018-06-26 02:25:44,2018-06-26 02:27:24,2018-06-26 02:27:55,2018-06-26 02:28:52,2018-06-26 02:29:36,2018-06-26 02:30:17,2018-06-26 02:33:02,2018-06-26 02:36:29,2018-06-26 02:38:20,2018-06-26 02:40:07,2018-06-26 03:27:05,2018-06-26 03:29:19,2018-06-26 03:32:26,2018-06-26 03:36:09,2018-06-26 03:37:24,2018-06-26 03:53:19,2018-06-26 04:58:33,2018-06-26 05:03:59
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_1g6fzCA2Vol1P6o,R_2VwfxDOfva5IYFa,R_2cdvFfi7YC0JytY,R_vodOeU4xNpP36U1,R_3JlSixzCsTaP6bv,R_AAS7q0yOXp31llL,R_2BsxHo2VIwmnnDA,R_1iqe5wKucaHOBTP,R_3Pk0voLMCEtGT7g,R_vBUAN4ox5lb0s4F,R_1ojUd7FJAkj7IhX,R_2qC6c60BSzgGQSf,R_1gNQCfVUwV1AlvW,R_2V87wFIJDmj9UuX,R_ZI57cWJ8QY8k0oN,R_dm4NgzVKNCxQIw1,R_T75BYgrTMmWEN69,R_331FGbY7ZR6a82R,R_tFYs60AJvQj6nCh,R_2R94tmxaEnqInfU,R_3nckSMIEpH7FAd9,R_3MMeCz1JfujE5sV,R_TouA7W3gcR3lNId,R_2sYixMN9SVTLcA7,R_1QEBqxk5Lbn7Ql3,R_1jIIFpPYSsEQPKV,R_d9XR9XUJ15esBDX,R_2ds8E8QE671cnsy,R_pyeDS4EvE1k4qad,R_zdsOA3BsmHUdXtT
