,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.5,R_bQKaMO6AclS4YMN,27,3.0,BA
1,,,participant,NARS,S2,Social Influence of Robots,0.6,R_bQKaMO6AclS4YMN,27,3.0,BA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.5555555555555555,R_bQKaMO6AclS4YMN,27,3.0,BA
3,,,participant,BFI,S1,Extraversion,3.375,R_bQKaMO6AclS4YMN,27,3.0,BA
4,,,participant,BFI,S2,Agreeableness,3.2222222222222223,R_bQKaMO6AclS4YMN,27,3.0,BA
5,,,participant,BFI,S3,Conscientiousness,2.5555555555555554,R_bQKaMO6AclS4YMN,27,3.0,BA
6,,,participant,BFI,S4,Neuroticism,2.875,R_bQKaMO6AclS4YMN,27,3.0,BA
7,,,participant,BFI,S5,Openness,3.1,R_bQKaMO6AclS4YMN,27,3.0,BA
8,rational,left,red,GODSPEED1,S1,Anthropomorphism,0.5,R_bQKaMO6AclS4YMN,27,3.0,BA
9,rational,left,red,GODSPEED1,S2,Animacy,0.5555555555555555,R_bQKaMO6AclS4YMN,27,3.0,BA
10,rational,left,red,GODSPEED1,S3,Likeability,0.5333333333333333,R_bQKaMO6AclS4YMN,27,3.0,BA
11,rational,left,red,GODSPEED1,S4,Perceived Intelligence,0.5333333333333333,R_bQKaMO6AclS4YMN,27,3.0,BA
12,rational,left,red,GODSPEED1,S5,Perceived Safety,0.3333333333333333,R_bQKaMO6AclS4YMN,27,3.0,BA
13,irrational,right,blue,GODSPEED2,S1,Anthropomorphism,0.41666666666666663,R_bQKaMO6AclS4YMN,27,3.0,BA
14,irrational,right,blue,GODSPEED2,S2,Animacy,0.6666666666666666,R_bQKaMO6AclS4YMN,27,3.0,BA
15,irrational,right,blue,GODSPEED2,S3,Likeability,0.4666666666666666,R_bQKaMO6AclS4YMN,27,3.0,BA
16,irrational,right,blue,GODSPEED2,S4,Perceived Intelligence,0.4666666666666666,R_bQKaMO6AclS4YMN,27,3.0,BA
17,irrational,right,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_bQKaMO6AclS4YMN,27,3.0,BA
