,deployment,measurement,statistics,p_value
0,ih,Unnamed: 0,5304.0,0.40576026224769807
0,ih,rationality,0.0,3.1602670678562016e-47
0,ih,color,5304.0,0.39152276164008526
0,ih,side,5408.0,0.4994693252403577
0,ih,Q5.1,4368.0,0.0028418179453686904
0,ih,Q7.1,4992.0,0.13449312010038872
0,ih,Q10.1,4264.0,0.0011743637727616803
0,ih,Q12.1,3744.0,4.808925556269605e-06
0,ih,Q14.1,2704.0,3.1827113378582896e-13
0,ih,Q16.1,4160.0,0.0004519272866724855
0,ih,Q18.1,3016.0,9.933252490706809e-11
0,ih,investments,2912.0,1.5785360967241504e-11
0,ih,analyst,3328.0,1.580099415682445e-08
0,ih,jury,3328.0,1.580099415682445e-08
0,ih,bartender,4368.0,0.0028418179453686904
0,ih,prefer,2808.0,2.327227141863263e-12
0,ih,gender,5408.0,0.4994570378368293
0,ih,education,5408.0,0.4995196871368322
0,ih,age,5408.0,0.49954014079372266
0,ih,userID,5408.0,0.4995404008963773
0,ih,NARS_S1,5408.0,0.4995378072541695
0,ih,NARS_S2,5408.0,0.49953507405643766
0,ih,NARS_S3,5408.0,0.4995213117075519
0,ih,BFI_S1,5408.0,0.4995399749319929
0,ih,BFI_S2,5408.0,0.49953966361089214
0,ih,BFI_S3,5408.0,0.49953942199435125
0,ih,BFI_S4,5408.0,0.4995396574519306
0,ih,BFI_S5,5408.0,0.4995399478856638
0,ih,GODSPEED1_S1,5330.5,0.42815425382918004
0,ih,GODSPEED1_S2,5209.0,0.3223970998813997
0,ih,GODSPEED1_S3,5345.5,0.44238094491695884
0,ih,GODSPEED1_S4,5132.0,0.2584721289516182
0,ih,GODSPEED1_S5,5406.0,0.49856169251344673
0,rh,Unnamed: 0,6728.0,0.49960975740206226
0,rh,rationality,0.0,1.8353486014613926e-52
0,rh,color,6728.0,0.4995493908720233
0,rh,side,6612.0,0.3970783465477234
0,rh,Q5.1,2552.0,2.0014481386810873e-21
0,rh,Q7.1,1972.0,3.2046734224887987e-27
0,rh,Q10.1,4176.0,4.10988363425094e-09
0,rh,Q12.1,3828.0,2.8763253630245585e-11
0,rh,Q14.1,4060.0,8.406742919747893e-10
0,rh,Q16.1,4988.0,4.25498943147337e-05
0,rh,Q18.1,2320.0,1.1796337825602005e-23
0,rh,investments,2320.0,1.1796337825602005e-23
0,rh,analyst,1972.0,3.2046734224887987e-27
0,rh,jury,2436.0,1.5896719423715794e-22
0,rh,bartender,4988.0,4.25498943147337e-05
0,rh,prefer,1972.0,3.2046734224887987e-27
0,rh,gender,6728.0,0.4995493238819187
0,rh,education,6728.0,0.4995865582631395
0,rh,age,6728.0,0.49960949950465167
0,rh,userID,6728.0,0.49960974652589074
0,rh,NARS_S1,6728.0,0.4996072397057864
0,rh,NARS_S2,6728.0,0.4996068430115066
0,rh,NARS_S3,6728.0,0.4995966891529246
0,rh,BFI_S1,6728.0,0.49960922189156753
0,rh,BFI_S2,6728.0,0.4996092339412733
0,rh,BFI_S3,6728.0,0.49960882438030624
0,rh,BFI_S4,6728.0,0.4996092806233571
0,rh,BFI_S5,6728.0,0.4996092392126691
0,rh,GODSPEED1_S1,6343.5,0.2203403195664097
0,rh,GODSPEED1_S2,6174.5,0.1381902830040837
0,rh,GODSPEED1_S3,6201.0,0.14816831800608504
0,rh,GODSPEED1_S4,5835.0,0.03842826766775862
0,rh,GODSPEED1_S5,6249.0,0.16179730812122045
0,ri,Unnamed: 0,6105.0,0.45424563613709235
0,ri,rationality,0.0,2.7864727067712134e-50
0,ri,color,6105.0,0.44720662806454475
0,ri,side,5883.0,0.25192760589445684
0,ri,Q5.1,4551.0,5.1646966368363125e-05
0,ri,Q7.1,3108.0,8.866408598344801e-14
0,ri,Q10.1,4662.0,0.00015025254191990326
0,ri,Q12.1,4329.0,4.970897073763397e-06
0,ri,Q14.1,5439.0,0.04094140226476396
0,ri,Q16.1,5217.0,0.011435617488003622
0,ri,Q18.1,4662.0,0.00015025254191990326
0,ri,investments,5994.0,0.34436502584020745
0,ri,analyst,5772.0,0.1745611068075298
0,ri,jury,5106.0,0.005488410789573261
0,ri,bartender,5994.0,0.34436502584020745
0,ri,prefer,5439.0,0.04094140226476396
0,ri,gender,6160.5,0.49951955799242964
0,ri,education,6160.5,0.49955896354853363
0,ri,age,6160.5,0.49958274248459955
0,ri,userID,6160.5,0.4995831225317686
0,ri,NARS_S1,6160.5,0.4995804476243829
0,ri,NARS_S2,6160.5,0.4995785176976404
0,ri,NARS_S3,6160.5,0.49956864254850847
0,ri,BFI_S1,6160.5,0.4995826498338209
0,ri,BFI_S2,6160.5,0.4995823816246156
0,ri,BFI_S3,6160.5,0.4995822059064075
0,ri,BFI_S4,6160.5,0.4995825745669847
0,ri,BFI_S5,6160.5,0.4995825754851182
0,ri,GODSPEED1_S1,5955.0,0.3312964363771905
0,ri,GODSPEED1_S2,5549.0,0.09934257065689217
0,ri,GODSPEED1_S3,5949.5,0.32831605028727
0,ri,GODSPEED1_S4,5823.5,0.2386561677956699
0,ri,GODSPEED1_S5,5797.5,0.2140351962521811
