,rationality,color,side,Q5.1,Q7.1,Q10.1,Q12.1,Q14.1,Q16.1,Q18.1,investments,analyst,jury,bartender,prefer,gender,education,age,userID,NARS_S1,NARS_S2,NARS_S3,BFI_S1,BFI_S2,BFI_S3,BFI_S4,BFI_S5,GODSPEED1_S1,GODSPEED1_S2,GODSPEED1_S3,GODSPEED1_S4,GODSPEED1_S5
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,31,R_3sgkqeXS5mSH5qt,0.0,0.3,0.6666666666666666,0.75,0.5555555555555556,0.0,0.25,0.525,0.75,0.3333333333333333,0.0,0.2,0.6666666666666666
1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,34,R_3nHt10lYNAiQigG,0.3333333333333333,0.8,0.3333333333333333,0.3125,0.4814814814814815,0.8518518518518519,0.5,0.6666666666666667,0.5833333333333333,0.5833333333333334,0.4,0.4,0.3333333333333333
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,R_3RgVGyKsN0qt4Hf,0.2222222222222222,0.5333333333333333,0.5,0.3125,0.6296296296296297,0.7777777777777778,0.5416666666666667,0.725,0.75,0.5,0.5999999999999999,0.5333333333333333,0.0
3,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,30,R_12Rc88NieRTaw5S,0.0,0.2,0.3333333333333333,0.6666666666666667,0.4444444444444444,0.5277777777777778,0.78125,0.9,0.0,0.0,0.2,0.0,0.0
4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,19,R_1ISCgMjTBzjsb7s,0.3333333333333333,0.5,0.0,0.29166666666666663,0.8888888888888888,0.5555555555555556,0.75,0.6333333333333334,0.25,0.3888888888888888,0.6666666666666667,0.4666666666666666,0.6666666666666666
5,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,5,26,R_2Ce9onUvQQjCiGS,0.5,0.8,0.6666666666666666,0.4166666666666667,0.5,0.6666666666666666,0.75,0.7,0.5,0.3333333333333333,0.4,0.5,0.3333333333333333
6,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,5,41,R_27x7GeRCFbfA0Ps,0.8333333333333334,0.2,0.6666666666666666,0.125,0.6666666666666666,0.7222222222222222,0.125,0.55,0.25,0.4444444444444445,0.8,0.6,0.6666666666666666
7,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,5,33,R_3Rf85R89Bo46ARh,0.3333333333333333,0.4,0.6666666666666666,0.65625,0.5833333333333334,0.5277777777777778,0.46875,0.475,0.375,0.5000000000000001,0.4,0.45,0.5
8,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,4,26,R_3QGhT2z79AhcQ7w,0.5,0.5,0.6666666666666666,0.6875,0.4444444444444444,0.6666666666666666,0.5625,0.6,0.75,0.5,0.5,0.4,0.0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,34,R_248jSr60q0E4zMP,0.3333333333333333,0.4,0.0,0.1875,0.1388888888888889,0.0,0.3125,0.45,0.0,0.3333333333333333,0.5,0.4,0.6666666666666666
