,question,rationality,preference
0,Q5.1,half_rational,0.8333333333333334
1,Q7.1,half_rational,0.5
2,Q10.1,half_rational,0.8333333333333334
3,Q12.1,half_rational,0.6666666666666666
4,Q14.1,half_rational,0.6666666666666666
5,Q16.1,half_rational,1.0
6,Q18.1,half_rational,0.16666666666666666
7,investments,half_rational,0.6666666666666666
8,analyst,half_rational,0.8333333333333334
9,jury,half_rational,0.8333333333333334
10,bartender,half_rational,0.3333333333333333
11,prefer,half_rational,0.6666666666666666
0,Q5.1,irrational_rational,0.42857142857142855
1,Q7.1,irrational_rational,0.42857142857142855
2,Q10.1,irrational_rational,0.7142857142857143
3,Q12.1,irrational_rational,0.5714285714285714
4,Q14.1,irrational_rational,0.5714285714285714
5,Q16.1,irrational_rational,0.42857142857142855
6,Q18.1,irrational_rational,0.14285714285714285
7,investments,irrational_rational,0.5714285714285714
8,analyst,irrational_rational,0.5714285714285714
9,jury,irrational_rational,0.5714285714285714
10,bartender,irrational_rational,0.2857142857142857
11,prefer,irrational_rational,0.2857142857142857
0,Q5.1,half_irrational,0.3333333333333333
1,Q7.1,half_irrational,0.16666666666666666
2,Q10.1,half_irrational,0.16666666666666666
3,Q12.1,half_irrational,0.16666666666666666
4,Q14.1,half_irrational,0.5
5,Q16.1,half_irrational,0.8333333333333334
6,Q18.1,half_irrational,0.3333333333333333
7,investments,half_irrational,0.3333333333333333
8,analyst,half_irrational,0.5
9,jury,half_irrational,0.3333333333333333
10,bartender,half_irrational,0.0
11,prefer,half_irrational,0.6666666666666666
