,question,option,full_text,dict_text,2,3,4,5,6
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-07 04:26:14,2018-06-07 04:27:15,2018-06-07 04:42:12,2018-06-07 04:48:49,2018-06-07 05:27:16
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-07 04:37:07,2018-06-07 04:50:50,2018-06-07 04:59:03,2018-06-07 05:06:56,2018-06-07 05:45:58
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",172.56.42.23,195.181.169.155,67.181.212.84,97.81.21.184,71.8.86.183
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",653,1415,1010,1087,1121
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-07 04:37:08,2018-06-07 04:50:51,2018-06-07 04:59:04,2018-06-07 05:06:56,2018-06-07 05:45:59
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_248jSr60q0E4zMP,R_2q4YVOKOy4M9l69,R_29tqGQIajUZLeeE,R_2tJziYe9uwnAkKg,R_9WWazB6nQFvh22l
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",47.248992919922,40.721405029297,36.741104125977,34.055999755859,33.351593017578
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-122.53160095215,-74.00520324707,-119.74990081787,-84.379501342773,-86.821098327637
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN
Q1.2,QID78,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID78""}",1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID79""}",2,2,2,1,2
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID80_TEXT""}",34,31,30,51,49
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID81""}",3,6,2,4,2
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID102_1""}",1,2,2,1,5
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID102_2""}",5,1,3,1,1
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID102_3""}",5,4,3,5,5
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID102_4""}",5,1,2,2,2
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID102_5""}",3,3,3,4,4
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID102_6""}",5,4,4,5,1
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID102_7""}",2,4,3,5,3
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID102_8""}",1,1,3,2,1
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID102_9""}",3,4,3,4,5
Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID102_10""}",3,4,3,4,5
Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID102_11""}",2,4,2,4,4
Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID102_12""}",1,1,2,1,1
Q2.1_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID102_13""}",5,5,3,5,5
Q2.1_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID102_14""}",5,1,3,2,4
Q2.1_15,BFI,15,"I see myself as someone who is: - Is ingenious, a deep thinker","{""ImportId"":""QID102_15""}",3,4,3,4,5
Q2.1_16,BFI,16,I see myself as someone who is: - Generates a lot of enthusiasm,"{""ImportId"":""QID102_16""}",1,3,3,4,4
Q2.1_17,BFI,17,I see myself as someone who is: - Has a forgiving nature,"{""ImportId"":""QID102_17""}",1,4,4,5,5
Q2.1_18,BFI,18,I see myself as someone who is: - Tends to be disorganized,"{""ImportId"":""QID102_18""}",1,1,4,1,1
Q2.1_19,BFI,19,I see myself as someone who is: - Worries a lot,"{""ImportId"":""QID102_19""}",1,2,2,4,1
Q2.1_20,BFI,20,I see myself as someone who is: - Has ana active imagination,"{""ImportId"":""QID102_20""}",1,2,3,4,5
Q2.1_21,BFI,21,I see myself as someone who is: - Tends to be quiet,"{""ImportId"":""QID102_21""}",5,4,4,5,1
Q2.1_22,BFI,22,I see myself as someone who is: - Is generally trusting,"{""ImportId"":""QID102_22""}",1,4,4,5,4
Q2.1_23,BFI,23,I see myself as someone who is: - Tends to be lazy,"{""ImportId"":""QID102_23""}",1,1,3,1,1
Q2.1_24,BFI,24,"I see myself as someone who is: - Is emotionally stable, not easily upset","{""ImportId"":""QID102_24""}",5,4,3,4,5
Q2.1_25,BFI,25,I see myself as someone who is: - Is inventive,"{""ImportId"":""QID102_25""}",3,3,3,4,4
Q2.1_26,BFI,26,I see myself as someone who is: - Has an assertive personality,"{""ImportId"":""QID102_26""}",3,3,4,2,4
Q2.1_27,BFI,27,I see myself as someone who is: - Can be cold and aloof,"{""ImportId"":""QID102_27""}",5,1,3,1,2
Q2.1_28,BFI,28,I see myself as someone who is: - Preseveres until the task is finished,"{""ImportId"":""QID102_28""}",5,4,3,5,5
Q2.1_29,BFI,29,I see myself as someone who is: - Can be moody,"{""ImportId"":""QID102_29""}",1,1,3,2,4
Q2.1_30,BFI,30,"I see myself as someone who is: - Values artistic, aesthetic experiences","{""ImportId"":""QID102_30""}",1,2,3,4,5
Q2.1_31,BFI,31,"I see myself as someone who is: - Is sometimes shy, inhibited","{""ImportId"":""QID102_31""}",5,2,4,4,1
Q2.1_32,BFI,32,I see myself as someone who is: - Is considerate and kind to almost everyone,"{""ImportId"":""QID102_32""}",1,4,4,5,5
Q2.1_33,BFI,33,I see myself as someone who is: - Does things efficiently,"{""ImportId"":""QID102_33""}",5,4,3,5,4
Q2.1_34,BFI,34,I see myself as someone who is: - Remains calm in tense situations,"{""ImportId"":""QID102_34""}",5,4,3,4,5
Q2.1_35,BFI,35,I see myself as someone who is: - Prefers work that is routine,"{""ImportId"":""QID102_35""}",5,2,3,4,2
Q2.1_36,BFI,36,"I see myself as someone who is: - Is outgoing, sociable","{""ImportId"":""QID102_36""}",1,3,2,2,5
Q2.1_37,BFI,37,I see myself as someone who is: - Is sometimes rude to others,"{""ImportId"":""QID102_37""}",5,1,3,1,1
Q2.1_38,BFI,38,I see myself as someone who is: - Makes plans and follows through with them,"{""ImportId"":""QID102_38""}",5,4,3,5,5
