,Unnamed: 0,question,option,full_text,dict_text,2,3,4,5,6,101,102,103,104,105,201,202,203,204,205,206,207,301,302,303,304,305
0,StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-07 04:27:09,2018-06-07 04:27:25,2018-06-07 04:35:25,2018-06-07 05:28:25,2018-06-07 05:35:33,2018-06-07 04:37:36,2018-06-07 04:39:03,2018-06-07 04:47:14,2018-06-07 05:06:56,2018-06-07 06:00:18,2018-06-07 04:26:08,2018-06-07 04:26:36,2018-06-07 04:26:48,2018-06-07 04:43:08,2018-06-07 04:38:46,2018-06-07 05:27:21,2018-06-07 05:51:03,2018-06-07 04:24:45,2018-06-07 04:33:19,2018-06-07 04:30:37,2018-06-07 04:31:49,2018-06-07 06:59:26
1,EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-07 04:32:59,2018-06-07 04:39:28,2018-06-07 04:42:34,2018-06-07 05:45:29,2018-06-07 05:47:26,2018-06-07 04:47:32,2018-06-07 04:57:26,2018-06-07 05:07:08,2018-06-07 05:14:32,2018-06-07 06:20:48,2018-06-07 04:38:48,2018-06-07 04:40:32,2018-06-07 04:41:07,2018-06-07 04:47:01,2018-06-07 04:54:24,2018-06-07 05:32:52,2018-06-07 06:07:20,2018-06-07 04:32:46,2018-06-07 04:48:07,2018-06-07 04:48:40,2018-06-07 04:51:01,2018-06-07 07:16:01
2,Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",144.168.131.197,72.23.57.229,69.181.245.243,69.68.69.12,69.36.57.162,38.132.117.101,98.200.189.160,180.191.151.117,107.175.184.252,68.114.116.246,108.169.161.66,196.16.109.139,73.110.45.225,196.16.109.139,173.234.168.44,98.16.218.254,96.43.44.213,157.50.8.188,45.57.180.108,196.17.65.146,99.189.12.65,73.128.105.17
4,Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",350,723,429,1023,713,595,1103,1193,455,1229,760,835,859,232,938,330,977,480,888,1083,1152,994
6,Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-07 04:32:59,2018-06-07 04:39:29,2018-06-07 04:42:35,2018-06-07 05:45:30,2018-06-07 05:47:27,2018-06-07 04:47:33,2018-06-07 04:57:27,2018-06-07 05:07:10,2018-06-07 05:14:33,2018-06-07 06:20:49,2018-06-07 04:38:49,2018-06-07 04:40:32,2018-06-07 04:41:08,2018-06-07 04:47:02,2018-06-07 04:54:25,2018-06-07 05:32:52,2018-06-07 06:07:21,2018-06-07 04:32:48,2018-06-07 04:48:08,2018-06-07 04:48:41,2018-06-07 04:51:02,2018-06-07 07:16:01
8,ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2R7DQ2IRDFIyeRn,R_883i94DV4dQuEiR,R_1pAIbETAQh0OTju,R_20USM6QIIwJ3t96,R_3qfISvr9FrgFkqw,R_1jGFYFMKd2MjAet,R_12Rc88NieRTaw5S,R_3qNXmXQ8m5t60sN,R_3iqcID71slg3qNF,R_1ISCgMjTBzjsb7s,R_2EauiqocN9DqRMZ,R_31oQ1kryLE9AMKq,R_27lporB8KdYdZ4I,R_2Po46KibsJYk4XL,R_2ZDIJ20soWQHNO1,R_3JdY7uo4rM0ZExZ,R_5cHR7KRgL6TG6BP,R_3hEMoK30JNwNlzz,R_22FSTkafmtA1lko,R_1PRjCE9a6z82GxG,R_PYBWyCicsAE42Pv,R_2TnsysyJA578QCH
9,RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,,,,,,,,,,,,,,,
10,RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,,,,,,,,,,,,,,,
11,RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,,,,,,,,,,,,,,,
12,ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,,,,,,,,,,,,,,,
