,question,option,full_text,dict_text,2,3,4,5,6,7
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-07 04:37:17,2018-06-07 04:27:54,2018-06-07 04:25:14,2018-06-07 04:41:17,2018-06-07 04:58:23,2018-06-07 05:31:33
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-07 04:47:51,2018-06-07 04:52:23,2018-06-07 05:00:01,2018-06-07 05:02:50,2018-06-07 05:09:45,2018-06-07 05:48:33
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",124.123.56.217,38.132.117.104,167.160.123.107,23.81.209.106,107.172.196.4,73.94.236.206
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",633,1469,2087,1292,681,1020
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-07 04:47:52,2018-06-07 04:52:24,2018-06-07 05:00:02,2018-06-07 05:02:51,2018-06-07 05:09:46,2018-06-07 05:48:33
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_3NOsQmrn8CVVjHX,R_2Y99vmvmZD9Igrn,R_2urGHxwWAlyGdHu,R_1l011tD1Bg8DQy2,R_3fdaKyucMA6ueH8,R_2OJD0HQHgnW7TIm
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",17.375305175781,37.751007080078,32.291198730469,33.6748046875,42.88639831543,45.010101318359
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",78.474395751953,-97.821998596191,-90.18440246582,-111.95189666748,-78.87809753418,-93.151901245117
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN
Q1.2,QID97,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID97""}",1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID98""}",2,1,2,1,2,2
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID99_TEXT""}",29,29,30,33,28,32
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID100""}",6,5,5,5,7,5
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID91_1""}",4,1,4,3,4,3
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID91_2""}",3,2,2,2,1,4
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID91_3""}",4,5,4,4,5,5
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID91_4""}",4,1,2,1,1,5
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID91_5""}",5,4,4,3,5,2
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID91_6""}",4,4,2,4,3,4
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID91_7""}",3,5,4,4,5,3
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID91_8""}",4,1,2,2,1,5
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID91_9""}",4,4,4,4,5,1
Q2.1_10,BFI,10,I see myself as someone who is: - Is curious about many different things,"{""ImportId"":""QID91_10""}",4,5,4,4,5,5
Q2.1_11,BFI,11,I see myself as someone who is: - Is full of energy,"{""ImportId"":""QID91_11""}",3,4,4,4,5,2
Q2.1_12,BFI,12,I see myself as someone who is: - Starts quarrels with others,"{""ImportId"":""QID91_12""}",4,1,2,2,1,3
Q2.1_13,BFI,13,I see myself as someone who is: - Is a reliable worker,"{""ImportId"":""QID91_13""}",5,5,4,4,5,3
Q2.1_14,BFI,14,I see myself as someone who is: - Can be tense,"{""ImportId"":""QID91_14""}",4,1,2,2,2,5
