,question,option,full_text,dict_text,2,3,4,5,6
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-07 04:23:48,2018-06-07 04:58:37,2018-06-07 04:58:38,2018-06-07 05:03:11,2018-06-07 04:42:01
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-07 04:56:53,2018-06-07 05:05:38,2018-06-07 05:11:04,2018-06-07 05:12:07,2018-06-07 05:12:11
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",68.80.159.197,84.117.24.48,84.117.24.48,196.17.64.5,67.245.216.203
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",1984,420,745,536,1810
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-07 04:56:53,2018-06-07 05:05:38,2018-06-07 05:11:04,2018-06-07 05:12:07,2018-06-07 05:12:13
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_1Ny828OL3kKEX04,R_1gvGFbzDteCjD5W,R_O1Zv6hG8jcH7cyZ,R_3iyzwQy8PZ08LDg,R_2b3qU4SNylWBJvw
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",40.260498046875,47.166702270508,47.166702270508,34.054397583008,41.748901367188
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",-75.615501403809,27.600006103516,27.600006103516,-118.2440032959,-74.446701049805
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN
