,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.5,R_2Ce9onUvQQjCiGS,26,male,MA
1,,,participant,NARS,S2,Social Influence of Robots,0.8,R_2Ce9onUvQQjCiGS,26,male,MA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_2Ce9onUvQQjCiGS,26,male,MA
3,,,participant,BFI,S1,Extraversion,0.4166666666666667,R_2Ce9onUvQQjCiGS,26,male,MA
4,,,participant,BFI,S2,Agreeableness,0.5,R_2Ce9onUvQQjCiGS,26,male,MA
5,,,participant,BFI,S3,Conscientiousness,0.6666666666666666,R_2Ce9onUvQQjCiGS,26,male,MA
6,,,participant,BFI,S4,Neuroticism,0.75,R_2Ce9onUvQQjCiGS,26,male,MA
7,,,participant,BFI,S5,Openness,0.7,R_2Ce9onUvQQjCiGS,26,male,MA
8,half,left,red,GODSPEED1,S1,Anthropomorphism,0.5,R_2Ce9onUvQQjCiGS,26,male,MA
9,half,left,red,GODSPEED1,S2,Animacy,0.3333333333333333,R_2Ce9onUvQQjCiGS,26,male,MA
10,half,left,red,GODSPEED1,S3,Likeability,0.4,R_2Ce9onUvQQjCiGS,26,male,MA
11,half,left,red,GODSPEED1,S4,Perceived Intelligence,0.5,R_2Ce9onUvQQjCiGS,26,male,MA
12,half,left,red,GODSPEED1,S5,Perceived Safety,0.3333333333333333,R_2Ce9onUvQQjCiGS,26,male,MA
13,irrational,right,blue,GODSPEED2,S1,Anthropomorphism,0.6666666666666666,R_2Ce9onUvQQjCiGS,26,male,MA
14,irrational,right,blue,GODSPEED2,S2,Animacy,0.6666666666666666,R_2Ce9onUvQQjCiGS,26,male,MA
15,irrational,right,blue,GODSPEED2,S3,Likeability,0.6,R_2Ce9onUvQQjCiGS,26,male,MA
16,irrational,right,blue,GODSPEED2,S4,Perceived Intelligence,0.5333333333333333,R_2Ce9onUvQQjCiGS,26,male,MA
17,irrational,right,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_2Ce9onUvQQjCiGS,26,male,MA
18,half,left,red,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_2Ce9onUvQQjCiGS,26,male,MA
19,irrational,right,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_2Ce9onUvQQjCiGS,26,male,MA
