,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.4444444444444445,R_883i94DV4dQuEiR,22,female,MA
1,,,participant,NARS,S2,Social Influence of Robots,0.55,R_883i94DV4dQuEiR,22,female,MA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_883i94DV4dQuEiR,22,female,MA
3,,,participant,BFI,S1,Extraversion,0.20833333333333331,R_883i94DV4dQuEiR,22,female,MA
4,,,participant,BFI,S2,Agreeableness,0.7222222222222222,R_883i94DV4dQuEiR,22,female,MA
5,,,participant,BFI,S3,Conscientiousness,0.5833333333333334,R_883i94DV4dQuEiR,22,female,MA
6,,,participant,BFI,S4,Neuroticism,0.5,R_883i94DV4dQuEiR,22,female,MA
7,,,participant,BFI,S5,Openness,0.75,R_883i94DV4dQuEiR,22,female,MA
8,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.25,R_883i94DV4dQuEiR,22,female,MA
9,rational,right,red,GODSPEED1,S2,Animacy,0.16666666666666666,R_883i94DV4dQuEiR,22,female,MA
10,rational,right,red,GODSPEED1,S3,Likeability,0.7,R_883i94DV4dQuEiR,22,female,MA
11,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.4,R_883i94DV4dQuEiR,22,female,MA
12,rational,right,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_883i94DV4dQuEiR,22,female,MA
13,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.6666666666666667,R_883i94DV4dQuEiR,22,female,MA
14,half,left,blue,GODSPEED2,S2,Animacy,0.25,R_883i94DV4dQuEiR,22,female,MA
15,half,left,blue,GODSPEED2,S3,Likeability,0.7,R_883i94DV4dQuEiR,22,female,MA
16,half,left,blue,GODSPEED2,S4,Perceived Intelligence,0.7,R_883i94DV4dQuEiR,22,female,MA
17,half,left,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_883i94DV4dQuEiR,22,female,MA
18,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.8571428571428571,R_883i94DV4dQuEiR,22,female,MA
19,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.14285714285714285,R_883i94DV4dQuEiR,22,female,MA
20,rational,right,red,q_preference,prefer,Which robot would you prefer?,1.0,R_883i94DV4dQuEiR,22,female,MA
21,rational,right,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_883i94DV4dQuEiR,22,female,MA
22,rational,right,red,q_preference,member,Which robot do you think will serve as a good jury member?,1.0,R_883i94DV4dQuEiR,22,female,MA
23,rational,right,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_883i94DV4dQuEiR,22,female,MA
24,rational,right,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_883i94DV4dQuEiR,22,female,MA
25,rational,right,red,q_preference,summary,Count (Normalized) participant chose this robot,1.0,R_883i94DV4dQuEiR,22,female,MA
26,rational,right,red,preference,average,,0.9285714285714286,R_883i94DV4dQuEiR,22,female,MA
27,rational,right,red,preference,std,,0.10101525445522111,R_883i94DV4dQuEiR,22,female,MA
28,half,left,blue,preference,average,,0.14285714285714285,R_883i94DV4dQuEiR,22,female,MA
29,half,left,blue,preference,std,,0.0,R_883i94DV4dQuEiR,22,female,MA
30,,,participant,NARS,S1,Situations and Interactions with Robots,0.3333333333333333,R_1pAIbETAQh0OTju,36,male,MA
31,,,participant,NARS,S2,Social Influence of Robots,0.4,R_1pAIbETAQh0OTju,36,male,MA
32,,,participant,NARS,S3,Emotions in Interaction with Robots,0.4444444444444444,R_1pAIbETAQh0OTju,36,male,MA
33,,,participant,BFI,S1,Extraversion,0.75,R_1pAIbETAQh0OTju,36,male,MA
34,,,participant,BFI,S2,Agreeableness,0.8888888888888888,R_1pAIbETAQh0OTju,36,male,MA
35,,,participant,BFI,S3,Conscientiousness,0.0,R_1pAIbETAQh0OTju,36,male,MA
36,,,participant,BFI,S4,Neuroticism,0.125,R_1pAIbETAQh0OTju,36,male,MA
37,,,participant,BFI,S5,Openness,0.9,R_1pAIbETAQh0OTju,36,male,MA
38,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.75,R_1pAIbETAQh0OTju,36,male,MA
39,rational,right,red,GODSPEED1,S2,Animacy,0.5,R_1pAIbETAQh0OTju,36,male,MA
40,rational,right,red,GODSPEED1,S3,Likeability,0.4,R_1pAIbETAQh0OTju,36,male,MA
41,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.5,R_1pAIbETAQh0OTju,36,male,MA
42,rational,right,red,GODSPEED1,S5,Perceived Safety,0.3333333333333333,R_1pAIbETAQh0OTju,36,male,MA
43,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.625,R_1pAIbETAQh0OTju,36,male,MA
44,half,left,blue,GODSPEED2,S2,Animacy,0.5,R_1pAIbETAQh0OTju,36,male,MA
45,half,left,blue,GODSPEED2,S3,Likeability,0.4,R_1pAIbETAQh0OTju,36,male,MA
46,half,left,blue,GODSPEED2,S4,Perceived Intelligence,0.4,R_1pAIbETAQh0OTju,36,male,MA
47,half,left,blue,GODSPEED2,S5,Perceived Safety,0.3333333333333333,R_1pAIbETAQh0OTju,36,male,MA
48,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.2857142857142857,R_1pAIbETAQh0OTju,36,male,MA
49,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.7142857142857143,R_1pAIbETAQh0OTju,36,male,MA
50,half,left,blue,q_preference,prefer,Which robot would you prefer?,2.0,R_1pAIbETAQh0OTju,36,male,MA
51,half,left,blue,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,2.0,R_1pAIbETAQh0OTju,36,male,MA
52,rational,right,red,q_preference,member,Which robot do you think will serve as a good jury member?,1.0,R_1pAIbETAQh0OTju,36,male,MA
53,rational,right,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_1pAIbETAQh0OTju,36,male,MA
54,half,left,blue,q_preference,bartender,Which robot would you like as a bartender?,2.0,R_1pAIbETAQh0OTju,36,male,MA
55,rational,right,red,q_preference,summary,Count (Normalized) participant chose this robot,0.4,R_1pAIbETAQh0OTju,36,male,MA
56,rational,right,red,preference,average,,0.34285714285714286,R_1pAIbETAQh0OTju,36,male,MA
57,rational,right,red,preference,std,,0.08081220356417688,R_1pAIbETAQh0OTju,36,male,MA
58,half,left,blue,preference,average,,0.7142857142857143,R_1pAIbETAQh0OTju,36,male,MA
59,half,left,blue,preference,std,,0.0,R_1pAIbETAQh0OTju,36,male,MA
60,,,participant,NARS,S1,Situations and Interactions with Robots,0.8333333333333334,R_20USM6QIIwJ3t96,32,male,BA
61,,,participant,NARS,S2,Social Influence of Robots,0.6,R_20USM6QIIwJ3t96,32,male,BA
62,,,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_20USM6QIIwJ3t96,32,male,BA
63,,,participant,BFI,S1,Extraversion,0.75,R_20USM6QIIwJ3t96,32,male,BA
64,,,participant,BFI,S2,Agreeableness,0.1111111111111111,R_20USM6QIIwJ3t96,32,male,BA
65,,,participant,BFI,S3,Conscientiousness,0.1111111111111111,R_20USM6QIIwJ3t96,32,male,BA
66,,,participant,BFI,S4,Neuroticism,0.875,R_20USM6QIIwJ3t96,32,male,BA
67,,,participant,BFI,S5,Openness,0.45,R_20USM6QIIwJ3t96,32,male,BA
68,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.5,R_20USM6QIIwJ3t96,32,male,BA
69,rational,right,red,GODSPEED1,S2,Animacy,0.16666666666666666,R_20USM6QIIwJ3t96,32,male,BA
70,rational,right,red,GODSPEED1,S3,Likeability,0.6,R_20USM6QIIwJ3t96,32,male,BA
71,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.8,R_20USM6QIIwJ3t96,32,male,BA
72,rational,right,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_20USM6QIIwJ3t96,32,male,BA
73,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.75,R_20USM6QIIwJ3t96,32,male,BA
74,half,left,blue,GODSPEED2,S2,Animacy,0.16666666666666666,R_20USM6QIIwJ3t96,32,male,BA
75,half,left,blue,GODSPEED2,S3,Likeability,0.8,R_20USM6QIIwJ3t96,32,male,BA
76,half,left,blue,GODSPEED2,S4,Perceived Intelligence,0.8,R_20USM6QIIwJ3t96,32,male,BA
77,half,left,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_20USM6QIIwJ3t96,32,male,BA
78,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.8571428571428571,R_20USM6QIIwJ3t96,32,male,BA
79,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.14285714285714285,R_20USM6QIIwJ3t96,32,male,BA
80,rational,right,red,q_preference,prefer,Which robot would you prefer?,1.0,R_20USM6QIIwJ3t96,32,male,BA
81,rational,right,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_20USM6QIIwJ3t96,32,male,BA
82,rational,right,red,q_preference,member,Which robot do you think will serve as a good jury member?,1.0,R_20USM6QIIwJ3t96,32,male,BA
83,rational,right,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_20USM6QIIwJ3t96,32,male,BA
84,rational,right,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_20USM6QIIwJ3t96,32,male,BA
85,rational,right,red,q_preference,summary,Count (Normalized) participant chose this robot,1.0,R_20USM6QIIwJ3t96,32,male,BA
86,rational,right,red,preference,average,,0.9285714285714286,R_20USM6QIIwJ3t96,32,male,BA
87,rational,right,red,preference,std,,0.10101525445522111,R_20USM6QIIwJ3t96,32,male,BA
88,half,left,blue,preference,average,,0.14285714285714285,R_20USM6QIIwJ3t96,32,male,BA
89,half,left,blue,preference,std,,0.0,R_20USM6QIIwJ3t96,32,male,BA
90,,,participant,NARS,S1,Situations and Interactions with Robots,0.38888888888888884,R_3qfISvr9FrgFkqw,30,female,BA
91,,,participant,NARS,S2,Social Influence of Robots,0.5333333333333334,R_3qfISvr9FrgFkqw,30,female,BA
92,,,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_3qfISvr9FrgFkqw,30,female,BA
93,,,participant,BFI,S1,Extraversion,0.375,R_3qfISvr9FrgFkqw,30,female,BA
94,,,participant,BFI,S2,Agreeableness,0.7777777777777778,R_3qfISvr9FrgFkqw,30,female,BA
95,,,participant,BFI,S3,Conscientiousness,0.6666666666666666,R_3qfISvr9FrgFkqw,30,female,BA
96,,,participant,BFI,S4,Neuroticism,0.625,R_3qfISvr9FrgFkqw,30,female,BA
97,,,participant,BFI,S5,Openness,0.5666666666666667,R_3qfISvr9FrgFkqw,30,female,BA
98,rational,right,red,GODSPEED1,S1,Anthropomorphism,0.5,R_3qfISvr9FrgFkqw,30,female,BA
99,rational,right,red,GODSPEED1,S2,Animacy,0.6666666666666666,R_3qfISvr9FrgFkqw,30,female,BA
100,rational,right,red,GODSPEED1,S3,Likeability,0.7,R_3qfISvr9FrgFkqw,30,female,BA
101,rational,right,red,GODSPEED1,S4,Perceived Intelligence,0.5,R_3qfISvr9FrgFkqw,30,female,BA
102,rational,right,red,GODSPEED1,S5,Perceived Safety,0.5,R_3qfISvr9FrgFkqw,30,female,BA
103,half,left,blue,GODSPEED2,S1,Anthropomorphism,0.5,R_3qfISvr9FrgFkqw,30,female,BA
104,half,left,blue,GODSPEED2,S2,Animacy,0.6666666666666666,R_3qfISvr9FrgFkqw,30,female,BA
105,half,left,blue,GODSPEED2,S3,Likeability,0.6,R_3qfISvr9FrgFkqw,30,female,BA
106,half,left,blue,GODSPEED2,S4,Perceived Intelligence,0.2,R_3qfISvr9FrgFkqw,30,female,BA
107,half,left,blue,GODSPEED2,S5,Perceived Safety,0.3333333333333333,R_3qfISvr9FrgFkqw,30,female,BA
108,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.8571428571428571,R_3qfISvr9FrgFkqw,30,female,BA
109,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.14285714285714285,R_3qfISvr9FrgFkqw,30,female,BA
110,rational,right,red,q_preference,prefer,Which robot would you prefer?,1.0,R_3qfISvr9FrgFkqw,30,female,BA
111,rational,right,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_3qfISvr9FrgFkqw,30,female,BA
112,rational,right,red,q_preference,member,Which robot do you think will serve as a good jury member?,1.0,R_3qfISvr9FrgFkqw,30,female,BA
113,rational,right,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_3qfISvr9FrgFkqw,30,female,BA
114,half,left,blue,q_preference,bartender,Which robot would you like as a bartender?,2.0,R_3qfISvr9FrgFkqw,30,female,BA
115,rational,right,red,q_preference,summary,Count (Normalized) participant chose this robot,0.8,R_3qfISvr9FrgFkqw,30,female,BA
116,rational,right,red,preference,average,,0.8285714285714285,R_3qfISvr9FrgFkqw,30,female,BA
117,rational,right,red,preference,std,,0.040406101782088366,R_3qfISvr9FrgFkqw,30,female,BA
118,half,left,blue,preference,average,,0.14285714285714285,R_3qfISvr9FrgFkqw,30,female,BA
119,half,left,blue,preference,std,,0.0,R_3qfISvr9FrgFkqw,30,female,BA
120,,,participant,NARS,S1,Situations and Interactions with Robots,0.0,R_12Rc88NieRTaw5S,30,female,<BA
121,,,participant,NARS,S2,Social Influence of Robots,0.2,R_12Rc88NieRTaw5S,30,female,<BA
122,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_12Rc88NieRTaw5S,30,female,<BA
123,,,participant,BFI,S1,Extraversion,0.6666666666666667,R_12Rc88NieRTaw5S,30,female,<BA
124,,,participant,BFI,S2,Agreeableness,0.4444444444444444,R_12Rc88NieRTaw5S,30,female,<BA
125,,,participant,BFI,S3,Conscientiousness,0.5277777777777778,R_12Rc88NieRTaw5S,30,female,<BA
