,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.3333333333333333,R_248jSr60q0E4zMP,34,male,<BA
1,,,participant,NARS,S2,Social Influence of Robots,0.4,R_248jSr60q0E4zMP,34,male,<BA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.0,R_248jSr60q0E4zMP,34,male,<BA
3,,,participant,BFI,S1,Extraversion,0.1875,R_248jSr60q0E4zMP,34,male,<BA
4,,,participant,BFI,S2,Agreeableness,0.1388888888888889,R_248jSr60q0E4zMP,34,male,<BA
5,,,participant,BFI,S3,Conscientiousness,0.0,R_248jSr60q0E4zMP,34,male,<BA
6,,,participant,BFI,S4,Neuroticism,0.3125,R_248jSr60q0E4zMP,34,male,<BA
7,,,participant,BFI,S5,Openness,0.45,R_248jSr60q0E4zMP,34,male,<BA
8,rational,left,red,GODSPEED1,S1,Anthropomorphism,0.0,R_248jSr60q0E4zMP,34,male,<BA
9,rational,left,red,GODSPEED1,S2,Animacy,0.3333333333333333,R_248jSr60q0E4zMP,34,male,<BA
10,rational,left,red,GODSPEED1,S3,Likeability,0.5,R_248jSr60q0E4zMP,34,male,<BA
11,rational,left,red,GODSPEED1,S4,Perceived Intelligence,0.4,R_248jSr60q0E4zMP,34,male,<BA
12,rational,left,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_248jSr60q0E4zMP,34,male,<BA
13,irrational,right,blue,GODSPEED2,S1,Anthropomorphism,0.0,R_248jSr60q0E4zMP,34,male,<BA
14,irrational,right,blue,GODSPEED2,S2,Animacy,0.0,R_248jSr60q0E4zMP,34,male,<BA
15,irrational,right,blue,GODSPEED2,S3,Likeability,0.6,R_248jSr60q0E4zMP,34,male,<BA
16,irrational,right,blue,GODSPEED2,S4,Perceived Intelligence,0.5,R_248jSr60q0E4zMP,34,male,<BA
17,irrational,right,blue,GODSPEED2,S5,Perceived Safety,0.0,R_248jSr60q0E4zMP,34,male,<BA
18,rational,left,red,r_preference,summary,Count (Normalized) participant chose this robot,1.0,R_248jSr60q0E4zMP,34,male,<BA
19,irrational,right,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.0,R_248jSr60q0E4zMP,34,male,<BA
20,rational,left,red,q_preference,prefer,Which robot would you prefer?,1.0,R_248jSr60q0E4zMP,34,male,<BA
21,rational,left,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_248jSr60q0E4zMP,34,male,<BA
22,rational,left,red,q_preference,member,Which robot do you think will serve as a good jury member?,1.0,R_248jSr60q0E4zMP,34,male,<BA
23,rational,left,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_248jSr60q0E4zMP,34,male,<BA
24,rational,left,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_248jSr60q0E4zMP,34,male,<BA
25,rational,left,red,q_preference,summary,Count (Normalized) participant chose this robot,1.0,R_248jSr60q0E4zMP,34,male,<BA
26,rational,left,red,preference,average,,1.0,R_248jSr60q0E4zMP,34,male,<BA
27,rational,left,red,preference,std,,0.0,R_248jSr60q0E4zMP,34,male,<BA
28,irrational,right,blue,preference,average,,0.0,R_248jSr60q0E4zMP,34,male,<BA
29,irrational,right,blue,preference,std,,0.0,R_248jSr60q0E4zMP,34,male,<BA
30,,,participant,NARS,S1,Situations and Interactions with Robots,0.6666666666666666,R_2q4YVOKOy4M9l69,31,male,professional
31,,,participant,NARS,S2,Social Influence of Robots,0.4,R_2q4YVOKOy4M9l69,31,male,professional
