,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
1,,,participant,NARS,S2,Social Influence of Robots,0.3,R_3sgkqeXS5mSH5qt,31,female,MA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_3sgkqeXS5mSH5qt,31,female,MA
3,,,participant,BFI,S1,Extraversion,0.75,R_3sgkqeXS5mSH5qt,31,female,MA
4,,,participant,BFI,S2,Agreeableness,0.5555555555555556,R_3sgkqeXS5mSH5qt,31,female,MA
5,,,participant,BFI,S3,Conscientiousness,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
6,,,participant,BFI,S4,Neuroticism,0.24999999999999997,R_3sgkqeXS5mSH5qt,31,female,MA
7,,,participant,BFI,S5,Openness,0.525,R_3sgkqeXS5mSH5qt,31,female,MA
8,irrational,left,red,GODSPEED1,S1,Anthropomorphism,0.75,R_3sgkqeXS5mSH5qt,31,female,MA
9,irrational,left,red,GODSPEED1,S2,Animacy,0.3333333333333333,R_3sgkqeXS5mSH5qt,31,female,MA
10,irrational,left,red,GODSPEED1,S3,Likeability,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
11,irrational,left,red,GODSPEED1,S4,Perceived Intelligence,0.2,R_3sgkqeXS5mSH5qt,31,female,MA
12,irrational,left,red,GODSPEED1,S5,Perceived Safety,0.6666666666666666,R_3sgkqeXS5mSH5qt,31,female,MA
13,half,right,blue,GODSPEED2,S1,Anthropomorphism,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
14,half,right,blue,GODSPEED2,S2,Animacy,0.16666666666666666,R_3sgkqeXS5mSH5qt,31,female,MA
15,half,right,blue,GODSPEED2,S3,Likeability,0.8,R_3sgkqeXS5mSH5qt,31,female,MA
16,half,right,blue,GODSPEED2,S4,Perceived Intelligence,0.3,R_3sgkqeXS5mSH5qt,31,female,MA
17,half,right,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_3sgkqeXS5mSH5qt,31,female,MA
18,irrational,left,red,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_3sgkqeXS5mSH5qt,31,female,MA
19,half,right,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_3sgkqeXS5mSH5qt,31,female,MA
20,half,right,blue,q_preference,prefer,Which robot would you prefer?,2.0,R_3sgkqeXS5mSH5qt,31,female,MA
21,half,right,blue,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,2.0,R_3sgkqeXS5mSH5qt,31,female,MA
22,half,right,blue,q_preference,member,Which robot do you think will serve as a good jury member?,2.0,R_3sgkqeXS5mSH5qt,31,female,MA
23,half,right,blue,q_preference,analyst,Which robot do you think will be a better analyst?,2.0,R_3sgkqeXS5mSH5qt,31,female,MA
24,half,right,blue,q_preference,bartender,Which robot would you like as a bartender?,2.0,R_3sgkqeXS5mSH5qt,31,female,MA
25,irrational,left,red,q_preference,summary,Count (Normalized) participant chose this robot,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
26,irrational,left,red,preference,average,,0.42857142857142855,R_3sgkqeXS5mSH5qt,31,female,MA
27,irrational,left,red,preference,std,,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
28,half,right,blue,preference,average,,0.5714285714285714,R_3sgkqeXS5mSH5qt,31,female,MA
29,half,right,blue,preference,std,,0.0,R_3sgkqeXS5mSH5qt,31,female,MA
30,,,participant,NARS,S1,Situations and Interactions with Robots,0.3333333333333333,R_3nHt10lYNAiQigG,34,male,MA
31,,,participant,NARS,S2,Social Influence of Robots,0.8,R_3nHt10lYNAiQigG,34,male,MA
32,,,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_3nHt10lYNAiQigG,34,male,MA
33,,,participant,BFI,S1,Extraversion,0.3125,R_3nHt10lYNAiQigG,34,male,MA
34,,,participant,BFI,S2,Agreeableness,0.48148148148148145,R_3nHt10lYNAiQigG,34,male,MA
35,,,participant,BFI,S3,Conscientiousness,0.8518518518518519,R_3nHt10lYNAiQigG,34,male,MA
36,,,participant,BFI,S4,Neuroticism,0.5,R_3nHt10lYNAiQigG,34,male,MA
37,,,participant,BFI,S5,Openness,0.6666666666666667,R_3nHt10lYNAiQigG,34,male,MA
38,irrational,left,red,GODSPEED1,S1,Anthropomorphism,0.5833333333333333,R_3nHt10lYNAiQigG,34,male,MA
39,irrational,left,red,GODSPEED1,S2,Animacy,0.5833333333333334,R_3nHt10lYNAiQigG,34,male,MA
40,irrational,left,red,GODSPEED1,S3,Likeability,0.4,R_3nHt10lYNAiQigG,34,male,MA
41,irrational,left,red,GODSPEED1,S4,Perceived Intelligence,0.4,R_3nHt10lYNAiQigG,34,male,MA
42,irrational,left,red,GODSPEED1,S5,Perceived Safety,0.3333333333333333,R_3nHt10lYNAiQigG,34,male,MA
43,half,right,blue,GODSPEED2,S1,Anthropomorphism,0.5,R_3nHt10lYNAiQigG,34,male,MA
44,half,right,blue,GODSPEED2,S2,Animacy,0.5,R_3nHt10lYNAiQigG,34,male,MA
45,half,right,blue,GODSPEED2,S3,Likeability,0.8,R_3nHt10lYNAiQigG,34,male,MA
46,half,right,blue,GODSPEED2,S4,Perceived Intelligence,0.8,R_3nHt10lYNAiQigG,34,male,MA
47,half,right,blue,GODSPEED2,S5,Perceived Safety,0.6666666666666666,R_3nHt10lYNAiQigG,34,male,MA
48,irrational,left,red,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_3nHt10lYNAiQigG,34,male,MA
49,half,right,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_3nHt10lYNAiQigG,34,male,MA
50,irrational,left,red,q_preference,prefer,Which robot would you prefer?,1.0,R_3nHt10lYNAiQigG,34,male,MA
51,irrational,left,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_3nHt10lYNAiQigG,34,male,MA
52,irrational,left,red,q_preference,member,Which robot do you think will serve as a good jury member?,1.0,R_3nHt10lYNAiQigG,34,male,MA
53,irrational,left,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_3nHt10lYNAiQigG,34,male,MA
54,irrational,left,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_3nHt10lYNAiQigG,34,male,MA
55,irrational,left,red,q_preference,summary,Count (Normalized) participant chose this robot,1.0,R_3nHt10lYNAiQigG,34,male,MA
56,irrational,left,red,preference,average,,0.7142857142857143,R_3nHt10lYNAiQigG,34,male,MA
57,irrational,left,red,preference,std,,0.4040610178208843,R_3nHt10lYNAiQigG,34,male,MA
58,half,right,blue,preference,average,,0.5714285714285714,R_3nHt10lYNAiQigG,34,male,MA
59,half,right,blue,preference,std,,0.0,R_3nHt10lYNAiQigG,34,male,MA
60,,,participant,NARS,S1,Situations and Interactions with Robots,0.2222222222222222,R_3RgVGyKsN0qt4Hf,36,male,HS
61,,,participant,NARS,S2,Social Influence of Robots,0.5333333333333333,R_3RgVGyKsN0qt4Hf,36,male,HS
62,,,participant,NARS,S3,Emotions in Interaction with Robots,0.5,R_3RgVGyKsN0qt4Hf,36,male,HS
63,,,participant,BFI,S1,Extraversion,0.3125,R_3RgVGyKsN0qt4Hf,36,male,HS
64,,,participant,BFI,S2,Agreeableness,0.6296296296296297,R_3RgVGyKsN0qt4Hf,36,male,HS
65,,,participant,BFI,S3,Conscientiousness,0.7777777777777778,R_3RgVGyKsN0qt4Hf,36,male,HS
66,,,participant,BFI,S4,Neuroticism,0.5416666666666667,R_3RgVGyKsN0qt4Hf,36,male,HS
