,R_883i94DV4dQuEiR,R_1pAIbETAQh0OTju,R_20USM6QIIwJ3t96,R_3qfISvr9FrgFkqw,R_12Rc88NieRTaw5S,R_1ISCgMjTBzjsb7s,R_27lporB8KdYdZ4I,R_2ZDIJ20soWQHNO1,R_5cHR7KRgL6TG6BP,R_22FSTkafmtA1lko,R_PYBWyCicsAE42Pv,R_2TnsysyJA578QCH,R_248jSr60q0E4zMP,R_2q4YVOKOy4M9l69,R_29tqGQIajUZLeeE,R_2tJziYe9uwnAkKg,R_9WWazB6nQFvh22l,R_3kjmdYqKVTQmctW,R_1H7z3OpAcVKon5o,R_3rYeFmjlA6JRzCz,R_3qTJSADRUn7a3j2,R_2RRoxZuuBYPUMJT,R_1gSznyOVNi7tr7h,R_1gvGFbzDteCjD5W,R_O1Zv6hG8jcH7cyZ,R_2b3qU4SNylWBJvw,R_2Ce9onUvQQjCiGS,R_27x7GeRCFbfA0Ps,R_3Rf85R89Bo46ARh,R_3QGhT2z79AhcQ7w,R_1jvUWvCVrHxOPaP,R_26evzLJuqRk5deP,R_2Y99vmvmZD9Igrn,R_1l011tD1Bg8DQy2,R_2OJD0HQHgnW7TIm,R_3sgkqeXS5mSH5qt,R_3nHt10lYNAiQigG,R_3RgVGyKsN0qt4Hf
Q5.1,half,rational,half,half,half,half,half,half,half,half,half,half,irrational,irrational,rational,irrational,irrational,irrational,irrational,irrational,irrational,rational,rational,irrational,rational,irrational,irrational,half,half,irrational,half,half,half,irrational,half,irrational,half,half
Q7.1,half,rational,half,half,rational,half,half,half,half,half,rational,half,irrational,irrational,rational,irrational,irrational,irrational,irrational,irrational,irrational,rational,rational,irrational,irrational,rational,half,half,half,irrational,irrational,irrational,half,irrational,irrational,irrational,irrational,half
Q10.1,half,half,half,half,half,half,half,half,half,half,half,rational,irrational,irrational,irrational,irrational,irrational,rational,irrational,irrational,rational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,half,half,irrational,half,half,irrational,irrational,half,irrational,irrational
Q12.1,half,rational,half,half,half,half,half,half,half,half,rational,half,irrational,irrational,irrational,irrational,irrational,rational,irrational,irrational,rational,irrational,rational,irrational,irrational,irrational,half,half,half,half,irrational,half,irrational,irrational,half,irrational,irrational,half
Q14.1,half,rational,half,half,half,half,half,half,half,half,rational,half,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,rational,rational,irrational,irrational,rational,irrational,half,half,half,half,half,irrational,half,irrational,half,irrational,half,half
Q16.1,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,rational,irrational,irrational,irrational,irrational,rational,rational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,half,irrational,irrational,irrational,irrational
Q18.1,rational,rational,rational,rational,half,half,half,half,half,half,half,rational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,rational,rational,rational,rational,rational,rational,irrational,half,half,half,half,half,irrational,half,half,half,irrational,irrational
investments,half,rational,half,half,half,half,half,half,half,half,rational,half,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,rational,irrational,rational,rational,irrational,irrational,irrational,half,half,half,half,half,half,irrational,half,irrational,half,irrational
analyst,half,half,half,half,half,half,half,half,half,half,rational,half,irrational,irrational,irrational,irrational,irrational,rational,irrational,irrational,rational,irrational,irrational,rational,irrational,irrational,half,half,half,half,half,half,half,irrational,half,irrational,half,irrational
jury,half,half,half,half,half,half,half,half,half,half,rational,half,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,rational,rational,irrational,irrational,rational,irrational,half,half,half,half,half,half,irrational,irrational,half,irrational,half,irrational
bartender,half,rational,half,rational,half,half,rational,half,half,half,rational,half,irrational,rational,irrational,rational,irrational,irrational,irrational,rational,irrational,rational,irrational,rational,irrational,irrational,irrational,half,half,half,irrational,half,irrational,irrational,irrational,irrational,half,half
prefer,half,rational,half,half,half,half,half,half,half,half,rational,half,irrational,irrational,irrational,irrational,irrational,irrational,irrational,irrational,rational,rational,rational,rational,rational,irrational,half,half,half,half,half,half,half,irrational,half,irrational,half,half
