,q,experiment,percentage
0,0,ranking,0.38095238095238093
1,1,ranking,0.5
2,2,ranking,0.5238095238095238
3,3,ranking,0.16666666666666663
4,4,ranking,0.5476190476190477
5,5,ranking,0.30952380952380953
6,6,ranking,0.47619047619047616
7,0,chosing,0.7051282051282051
8,1,chosing,0.7307692307692308
9,2,chosing,0.6153846153846154
10,3,chosing,0.6666666666666667
11,4,chosing,0.6025641025641026
12,5,chosing,0.46153846153846156
13,6,chosing,0.7564102564102564
14,0,robots,0.722466960352423
15,1,robots,0.801762114537445
16,2,robots,0.6563876651982379
17,3,robots,0.5374449339207048
18,4,robots,0.5726872246696035
19,5,robots,0.6255506607929515
20,6,robots,0.6079295154185023
