,Q7_Page Submit,Q9_Page Submit,Q13_Page Submit,Q11_Page Submit,Q15_Page Submit,Q17_Page Submit,Q19_Page Submit
3,12.165,24.702,18.382,16.646,11.035,15.741,13.379
4,34.888,22.302,21.657,18.368,25.535,11.219,13.368
5,51.021,30.494,15.833,19.556,23.769,13.808,16.868
6,43.575,24.775,30.332,20.405,19.193,21.407,13.987
7,57.415,44.493,21.427,26.24,10.445,8.197,6.561
8,40.011,31.668,22.988,50.651,27.799,21.337,34.458
9,51.561,64.601,66.465,16.288,31.488,12.892,12.014
10,77.951,46.162,21.552,43.688,26.474,19.773,19.032
11,42.626,28.783,49.255,39.54,22.478,20.997,15.118
12,59.032,23.729,52.314,39.253,42.253,38.518,33.63
13,43.061,43.409,33.891,41.707,29.143,24.386,17.969
14,61.188,71.081,55.234,109.754,36.384,26.179,26.33
16,60.348,46.977,52.336,65.578,52.249,64.995,24.797
17,12.078,9.341,4.055,4.194,3.649,4.999,3.909
18,128.774,49.936,56.8,26.918,27.143,20.006,18.957
19,24.348,24.514,18.822,30.93,12.444,22.067,25.685
20,44.134,28.351,25.658,32.776,24.323,21.425,14.931
21,66.435,36.287,34.059,50.905,44.632,33.418,16.451
24,259.119,126.55,60.034,45.188,33.071,44.776,32.665
25,54.439,36.209,12.888,13.177,13.472,13.837,9.923
26,41.866,25.104,16.714,50.861,12.65,27.679,12.74
27,71.967,127.348,19.418,58.34,38.819,25.515,32.178
28,34.224,9.585,272.505,542.688,3.561,15.074,5.54
29,71.481,26.011,23.746,44.563,36.047,25.166,20.994
30,10.253,4.209,9.322,9.366,4.006,4.461,24.305
32,23.739,17.955,18.382,15.729,25.126,27.976,18.228
33,16.476,16.546,19.864,18.086,16.928,14.219,17.294
35,44.713,30.7,17.675,29.025,18.516,15.804,17.838
36,57.368,26.224,133.488,69.337,124.929,23.952,153.631
37,16.923,8.878,5.149,21.716,13.248,11.041,18.675
38,49.598,65.655,22.006,31.11,29.043,18.259,58.438
39,61.253,45.701,20.055,26.791,28.126,16.194,16.062
40,24.426,16.548,13.301,15.356,11.716,12.814,6.962
42,39.456,24.684,22.147,36.937,18.189,15.735,23.569
43,63.284,66.592,38.473,45.038,19.062,21.941,15.57
44,37.835,26.677,20.996,25.209,23.53,21.791,23.315
45,27.128,36.923,16.412,30.908,16.057,16.198,16.372
46,61.957,46.576,65.626,54.314,52.943,28.022,31.008
49,58.767,68.419,56.153,29.997,23.564,14.018,22.456
50,32.15,30.258,34.824,29.694,23.814,21.9,20.054
51,28.18,32.131,48.477,36.58,25.012,31.932,20.47
52,29.36,25.741,18.992,42.493,38.29,12.755,13.984
