,Rationality,Color,Side,Investments,Analyst,Jury,Bartender,Prefer,Gender,Education,Age,Interactions,Social_influence,Emotions,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Anthropomorphism,Animacy,Likability,Intelligence,Safety,Agreement
Rationality,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Color,0,1.0***,0.0,0.02,0.03,0.09,0.02,0.06,-0.06,0.03,-0.12*,0.1,0.13**,0.14**,-0.1,-0.12*,-0.03,0.09,-0.11,-0.11*,-0.05,-0.04,-0.13*,-0.15**,-0.13**
Side,0,0.0,1.0***,0.01,-0.0,-0.02,-0.06,0.01,-0.02,-0.04,-0.14**,-0.05,-0.11*,-0.09,0.06,-0.01,-0.05,0.03,0.06,-0.01,0.01,0.09,0.09,0.07,-0.0
Investments,0,0.02,0.01,1.0***,0.75***,0.54***,-0.05,0.65***,-0.01,-0.1,-0.02,-0.11*,-0.11,-0.06,-0.04,-0.02,0.0,0.14**,0.03,0.01,-0.1,0.01,0.22***,0.08,0.53***
Analyst,0,0.03,-0.0,0.75***,1.0***,0.5***,-0.08,0.61***,-0.02,-0.06,0.02,-0.08,-0.04,-0.01,-0.07,-0.03,0.04,0.16**,-0.02,0.08,-0.0,0.02,0.19***,0.08,0.47***
Jury,0,0.09,-0.02,0.54***,0.5***,1.0***,0.11,0.59***,-0.02,-0.01,0.0,-0.11*,-0.04,-0.07,-0.06,0.08,0.09,0.07,0.05,0.04,-0.01,0.06,0.19***,0.13**,0.38***
Bartender,0,0.02,-0.06,-0.05,-0.08,0.11,1.0***,0.12*,0.08,-0.04,0.0,-0.08,-0.12*,-0.03,-0.04,0.1,0.16**,-0.06,-0.03,0.03,0.04,0.04,-0.03,-0.02,-0.05
Prefer,0,0.06,0.01,0.65***,0.61***,0.59***,0.12*,1.0***,0.04,0.01,-0.07,-0.05,-0.02,-0.02,-0.14**,0.01,0.07,0.13**,0.03,0.1,0.05,0.06,0.19***,0.11,0.44***
Gender,0,-0.06,-0.02,-0.01,-0.02,-0.02,0.08,0.04,1.0***,-0.05,-0.19***,-0.1,-0.07,-0.12*,-0.1,-0.16**,-0.12*,-0.15**,-0.08,-0.01,-0.01,-0.07,-0.03,-0.01,0.03
Education,0,0.03,-0.04,-0.1,-0.06,-0.01,-0.04,0.01,-0.05,1.0***,0.07,0.09,0.06,-0.05,0.15**,0.01,0.06,0.02,0.07,0.01,0.13*,0.07,0.03,0.05,-0.03
Age,0,-0.12*,-0.14**,-0.02,0.02,0.0,0.0,-0.07,-0.19***,0.07,1.0***,-0.07,0.05,0.05,0.2***,0.23***,0.22***,-0.2***,0.07,0.08,0.05,0.04,-0.08,0.01,-0.07
Interactions,0,0.1,-0.05,-0.11*,-0.08,-0.11*,-0.08,-0.05,-0.1,0.09,-0.07,1.0***,0.63***,0.47***,-0.08,-0.22***,-0.26***,0.24***,-0.38***,0.13*,0.08,-0.12*,-0.16**,0.05,-0.06
Social_influence,0,0.13**,-0.11*,-0.11,-0.04,-0.04,-0.12*,-0.02,-0.07,0.06,0.05,0.63***,1.0***,0.58***,-0.13*,-0.17**,-0.17**,0.12*,-0.32***,-0.03,-0.04,-0.23***,-0.2***,0.08,-0.07
Emotions,0,0.14**,-0.09,-0.06,-0.01,-0.07,-0.03,-0.02,-0.12*,-0.05,0.05,0.47***,0.58***,1.0***,-0.14**,-0.19***,0.01,-0.03,-0.38***,-0.09,-0.11*,-0.17***,-0.13*,-0.02,-0.04
Extroversion,0,-0.1,0.06,-0.04,-0.07,-0.06,-0.04,-0.14**,-0.1,0.15**,0.2***,-0.08,-0.13*,-0.14**,1.0***,0.3***,0.27***,-0.38***,0.3***,0.06,0.06,0.1,0.08,0.1,-0.18***
Agreeableness,0,-0.12*,-0.01,-0.02,-0.03,0.08,0.1,0.01,-0.16**,0.01,0.23***,-0.22***,-0.17**,-0.19***,0.3***,1.0***,0.46***,-0.39***,0.35***,-0.0,0.07,0.13**,0.24***,0.08,-0.05
Conscientiousness,0,-0.03,-0.05,0.0,0.04,0.09,0.16**,0.07,-0.12*,0.06,0.22***,-0.26***,-0.17**,0.01,0.27***,0.46***,1.0***,-0.5***,0.28***,-0.0,0.03,0.12*,0.1,0.05,-0.07
Neuroticism,0,0.09,0.03,0.14**,0.16**,0.07,-0.06,0.13**,-0.15**,0.02,-0.2***,0.24***,0.12*,-0.03,-0.38***,-0.39***,-0.5***,1.0***,-0.17**,0.07,0.02,0.0,0.06,-0.06,0.16**
Openness,0,-0.11,0.06,0.03,-0.02,0.05,-0.03,0.03,-0.08,0.07,0.07,-0.38***,-0.32***,-0.38***,0.3***,0.35***,0.28***,-0.17**,1.0***,-0.08,-0.04,0.14**,0.29***,-0.03,-0.03
Anthropomorphism,0,-0.11*,-0.01,0.01,0.08,0.04,0.03,0.1,-0.01,0.01,0.08,0.13*,-0.03,-0.09,0.06,-0.0,-0.0,0.07,-0.08,1.0***,0.78***,0.41***,0.33***,0.22***,0.13**
Animacy,0,-0.05,0.01,-0.1,-0.0,-0.01,0.04,0.05,-0.01,0.13*,0.05,0.08,-0.04,-0.11*,0.06,0.07,0.03,0.02,-0.04,0.78***,1.0***,0.56***,0.33***,0.32***,0.02
Likability,0,-0.04,0.09,0.01,0.02,0.06,0.04,0.06,-0.07,0.07,0.04,-0.12*,-0.23***,-0.17***,0.1,0.13**,0.12*,0.0,0.14**,0.41***,0.56***,1.0***,0.54***,0.44***,0.06
Intelligence,0,-0.13*,0.09,0.22***,0.19***,0.19***,-0.03,0.19***,-0.03,0.03,-0.08,-0.16**,-0.2***,-0.13*,0.08,0.24***,0.1,0.06,0.29***,0.33***,0.33***,0.54***,1.0***,0.33***,0.22***
Safety,0,-0.15**,0.07,0.08,0.08,0.13**,-0.02,0.11,-0.01,0.05,0.01,0.05,0.08,-0.02,0.1,0.08,0.05,-0.06,-0.03,0.22***,0.32***,0.44***,0.33***,1.0***,0.13**
Agreement,0,-0.13**,-0.0,0.53***,0.47***,0.38***,-0.05,0.44***,0.03,-0.03,-0.07,-0.06,-0.07,-0.04,-0.18***,-0.05,-0.07,0.16**,-0.03,0.13**,0.02,0.06,0.22***,0.13**,1.0***
