,Rationality,Color,Side,Investments,Analyst,Jury,Bartender,Prefer,Gender,Education,Age,Userid,Interactions,Social_influence,Emotions,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Anthropomorphism,Animacy,Likability,Intelligence,Safety,Agreement
0,0,0,1,0,0,1,1,0,0.0,7,37,R_2fwWymlJrfVh3SC,0.6756741481343441,1.9392231704675107,2.2149970591657238,4.0295674409992515,8.619198009993204,24.770703279220083,0.8357424442402285,13.93234653459101,1.1710692782615137,0.9693154009723901,1.9847308498251333,2.7643082960982515,0.6757791887003252,0.14285714285714285
1,0,0,1,0,0,1,1,1,1.0,4,32,R_3MDyFl7SXwGlfUi,0.9460872639402669,3.8119944358734523,3.3772911223600808,2.697200734207381,4.266769418660577,24.770703279220083,0.8357424442402285,7.769468390085753,-3.0887489661595433,-1.7457721679282134,-1.004586448599419,0.3988775482106322,0.6757791887003252,0.14285714285714285
2,0,0,1,0,0,0,1,0,1.0,7,29,R_1oklEFUUXdXoCIs,1.104897048742107,2.5059818394193116,1.9684357263364136,2.697200734207381,5.995389441486047,14.641986253846206,1.3336322900623307,8.15503560117361,2.661071055904207,2.2019524699088526,1.7872355178947037,0.3988775482106322,-0.6577107892839249,0.0
3,0,0,1,1,1,1,1,1,0.0,2,46,R_bvxDNT0B8LUyW5P,1.4234116068071232,3.440882099793131,3.152814235157565,1.843663185286638,4.896030288248067,11.660662529177628,2.0146656269548147,4.682173574473452,0.4848236075134514,0.6519159989579951,-0.2002225627966991,0.19970301495503137,0.0,0.7142857142857142
4,0,0,1,1,1,1,1,1,1.0,4,35,R_2w4EgoJ8AVydxdy,0.6756741481343441,1.1747853344406194,1.715854134709469,3.319299086805403,1.8347304102599071,24.770703279220083,0.7620739363867163,10.645547631819227,-0.5157949195796782,-1.386774318560465,-0.40084242035415807,-1.2084973089823747,0.33580242550848727,0.8571428571428571
5,0,0,1,1,1,1,0,1,1.0,4,30,R_1qgOW38YevjYc4Y,1.104897048742107,3.440882099793131,2.456211763034585,2.380713093534346,6.2225440131152725,16.27063884333422,1.3872241569617352,5.634396341603971,0.0,0.4913332136929343,0.0,0.0,-0.3308878319267499,0.42857142857142855
6,0,0,1,1,1,1,1,1,1.0,2,38,R_30cqnT68XKtYGfh,0.8212870312213688,1.9392231704675107,1.1890101810521299,1.843663185286638,6.683890893480805,16.27063884333422,1.4900451836124622,13.93234653459101,0.0,-0.8562385098884515,-1.004586448599419,-1.6140700519552966,-1.3023105125228605,0.42857142857142855
7,0,0,1,1,1,1,1,1,1.0,3,23,R_3oyZMxNSCZTNGzn,1.2387889854896257,2.8812644637650546,2.692628479688493,2.380713093534346,5.995389441486047,12.371846028830854,1.6346507153839254,7.769468390085753,1.1710692782615137,1.1263648004026712,1.5895729657525164,1.1915774271089528,1.0191199518535294,0.7142857142857143
8,0,0,1,1,1,0,0,1,1.0,2,22,R_vIfUBtuxCLd1YPL,1.1519081138191523,2.6938592785379654,2.456211763034585,2.380713093534346,4.896030288248067,13.862365919075682,1.2784504450912177,10.209440267237165,-2.1963942477550775,-2.474379478600637,-1.8128769511844447,-1.0061365202588621,-1.3023105125228605,0.28571428571428575
9,0,0,1,1,1,0,0,1,0.0,3,50,R_vCSc9egjQy6RPDH,0.8859226313548068,2.3176045918842165,1.9684357263364136,3.113421556255703,4.896030288248067,6.769169002620054,1.9360822032476532,14.435196084001863,-0.25418449086598405,0.4913332136929338,1.5895729657525173,0.795930274821791,-0.6577107892839245,0.4285714285714286
10,0,0,1,1,1,1,1,1,1.0,3,49,R_1rcz8bjADSpvIEG,1.104897048742107,2.8812644637650546,2.456211763034585,3.2165367362828863,6.918026701775874,17.11994048512765,1.2215621376137737,12.473674672788597,-1.0572495924056002,-1.3867743185604655,-1.6105118489859949,-0.20029756540988763,-1.3023105125228605,0.1428571428571429
11,0,0,1,1,1,1,1,1,0.0,3,23,R_1BQOs3xU6cpI7T0,1.104897048742107,2.8812644637650546,1.715854134709469,2.9060877702359265,7.154434653777854,21.721395263524574,1.4393304587168594,5.968939244395255,-1.3357002678991108,-1.2087941446768713,-0.40084242035415807,0.19970301495503093,1.019119951853529,-0.14285714285714285
12,0,0,1,1,1,1,1,1,0.0,4,50,R_1QhIporaJGSa0WL,1.1964597709677771,2.8812644637650546,2.456211763034585,2.274311373358427,5.110938100566356,17.11994048512765,1.6805741806285228,12.00411057510704,0.24590523221691607,0.16560378230429856,-0.8030620058618905,0.19970301495503137,-0.9813305223071745,0.4285714285714286
13,0,0,1,1,1,1,1,1,1.0,4,28,R_3HqpRL6tYEk2uNR,1.0551501233612424,3.068222128002145,2.2149970591657238,1.624986438268501,3.6615416040543174,13.10569940474861,2.3029441721999646,10.645547631819227,-0.5157949195796782,0.16560378230429806,-1.408331131531969,-0.8040962327838518,-1.302310512522861,0.8571428571428571
14,0,0,1,1,1,1,1,1,0.0,4,28,R_3ikAhEA2TLVrKlv,1.1519081138191523,3.6266230917574833,2.692628479688493,2.274311373358427,4.896030288248067,14.641986253846206,1.5876317434430245,12.473674672788597,-3.0887489661595433,-2.658487469849889,-1.8128769511844447,-0.8040962327838513,-1.6210478689718169,0.5714285714285714
15,0,0,1,0,0,0,1,0,0.0,4,40,R_VVhEv2hbmXi3LJn,0.9460872639402669,2.128696652136252,1.715854134709469,3.7270208682729944,3.8605427780338806,16.27063884333422,1.6805741806285228,12.473674672788597,-0.5157949195796782,0.3292953432639633,-0.40084242035415807,0.19970301495503137,0.6757791887003252,0.14285714285714285
16,0,0,1,1,1,1,1,1,1.0,3,21,R_4THnWQAD1Hc0wfv,1.1519081138191523,2.8812644637650546,2.2149970591657238,2.8018449486185197,3.8605427780338806,8.439583361892483,2.0146656269548147,9.362415433477414,-1.6186217448856415,-0.16773855007924063,-1.6105118489859949,-1.0061365202588621,-1.3023105125228605,0.5714285714285714
17,0,0,1,1,1,1,0,1,1.0,4,48,R_3GcxBtYrNi9kgJ8,0.9460872639402669,2.6938592785379654,1.715854134709469,1.1797266219324283,4.473907703591112,6.255078375416221,1.9757420174069533,5.968939244395255,-0.7837466855979335,-0.6818471310831213,-1.004586448599419,-0.8040962327838518,-1.937837383288336,0.5714285714285714
18,0,0,1,1,1,1,1,1,0.0,4,36,R_3fCXVmnNnuLqlTm,1.3895985323213185,3.254754592233987,2.924701864651755,1.843663185286638,6.452054075666512,20.75335721368444,1.812334030167421,7.769468390085753,-0.7837466855979335,-0.6818471310831216,0.3991598749260554,0.0,1.019119951853529,0.8571428571428571
19,0,0,1,1,0,0,1,0,1.0,4,32,R_5AveqRm6pYT5BYZ,0.9460872639402669,1.9392231704675107,1.9684357263364136,2.5921409603192904,4.896030288248067,14.641986253846206,1.3336322900623307,11.090036022993734,-1.9056267819259636,-0.6818471310831213,-0.80306200586189,0.0,1.019119951853529,0.42857142857142855
20,0,0,1,0,1,1,1,1,1.0,7,31,R_DDaYPG5Vn5sJ1i9,1.5173101496067463,3.6266230917574833,2.924701864651755,1.9521253040683868,4.473907703591112,9.039665148559125,1.769364177537752,5.308410185498585,-0.5157949195796782,-0.16773855007924104,-1.4083311315319695,-1.0061365202588626,-0.6577107892839249,0.5714285714285714
