Q6_1,Q6_2,Q6_3,Q8_1,Q8_2,Q8_3,Q10_1,Q10_2,Q10_3,Q12_1,Q12_2,Q12_3,Q14_1,Q14_2,Q14_3,Q16_1,Q16_2,Q16_3,Q18_1,Q18_2,Q18_3,survey_code,Q21
a,b,a_and_b,c,d,c_and_d,b,d,b_or_d,c,a_and_c,a,c,b,c_or_b,a,b,a_or_b,d,a,a_or_d,survey_code,What does Liz enjoy doing?
2,1,3,1,2,3,3,2,1,2,3,1,2,3,1,2,3,1,3,1,2,43652007,
2,1,3,1,2,3,3,2,1,3,1,2,2,3,1,3,1,2,3,1,2,10518774,
3,1,2,1,3,2,2,3,1,2,3,1,1,2,3,3,1,2,3,1,2,55928357,
2,1,3,1,2,3,2,3,1,1,3,2,3,2,1,3,2,1,3,2,1,66934953,
3,1,2,1,3,2,2,1,3,3,1,2,3,2,1,3,1,2,3,2,1,68882428,
3,1,2,1,3,2,3,2,1,2,3,1,2,3,1,2,3,1,3,2,1,17906894,
3,1,2,2,1,3,3,2,1,2,1,3,2,3,1,2,3,1,3,2,1,74120499,
2,1,3,1,2,3,2,3,1,3,1,2,2,3,1,1,2,3,3,2,1,41268573,
2,1,3,1,2,3,1,3,2,2,3,1,1,3,2,3,1,2,2,1,3,84583563,
3,1,2,1,3,2,2,3,1,3,2,1,1,3,2,3,1,2,3,2,1,51052280,
2,1,3,1,3,2,1,3,2,3,2,1,3,2,1,3,2,1,3,2,1,61812740,
3,1,2,1,3,2,3,2,1,1,3,2,2,3,1,3,2,1,3,1,2,17619496,
1,2,3,1,3,2,3,2,1,1,3,2,2,3,1,1,2,3,,,,29605498,
1,3,2,1,2,3,3,2,1,3,2,1,1,2,3,1,2,3,1,2,3,34178846,
2,1,3,1,2,3,1,2,3,2,3,1,2,1,3,1,2,3,2,1,3,87594885,
2,1,3,1,3,2,1,2,3,3,2,1,1,3,2,1,3,2,2,1,3,78025378,
3,1,2,1,3,2,1,3,2,1,3,2,1,3,2,3,1,2,3,1,2,72626189,
3,1,2,1,3,2,1,3,2,2,3,1,2,3,1,3,1,2,3,1,2,94390376,
1,3,2,3,1,2,1,2,3,3,1,2,1,3,2,2,3,1,3,1,2,75979750,
3,1,2,2,3,1,2,3,1,1,3,2,2,3,1,2,1,3,2,3,1,43170132,
3,1,2,2,1,3,2,3,1,2,1,3,2,3,1,2,1,3,2,3,1,43405127,
2,3,1,1,2,3,1,3,2,2,3,1,2,3,1,3,2,1,3,2,1,66031093,
2,1,3,1,2,3,1,2,3,3,1,2,3,1,2,3,2,1,2,3,1,49454434,
2,3,1,2,3,1,1,2,3,1,2,3,2,3,1,3,1,2,2,1,3,75433384,
2,1,3,1,2,3,2,3,1,2,3,1,1,3,2,2,3,1,3,2,1,80614402,
3,1,2,1,2,3,1,3,2,2,3,1,2,3,1,3,1,2,3,2,1,19757199,
1,2,3,2,3,1,1,3,2,2,1,3,3,1,2,3,1,2,1,2,3,76494826,
2,1,3,2,1,3,2,3,1,3,2,1,2,1,3,2,1,3,1,3,2,48693068,
3,1,2,1,3,2,2,3,1,2,1,3,1,3,2,3,1,2,3,2,1,42027206,
2,1,3,1,2,3,1,2,3,2,3,1,3,2,1,2,1,3,3,1,2,13577398,
3,1,2,1,2,3,2,3,1,3,2,1,2,1,3,3,1,2,2,3,1,27167001,
3,1,2,1,3,2,1,2,3,1,2,3,1,3,2,3,1,2,3,1,2,11551502,
3,2,1,1,2,3,2,3,1,1,3,2,2,3,1,3,2,1,3,2,1,21422421,
3,1,2,1,3,2,1,3,2,1,3,2,2,3,1,3,1,2,3,1,2,44150319,
2,1,3,1,2,3,,,,1,3,2,2,3,1,2,1,3,3,2,1,93370411,
3,1,2,1,3,2,2,3,1,1,2,3,1,3,2,,,,2,3,1,74199071,
3,2,1,1,2,3,2,3,1,1,3,2,1,2,3,3,1,2,3,1,2,27888976,
3,1,2,1,3,2,1,3,2,3,2,1,1,3,2,2,1,3,2,1,3,96953779,
3,1,2,1,2,3,1,3,2,3,2,1,2,1,3,3,1,2,1,2,3,32271138,
2,1,3,1,2,3,2,3,1,3,2,1,2,3,1,2,1,3,3,1,2,96727318,
3,2,1,1,3,2,1,2,3,2,3,1,,,,2,1,3,3,2,1,62236851,
3,1,2,1,3,2,1,3,2,1,3,2,3,2,1,,,,2,1,3,39954380,
