,Q10_Page Submit,Q12_Page Submit,Q17_Page Submit,Q15_Page Submit,Q19_Page Submit,Q21_Page Submit,Q23_Page Submit
0,4.046,10.107,12.608,14.633,2.466,6.228,8.179
1,22.027,22.298,16.329,14.229,11.762,12.773,7.475
2,34.957,12.499,24.818,20.458,8.873,15.099,8.405
3,48.896,43.332,21.925,38.531,14.818,23.042,14.916
4,5.896,24.13,1.888,4.176,2.409,64.363,4.223
5,68.523,43.27,26.678,46.768,19.545,26.855,24.063
6,60.63,23.658,25.846,33.693,12.266,43.989,14.915
7,30.978,6.839,23.427,20.545,10.876,22.794,9.638
8,59.495,37.092,21.945,35.273,19.38,31.059,25.416
9,75.905,39.463,32.427,51.962,30.489,20.114,23.833
10,118.042,45.665,25.915,42.781,30.763,34.932,25.894
11,76.172,143.901,24.662,76.395,13.542,63.37,24.3
12,77.807,64.718,50.429,64.22,14.886,62.373,21.794
13,20.364,25.96,17.37,23.718,24.787,20.454,13.333
14,52.553,35.801,14.233,55.093,19.934,17.949,19.995
15,51.057,38.287,30.363,70.501,17.642,26.736,15.022
16,126.46,25.142,13.338,13.84,9.324,18.689,13.943
17,66.383,33.227,49.233,68.561,30.566,30.299,26.731
18,66.579,17.199,15.907,41.289,17.756,6.264,7.272
19,79.718,44.215,74.3,104.202,85.323,54.579,45.571
20,66.52,30.025,15.181,105.566,8.737,12.222,17.509
21,43.488,22.095,14.305,35.061,10.165,20.398,19.801
22,9.036,9.055,22.41,20.019,38.184,25.189,11.752
23,57.703,26.542,26.31,42.98,15.659,21.564,36.805
24,53.593,33.492,22.276,45.153,30.741,36.4,20.452
25,39.943,12.734,4.751,72.049,3.452,3.968,3.61
26,64.736,90.854,7.019,10.551,18.669,26.142,25.725
27,124.581,35.612,19.233,77.843,10.225,15.492,10.502
28,46.883,19.902,53.578,196.179,36.592,46.982,32.083
29,19.66,35.442,37.293,43.0,54.135,29.508,30.254
30,92.884,66.909,26.322,59.048,25.718,45.726,53.607
31,80.058,47.759,39.815,76.151,40.822,43.156,33.046
32,26.4,14.363,14.632,17.454,9.031,48.308,5.52
33,65.535,34.935,36.171,32.786,47.037,19.714,14.828
34,44.063,21.961,18.558,25.773,19.634,30.469,19.204
35,9.156,24.086,21.568,26.892,14.57,29.133,17.488
36,50.792,30.274,10.258,37.298,9.705,26.199,27.014
37,62.915,21.774,28.743,33.919,14.07,13.364,12.231
0,45.207,15.129,16.219,27.407,12.449,9.196,10.433
1,3.806,4.936,2.606,1.686,2.339,2.577,2.636
2,40.151,34.872,32.543,40.272,33.006,36.238,23.346
3,59.532,25.739,27.854,32.693,32.175,30.26,9.496
4,66.183,50.612,46.364,47.998,19.319,36.416,28.317
5,43.853,44.298,43.824,49.84,32.19,40.444,26.213
6,94.923,49.645,34.891,43.262,27.828,21.996,15.856
7,27.405,13.411,9.556,18.006,11.638,10.665,11.336
8,7.013,18.893,16.074,15.276,8.955,14.638,12.69
9,75.21,28.052,33.755,52.871,14.534,48.001,20.932
10,74.901,44.219,36.39,31.92,41.499,35.954,19.565
11,44.604,16.83,23.176,30.849,7.915,14.792,4.046
12,90.501,48.852,30.374,64.012,35.108,21.9,36.948
13,49.204,39.054,24.539,49.0,32.624,38.979,22.316
14,35.83,18.75,18.689,25.281,16.72,15.389,9.852
15,58.158,13.692,66.401,39.085,12.744,61.477,19.893
16,937.843,37.128,35.461,35.449,29.877,41.445,24.357
17,33.932,43.877,22.97,35.456,26.728,30.116,13.662
18,12.266,3.991,13.262,21.597,80.429,18.887,148.669
19,53.661,38.415,28.363,29.941,19.843,18.307,14.744
20,45.596,39.535,22.18,34.44,35.641,18.58,22.162
21,83.441,31.303,22.638,27.459,18.055,42.89,21.511
22,41.341,36.846,32.378,36.051,25.158,20.489,29.04
23,59.334,49.013,38.526,29.56,26.221,11.931,22.349
24,31.673,13.938,27.744,24.28,13.983,23.766,13.513
25,41.596,30.885,30.009,46.156,28.704,17.321,19.174
26,50.289,36.252,7.938,53.991,9.638,17.296,35.18
27,29.949,27.651,39.072,24.257,18.269,25.893,14.957
28,86.283,37.723,36.547,64.292,40.945,86.453,25.59
29,67.523,51.706,30.081,60.9,27.799,30.372,29.554
30,112.317,82.51,58.693,83.281,31.944,25.082,14.669
31,58.457,21.943,36.515,68.277,21.674,31.017,27.112
32,54.092,57.344,61.934,38.713,27.983,28.854,25.326
33,103.625,69.696,84.797,93.74,67.776,71.179,62.024
34,87.001,73.399,26.521,121.683,27.916,73.662,24.469
35,26.371,28.53,26.327,72.112,30.571,36.51,18.237
36,104.546,54.139,71.426,69.373,204.039,49.503,57.926
37,156.331,197.385,251.721,42.679,156.842,112.755,80.153
38,49.779,57.873,40.105,77.558,27.12,31.823,16.856
39,38.911,45.154,27.382,35.683,21.564,14.647,20.139
