,Q10_Page Submit,Q12_Page Submit,Q19_Page Submit,Q23_Page Submit,Q15_Page Submit,Q17_Page Submit,Q21_Page Submit
2,17.387,26.861,8.342,13.129,23.476,11.35,6.837
4,11.847,10.488,7.674,3.014,10.123,8.199,2.764
5,5.05,4.516,5.119,3.433,10.614,5.805,5.854
7,5.283,5.075,2.807,4.618,3.179,6.466,6.689
9,9.999,18.57,5.513,8.326,14.365,4.978,8.064
10,23.428,22.673,16.608,18.483,51.8,26.499,16.174
11,16.575,34.823,13.407,11.731,37.884,20.869,8.197
12,32.241,7.27,10.414,7.182,9.053,4.338,23.766
13,74.259,8.206,3.491,77.184,3.526,3.439,5.241
14,46.077,37.463,16.545,15.26,25.565,17.234,15.725
17,51.272,34.68,11.228,15.612,24.942,21.016,18.089
19,10.965,3.835,4.531,3.284,10.179,11.099,6.925
20,32.475,34.751,10.474,23.023,15.056,19.25,14.94
22,54.506,15.127,44.855,9.857,29.932,26.359,18.126
23,38.235,37.04,13.158,16.776,25.88,19.924,23.418
24,40.318,23.045,19.191,26.175,23.064,32.017,14.926
25,38.34,25.892,16.801,38.089,42.032,17.883,29.475
27,47.707,72.178,25.718,14.41,14.733,27.73,13.308
29,42.184,29.92,10.362,16.537,38.009,60.96,15.358
30,35.207,30.389,10.809,25.249,27.628,49.116,10.855
31,39.787,35.477,20.682,13.773,17.1,22.21,13.718
32,42.165,15.615,12.102,19.06,33.626,22.692,14.836
33,10.112,8.034,7.04,4.4,8.697,3.804,4.751
34,61.984,36.336,5.176,4.62,8.621,6.413,4.753
37,34.821,58.346,26.294,20.081,34.178,18.848,13.707
38,85.352,23.172,14.527,16.069,26.702,24.075,15.724
39,53.081,44.282,35.131,24.83,27.08,37.168,31.546
40,51.585,50.654,19.256,16.324,31.873,32.235,16.818
42,21.701,169.349,3.865,3.358,3.67,4.474,3.053
43,44.992,42.227,19.138,22.433,26.739,45.609,24.916
44,23.78,44.773,17.866,19.981,58.287,27.285,16.422
45,59.724,32.612,24.632,22.287,29.549,40.443,18.784
47,40.987,25.083,30.751,26.125,52.472,31.311,30.535
48,90.694,34.883,31.039,7.633,22.22,53.59,12.307
50,33.16,44.375,8.637,12.429,43.192,27.111,16.479
52,89.358,34.43,20.318,23.368,46.761,39.202,22.579
53,43.297,149.914,15.095,14.641,28.76,36.496,23.98
54,65.004,45.034,41.694,12.874,30.745,36.801,20.187
56,88.393,62.065,14.267,8.45,127.953,39.072,14.473
57,70.1,62.062,24.034,21.551,43.356,50.074,22.384
58,135.898,53.893,15.493,19.922,18.348,19.542,23.981
59,15.107,20.883,11.844,10.375,12.005,10.059,12.274
60,16.017,7.534,4.856,4.996,3.419,5.838,2.604
61,49.885,17.254,20.339,10.104,33.142,7.346,12.8
62,10.169,9.368,8.029,6.907,6.115,12.148,5.039
63,54.555,53.178,18.794,26.176,43.829,57.196,31.357
64,17.956,23.156,11.071,5.152,12.417,9.234,22.053
65,48.02,14.881,12.661,36.487,13.136,17.668,16.789
66,67.002,57.953,39.219,5.36,36.971,64.844,45.902
67,41.696,54.794,22.398,12.34,133.582,23.77,26.832
68,5.368,5.242,5.779,5.38,9.362,2.667,2.491
70,92.667,54.061,63.871,51.589,78.878,23.119,11.298
71,28.473,79.449,21.318,16.901,34.345,19.761,16.359
72,69.356,32.168,23.421,14.134,49.734,48.993,23.322
74,43.396,30.94,12.426,19.867,13.17,17.138,13.534
75,22.182,51.135,14.211,35.611,4.332,5.839,3.592
78,7.261,16.567,6.187,6.633,10.195,8.676,6.005
79,82.274,52.969,27.946,35.385,79.085,68.87,54.731
80,18.615,5.271,13.104,3.147,5.279,10.375,4.553
81,44.727,18.955,8.003,11.44,120.567,39.807,19.016
82,46.066,12.861,11.915,11.248,10.591,6.31,10.978
83,11.352,9.392,7.959,4.496,8.714,5.951,5.385
84,140.41,107.68,45.179,33.023,44.187,45.214,8.236
85,20.144,11.631,11.216,11.499,14.412,8.934,4.398
86,220.156,4.5,7.738,19.484,24.18,34.958,10.043
87,83.263,106.134,9.03,8.6,41.874,30.833,9.447
88,274.416,17.748,15.518,16.212,31.955,26.555,8.81
89,72.101,21.602,16.954,10.801,27.151,27.701,14.933
90,62.512,148.595,36.74,14.408,95.019,55.832,24.579
92,13.025,15.838,16.643,21.077,22.943,43.097,15.132
93,4.34,2.695,3.093,3.33,3.274,2.687,4.666
94,90.987,27.381,23.469,17.32,53.533,47.683,26.512
95,11.61,9.758,22.451,11.203,19.906,5.949,20.128
98,51.782,28.701,66.663,21.65,19.623,26.377,26.775
99,62.229,15.472,16.641,15.209,34.082,18.07,30.929
100,24.643,59.33,20.895,30.748,4.499,27.611,27.919
101,9.075,309.07,3.645,113.308,3.308,5.917,7.358
102,14.828,14.75,6.525,19.812,11.928,20.161,14.378
103,6.868,13.513,4.344,5.88,4.111,4.147,4.13
104,116.807,36.014,12.28,19.737,37.971,45.597,2.56
105,7.871,9.384,8.78,3.032,24.072,2.838,3.97
106,14.282,15.671,10.377,22.062,7.36,18.673,11.869
108,23.195,4.269,4.288,4.558,6.812,7.463,3.552
109,14.484,10.622,5.469,8.281,5.637,7.098,5.49
110,131.086,46.337,37.19,34.593,104.007,35.734,20.283
111,44.096,33.027,18.013,17.791,43.793,18.705,16.074
112,95.195,111.453,96.865,105.294,130.315,114.924,65.115
114,62.359,6.474,82.903,5.152,26.389,17.573,8.072
115,61.847,113.756,26.247,13.278,76.862,11.468,9.496
116,24.577,41.279,6.74,12.776,13.911,4.73,29.793
