StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_1,Q9_2,Q9_3,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11_1,Q11_2,Q11_3,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14_1,Q14_2,Q14_3,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16_1,Q16_2,Q16_3,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18_1,Q18_2,Q18_3,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20_1,Q20_2,Q20_3,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22_1,Q22_2,Q22_3,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma is a manager.","Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma likes to exercise.","Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma is a manager and likes to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Liz is a programmer.","Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Lis likes to paint.","Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Liz is a programmer and likes to paint.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Rank the options in descending order from most to least probable. - Take a spinning class, because Emma likes to exercise.","Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Rank the options in descending order from most to least probable. - Take a realistic painting class, because Liz like to paint.","Emma and Liz want to do an extracurricular activity together.For each statement, please move the horizontal slider to represent how likely it is they will choose this activity and why.
Rank the options in descending order from most to least probable. - Take a spinning class or a realistic painting class.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Rank the options in descending order from most to least probable. - Liz, because she is a programmer.","The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Rank the options in descending order from most to least probable. - Emma, because she is a manager and Liz, because she is a programmer.","The Start-up where Liz and Emma's work was recently bought by another company. The new CEO is dismissing many employees. Who do you think the new CEO will not dismiss?
Rank the options in descending order from most to least probable. - Emma, because she is a manager.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma came up with an idea for a new business.
Rank the options in descending order from most to least probable. - A mobile App because of Liz’s programming skills.","Liz and Emma came up with an idea for a new business.
Rank the options in descending order from most to least probable. - A fitness business because Emma likes to exercise.","Liz and Emma came up with an idea for a new business.
Rank the options in descending order from most to least probable. - A mobile App because of Liz’s programming skills or a fitness business because Emma likes to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - For her work, as a manager.","Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - To exercise.","Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - For her work, as a manager or to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz have been best friends for years. How do you think they met?

Rank the options in descending order from most to least probable. - Emma bought a painting from Liz at an art fair.","Emma and Liz have been best friends for years. How do you think they met?

Rank the options in descending order from most to least probable. - They met when Emma hired Liz for her team.","Emma and Liz have been best friends for years. How do you think they met?

Rank the options in descending order from most to least probable. - They met when Emma hired Liz for her team or when Emma bought a painting from Liz at an art fair.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_3""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
2019-04-08 00:39:53,2019-04-08 00:42:22,0,73.184.82.148,100,149,1,2019-04-08 00:42:22,R_baetuFXAx84oqSB,,,,,34.0240020751953125,-84.23960113525390625,anonymous,EN,1,2,31,5,3,2,3,4,4,3,2,5,4,3,4,4,3,2,3,3,2,3,3,4,4,3,2,2,4,4,3,2,3,3,5,4,3,2,2,3,3,4,4,3,2,1,2,3,0.921,21.477,22.214,100,3,1,2,0.603,16.972,17.387,10,1,3,2,1.177,25.77,26.861,12,3,2,3,1,0.919,22.826,23.476,7,3,1,2,0.684,10.967,11.35,8,1,3,2,6.577,8.028,8.342,7,3,1,2,5.274,6.499,6.837,7,2,3,1,8.308,12.36,13.129,7,45997260
2019-04-08 00:39:39,2019-04-08 00:42:22,0,190.112.195.151,100,162,1,2019-04-08 00:42:22,R_12E9PzqUEXaDvcl,,,,,25.763397216796875,-80.1885986328125,anonymous,EN,1,1,32,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,5,4,3,2,1,2,3,4,2.046,38.784,43.964,48,1,3,2,1.778,2.829,4.794,3,1,2,3,1.241,2.266,3.996,3,4,1,3,2,1.443,2.515,5.497,3,2,1,3,1.149,5.693,10.128,5,2,1,3,7.621,9.382,10.586,4,1,3,2,2.011,3.292,4.799,3,2,,3,2.464,6.64,8.319,6,79911649
2019-04-08 00:39:45,2019-04-08 00:42:51,0,106.51.153.173,100,185,1,2019-04-08 00:42:53,R_rln2L8FmmJUHhBv,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,1,2,50,5,4,3,5,4,4,3,2,2,5,3,3,4,5,4,1,3,4,4,5,4,3,4,2,3,4,3,5,4,3,4,4,3,5,5,4,3,4,4,5,4,4,3,2,3,11.134,66.455,66.922,51,3,2,1,7.03,11.245,11.847,4,1,2,3,2.4,10.12,10.488,7,3,1,2,3,2.753,9.554,10.123,8,1,3,2,2.5,7.859,8.199,5,3,1,2,2.128,6.934,7.674,6,3,2,1,1.372,2.173,2.764,3,2,3,1,1.133,2.462,3.014,3,81015512
2019-04-08 00:39:43,2019-04-08 00:42:53,0,106.51.153.173,100,189,1,2019-04-08 00:42:54,R_XvIV9R0KGJJpoxr,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,1,2,36,5,4,3,4,4,3,2,3,4,4,3,4,3,2,3,3,4,4,3,4,4,3,2,3,4,3,3,4,3,3,4,4,2,3,3,4,3,4,3,3,2,3,3,4,4,1.509,30.988,32.268,45,2,3,1,1.767,3.173,5.05,4,3,1,2,1.054,2.801,4.516,5,3,2,3,1,5.934,7.212,10.614,4,1,3,2,3.588,4.869,5.805,4,2,3,1,1.226,3.794,5.119,5,3,1,2,1.891,3.625,5.854,5,2,3,1,1.806,2.728,3.433,3,68418049
2019-04-08 00:40:32,2019-04-08 00:42:55,0,161.129.69.5,100,142,1,2019-04-08 00:42:55,R_2YK69XQyLDa22LH,,,,,42.0048065185546875,-87.99539947509765625,anonymous,EN,1,2,35,6,4,5,4,3,4,5,4,5,4,5,4,5,4,3,4,5,4,5,4,5,4,5,5,4,5,4,5,5,4,3,4,5,4,5,4,3,4,5,4,5,4,5,4,5,1.562,36.666,53.814,46,3,1,2,2.569,13.514,15.974,6,1,2,3,1.43,2.262,7.898,3,1,3,1,2,1.449,3.322,6.388,4,2,3,1,1.24,3.336,4.591,4,2,1,3,1.319,2.135,3.315,3,2,3,1,1.397,2.581,4.901,4,3,1,2,4.149,5.15,8.754,3,21562747
2019-04-08 00:40:00,2019-04-08 00:42:58,0,195.206.104.74,100,178,1,2019-04-08 00:42:59,R_3j0OYvbGJZB7dGL,,,,,34.054901123046875,-118.2577972412109375,anonymous,EN,1,1,30,6,5,4,4,4,5,3,4,5,4,5,4,3,5,4,5,4,5,4,5,4,5,4,5,4,5,4,3,4,5,5,4,3,4,5,4,3,5,4,5,4,5,4,5,5,1.666,47.649,48.812,45,3,1,2,1.561,2.649,5.283,3,2,3,1,1.291,2.891,5.075,4,3,2,3,1,1.121,1.784,3.179,3,3,2,1,1.16,5.68,6.466,5,1,3,2,0.994,1.93,2.807,3,2,1,3,4.638,5.548,6.689,3,2,1,3,1.226,2.394,4.618,4,63566978
2019-04-08 00:40:17,2019-04-08 00:43:06,0,167.160.113.96,100,169,1,2019-04-08 00:43:07,R_3n1QEv1LL8ZNVgk,,,,,25.7805938720703125,-80.1826019287109375,anonymous,EN,1,2,40,6,3,4,4,5,4,3,4,4,5,4,5,4,3,4,5,4,5,4,5,4,3,4,5,3,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,2.219,30.665,69.782,46,1,2,3,13.034,14.85,15.926,5,1,3,2,1.137,4.304,4.982,7,1,2,1,3,1.815,3.493,4.525,5,3,1,2,1.365,2.309,3.651,3,1,3,2,19.45,20.099,21.166,3,3,2,1,1.227,2.826,3.705,5,1,3,2,1.201,2.785,3.668,4,40853344
2019-04-08 00:39:56,2019-04-08 00:43:07,0,106.51.153.173,100,191,1,2019-04-08 00:43:08,R_3FKCMfpufnTabXs,,,,,13.0843048095703125,80.280487060546875,anonymous,EN,1,2,50,5,5,4,3,4,5,4,3,5,4,3,4,5,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,4,3,4,3,4,2,4,3,4,3,4,5,4,3,3,5,4,1.728,51.999,62.636,48,1,2,3,7.223,8.869,9.999,4,3,2,1,16.906,17.563,18.57,3,3,2,3,1,12.037,13.085,14.365,3,2,3,1,1.218,3.5,4.978,6,2,3,1,1.625,2.985,5.513,3,1,3,2,1.694,6.727,8.064,4,1,3,2,1.875,7.028,8.326,6,31257861
