,Q9,Q11,Q16,Q14,Q18,Q20,Q22,side,rationality,Gender,Age,Education,Extroversion,Extroversion,Agreeableness,Agreeableness,Conscientiousness,Conscientiousness,Neuroticism,Neuroticism,Openness,Openness
0,1,1,1,1,1,0,1,right,rational,2,33,5,3.0,3.0,2.25,2.25,2.25,2.25,2.6666666666666665,2.6666666666666665,3.5,3.5
1,1,1,1,0,1,0,1,right,rational,1,31,4,2.0,2.0,3.75,3.75,2.75,2.75,2.3333333333333335,2.3333333333333335,2.5,2.5
2,1,1,0,0,1,0,1,right,rational,1,40,2,1.3333333333333333,1.3333333333333333,4.5,4.5,5.0,5.0,1.0,1.0,3.5,3.5
3,0,1,0,0,1,0,1,right,rational,1,61,3,4.0,4.0,5.0,5.0,4.25,4.25,1.6666666666666667,1.6666666666666667,4.0,4.0
4,1,1,0,1,1,1,1,right,rational,1,32,5,2.3333333333333335,2.3333333333333335,2.25,2.25,2.0,2.0,2.0,2.0,2.0,2.0
5,0,1,0,1,0,0,1,right,rational,2,42,5,1.3333333333333333,1.3333333333333333,3.5,3.5,2.75,2.75,2.0,2.0,2.0,2.0
6,1,1,1,1,0,1,1,right,rational,2,24,5,1.3333333333333333,1.3333333333333333,4.0,4.0,3.25,3.25,2.6666666666666665,2.6666666666666665,2.5,2.5
7,1,1,0,1,0,1,1,right,rational,1,56,5,1.3333333333333333,1.3333333333333333,4.25,4.25,4.0,4.0,3.0,3.0,3.0,3.0
8,1,1,1,1,0,0,1,right,rational,1,42,6,2.0,2.0,3.5,3.5,2.0,2.0,2.0,2.0,3.0,3.0
9,1,1,1,1,0,1,0,right,rational,2,56,6,3.3333333333333335,3.3333333333333335,3.75,3.75,3.5,3.5,2.0,2.0,2.5,2.5
10,0,1,1,1,0,1,1,right,rational,2,44,3,2.0,2.0,4.75,4.75,4.5,4.5,1.6666666666666667,1.6666666666666667,3.5,3.5
11,0,1,1,0,0,0,1,right,rational,1,52,4,1.6666666666666667,1.6666666666666667,4.75,4.75,4.25,4.25,2.0,2.0,3.0,3.0
12,0,0,1,1,0,0,1,right,rational,2,27,3,1.3333333333333333,1.3333333333333333,3.75,3.75,4.0,4.0,2.0,2.0,3.5,3.5
13,1,1,0,0,0,1,1,right,rational,2,44,2,1.6666666666666667,1.6666666666666667,3.25,3.25,3.75,3.75,1.0,1.0,2.0,2.0
14,0,1,1,1,1,1,1,right,rational,2,63,6,2.6666666666666665,2.6666666666666665,4.75,4.75,4.5,4.5,2.0,2.0,4.0,4.0
15,1,1,1,1,1,0,1,right,rational,2,30,2,1.0,1.0,3.5,3.5,3.25,3.25,2.0,2.0,2.0,2.0
16,0,0,0,1,1,0,0,right,rational,2,46,2,1.0,1.0,3.25,3.25,2.0,2.0,3.0,3.0,1.5,1.5
17,0,1,1,1,1,0,1,right,rational,2,34,2,2.3333333333333335,2.3333333333333335,4.75,4.75,5.0,5.0,1.0,1.0,2.5,2.5
18,1,1,0,1,1,1,1,right,rational,1,31,4,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0
19,1,1,1,1,1,1,1,right,rational,2,32,6,4.333333333333333,4.333333333333333,5.0,5.0,5.0,5.0,1.0,1.0,3.0,3.0
