,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Gender,Age,Education,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code,rational_position,irrational_position
0,13/01/2019 4:57,13/01/2019 5:00,0,138.75.69.205,100,134,1,13/01/2019 5:00,R_zdLxadXhnJfU7eh,,,,,1.293106079,103.8558044,anonymous,EN,1,2,33,5,2,2,3,1,4,2,2,4,4,3,4,4,3,1,5,5,2,1,4,1,5,1,5,3,2,3,4,3,1,3,2,1,2,3,1,1,5,3,3,5,4,4,5,2,0,0,4.641,0,r,1.826,2.93,4.046,3,r,6.312,9.32,10.107,3,2,r,4.986,14.331,14.633,4,r,4.269,6.422,12.608,2,r,0,0,2.466,0,di,5.44,5.44,6.228,1,r,2.072,7.528,8.179,3,98504064,r,l
1,13/01/2019 4:56,13/01/2019 5:01,0,86.156.74.122,100,291,1,13/01/2019 5:01,R_3PmX5mAgndTnP0a,,,,,52.24630737,0.711105347,anonymous,EN,1,1,31,4,2,3,4,3,3,4,4,2,3,5,2,2,4,2,5,3,4,4,3,4,4,4,3,4,3,3,2,4,3,4,4,5,4,4,5,3,2,3,4,4,2,4,4,5,8.174,126.603,128.067,125,r,8.101,21.49,22.027,6,r,6.802,21.4,22.298,5,2,di,4.693,13.401,14.229,7,r,6.879,15.701,16.329,8,r,7.203,10.862,11.762,5,di,10.254,11.148,12.773,3,r,3.809,6.677,7.475,6,15193134,r,l
2,13/01/2019 4:57,13/01/2019 5:01,0,76.25.160.204,100,264,1,13/01/2019 5:01,R_2WvxPUqltEY5M3v,,,,,38.83880615,-104.8144989,anonymous,EN,1,1,40,2,1,1,5,1,5,5,4,1,5,2,4,1,5,2,2,5,5,1,1,1,5,5,1,5,5,1,2,5,1,2,4,5,5,5,2,2,2,4,1,1,3,5,1,1,1.983,108.358,111.354,73,r,5.302,33.032,34.957,4,r,10.253,11.15,12.499,2,2,di,14.663,14.663,20.458,1,ci,9.789,21.821,24.818,3,r,6.256,6.256,8.873,1,di,13.63,13.63,15.099,1,r,7.103,7.103,8.405,1,54009537,r,l
3,13/01/2019 4:56,13/01/2019 5:03,0,173.187.166.98,100,399,1,13/01/2019 5:03,R_2dv8BOxovyihZ5G,,,,,35.07189941,-92.18319702,anonymous,EN,1,1,61,3,4,1,5,1,4,2,5,3,4,4,3,1,5,1,4,3,4,1,1,4,3,4,2,5,4,4,1,4,1,5,1,4,4,4,3,4,1,4,1,4,1,4,1,3,4.461,130.103,131.411,45,ci,47.767,47.767,48.896,1,r,42.492,42.492,43.332,1,2,di,37.273,37.273,38.531,1,ci,20.623,20.623,21.925,1,r,13.805,13.805,14.818,1,di,21.715,21.715,23.042,1,r,13.883,13.883,14.916,1,71177525,r,l
4,13/01/2019 5:00,13/01/2019 5:03,0,38.132.116.197,100,213,1,13/01/2019 5:03,R_3EtWsRUJRXyQ7q3,,,,,40.74839783,-73.99669647,anonymous,EN,1,1,32,5,2,4,4,3,5,4,3,4,4,4,3,3,5,3,5,4,5,4,3,4,4,4,5,4,5,5,4,3,5,4,3,3,4,4,5,3,4,3,4,3,3,4,3,4,2.2,34.582,38.148,2,r,3.946,3.946,5.896,1,r,1.66,12.634,24.13,7,2,r,2.4,2.4,4.176,1,ci,0.965,0.965,1.888,1,r,1.187,1.581,2.409,2,r,9.301,63.312,64.363,13,r,1.217,3.848,4.223,3,34268928,r,l
5,13/01/2019 4:57,13/01/2019 5:04,0,98.253.59.113,100,404,1,13/01/2019 5:04,R_3hgstYyi7Ih4l0G,,,,,40.06539917,-88.25279999,anonymous,EN,1,2,42,5,1,3,4,3,3,5,4,2,4,4,2,2,4,3,3,2,3,4,3,3,5,4,3,4,3,2,3,3,4,2,4,4,4,4,4,1,2,3,3,2,4,4,4,2,21.366,118.998,120.898,50,ci,67.405,67.405,68.523,1,r,41.647,41.647,43.27,1,2,r,8.897,46.13,46.768,3,ci,25.342,25.342,26.678,1,di,15.514,15.514,19.545,1,di,22.873,22.873,26.855,1,r,22.657,22.657,24.063,1,92819759,r,l
6,13/01/2019 4:57,13/01/2019 5:04,0,68.9.255.208,100,412,1,13/01/2019 5:04,R_2dzN5WzPP7ewwHp,,,,,41.44369507,-71.53420258,anonymous,EN,1,2,24,5,4,3,5,4,4,5,4,2,4,5,4,1,5,2,4,4,4,2,3,4,4,5,2,2,4,1,2,4,4,4,5,5,4,4,5,4,2,4,5,4,2,2,5,3,4.661,177.334,178.498,59,r,59.29,59.29,60.63,1,r,21.076,21.076,23.658,1,2,r,26.921,26.921,33.693,1,r,22.793,22.793,25.846,1,di,10.884,10.884,12.266,1,r,41.606,41.606,43.989,1,r,11.991,11.991,14.915,1,53196102,r,l
7,13/01/2019 5:00,13/01/2019 5:04,0,47.14.137.235,100,259,1,13/01/2019 5:04,R_10Jmf2MmQL2uHCQ,,,,,42.11529541,-71.66439819,anonymous,EN,1,1,56,5,2,1,4,3,4,5,5,2,3,3,3,2,4,4,2,3,5,2,3,3,5,4,2,3,3,2,2,4,3,3,4,5,4,3,4,2,2,4,3,3,2,4,2,2,4.718,89.408,90.777,47,r,1.742,29.232,30.978,2,r,1.317,5.398,6.839,2,2,r,1.559,18.804,20.545,2,ci,1.597,21.628,23.427,2,di,1.676,9.307,10.876,2,r,1.708,21.509,22.794,2,r,1.586,8.343,9.638,2,15498358,r,l
8,13/01/2019 4:58,13/01/2019 5:04,0,106.201.169.185,100,393,1,13/01/2019 5:04,R_3e2JFaGH6Hv3de2,,,,,13.08329773,80.28329468,anonymous,EN,1,1,42,6,2,4,4,2,2,4,4,4,4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,2,2,2,3,4,2,4,4,3,4,4,2,2,4,4,4,2,4,4,2,6.925,78.871,79.676,101,r,57.809,58.772,59.495,3,r,28.487,28.511,37.092,2,2,r,33.643,34.742,35.273,3,r,18.544,21.409,21.945,3,di,17.526,18.907,19.38,3,di,29.991,30.013,31.059,2,r,22.788,24.472,25.416,5,39737946,r,l
9,13/01/2019 4:58,13/01/2019 5:07,0,162.17.237.70,100,542,1,13/01/2019 5:07,R_217kcFViOzhTR73,,,,,39.90739441,-75.00080109,anonymous,EN,1,2,56,6,2,4,4,4,4,2,4,4,4,4,2,1,5,4,3,2,4,2,2,4,4,4,2,4,4,2,2,4,4,4,2,4,4,4,3,2,2,4,2,4,4,4,2,2,4.98,164.312,167.942,101,r,52.995,74.762,75.905,6,r,37.001,37.162,39.463,2,2,r,50.696,50.6,51.962,2,r,30.701,30.701,32.427,2,di,28.837,29.017,30.489,2,r,18.803,18.803,20.114,2,di,22.201,22.201,23.833,2,73524568,r,l
