,Q9,Q11,Q14,Q16,Q18,Q20,Q22,rational_side,irrational_side
0,r,r,r,r,r,di,r,right,right
1,r,r,di,r,r,di,r,right,right
2,r,r,di,ci,r,di,r,right,right
3,ci,r,di,ci,r,di,r,right,right
4,r,r,r,ci,r,r,r,right,right
5,ci,r,r,ci,di,di,r,right,right
6,r,r,r,r,di,r,r,right,right
7,r,r,r,ci,di,r,r,right,right
8,r,r,r,r,di,di,r,right,right
9,r,r,r,r,di,r,di,right,right
10,ci,r,r,r,di,r,r,right,right
11,ci,r,di,r,di,di,r,right,right
12,ci,ci,r,r,di,di,r,right,right
13,r,r,di,ci,di,r,r,right,right
14,ci,r,r,r,r,r,r,right,right
15,r,r,r,r,r,di,r,right,right
16,ci,ci,r,ci,r,di,di,right,right
17,ci,r,r,r,r,di,r,right,right
18,r,r,r,ci,r,r,r,right,right
19,r,r,r,r,r,r,r,right,right
20,ci,r,di,ci,r,r,r,left,left
21,r,r,r,r,di,di,r,left,left
22,r,r,di,r,r,r,r,left,left
23,ci,ci,r,r,r,di,di,left,left
24,r,r,di,r,di,di,di,left,left
25,r,r,r,r,r,r,r,left,left
26,r,r,di,r,r,r,di,left,left
27,r,r,r,r,r,di,r,left,left
28,r,r,r,r,r,di,r,left,left
29,ci,r,r,r,di,di,di,left,left
30,r,r,r,ci,r,r,r,left,left
31,r,r,di,ci,r,di,di,left,left
32,ci,r,di,ci,di,di,di,left,left
33,ci,ci,di,ci,di,r,di,left,left
34,ci,r,r,ci,r,r,r,left,left
35,r,r,r,r,r,di,r,left,left
36,r,ci,di,r,di,di,di,left,left
37,ci,r,r,r,di,di,di,left,left
0,r,r,r,r,r,r,r,right,right
1,r,r,dh,r,r,r,r,right,right
2,r,r,r,r,r,dh,r,right,right
3,ch,r,r,ch,r,r,r,right,right
4,ch,r,r,ch,dh,r,r,right,right
5,r,r,r,r,r,dh,r,right,right
6,r,r,dh,r,dh,dh,r,right,right
7,r,r,r,ch,r,dh,r,right,right
8,r,r,dh,r,r,dh,r,right,right
9,r,ch,r,r,r,dh,r,right,right
10,ch,ch,r,r,dh,r,r,right,right
11,r,r,dh,r,r,r,dh,right,right
12,ch,ch,dh,ch,dh,r,r,right,right
13,r,ch,dh,r,r,r,dh,right,right
14,r,ch,r,r,r,r,r,right,right
15,ch,ch,r,r,r,dh,r,right,right
16,r,ch,r,r,r,dh,dh,right,right
17,r,r,r,r,r,r,r,right,right
18,r,r,r,r,r,dh,r,right,right
19,r,ch,r,ch,r,dh,r,left,left
20,ch,r,dh,r,r,r,r,left,left
21,r,ch,dh,r,dh,dh,dh,left,left
22,r,ch,dh,ch,dh,r,r,left,left
23,r,ch,dh,r,r,r,dh,left,left
24,r,r,r,r,r,dh,r,left,left
25,r,ch,r,r,dh,r,r,left,left
26,ch,ch,dh,ch,r,dh,dh,left,left
27,ch,r,r,ch,r,dh,r,left,left
28,r,r,r,r,r,dh,r,left,left
29,r,r,dh,r,dh,r,r,left,left
30,r,ch,r,r,r,dh,dh,left,left
31,r,r,r,ch,r,r,r,left,left
32,r,ch,dh,ch,dh,dh,dh,left,left
33,r,ch,dh,r,dh,r,r,left,left
34,r,r,dh,r,r,dh,r,left,left
35,r,r,dh,r,dh,dh,r,left,left
36,r,r,dh,r,dh,r,r,left,left
37,r,r,r,r,dh,dh,r,left,left
38,r,r,r,ch,dh,r,r,left,left
39,r,r,r,ch,dh,r,r,left,left
