,Q9,Q11,Q14,Q16,Q18,Q20,Q22
0,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,b,a_or_b","a_or_d,d,a"
1,"a,b,a_and_b","c,d,c_and_d","b,d,b_or_d","c,a,c_and_a","c_or_b,c,b","a,b,a_or_b","a_or_d,d,a"
2,"a,b,a_and_b","c,d,c_and_d","b,d,b_or_d","c_and_a,c,a","c_or_b,c,b","a,b,a_or_b","a_or_d,d,a"
3,"a_and_b,a,b","c,d,c_and_d","b,d,b_or_d","c_and_a,c,a","c_or_b,c,b","a,b,a_or_b","a_or_d,d,a"
4,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c_and_a,c,a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
5,"a_and_b,a,b","c,d,c_and_d","b_or_d,b,d","c_and_a,c,a","c,b,c_or_b","a,b,a_or_b","a_or_d,d,a"
6,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c,b,c_or_b","a_or_b,a,b","a_or_d,d,a"
7,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c_and_a,c,a","c,b,c_or_b","a_or_b,a,b","a_or_d,d,a"
8,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c,b,c_or_b","a,b,a_or_b","a_or_d,d,a"
9,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c,b,c_or_b","a_or_b,a,b","d,a,a_or_d"
10,"a_and_b,a,b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c,b,c_or_b","a_or_b,a,b","a_or_d,d,a"
11,"a_and_b,a,b","c,d,c_and_d","b,d,b_or_d","c,a,c_and_a","c,b,c_or_b","a,b,a_or_b","a_or_d,d,a"
12,"a_and_b,a,b","c_and_d,c,d","b_or_d,b,d","c,a,c_and_a","c,b,c_or_b","a,b,a_or_b","a_or_d,d,a"
13,"a,b,a_and_b","c,d,c_and_d","b,d,b_or_d","c_and_a,c,a","c,b,c_or_b","a_or_b,a,b","a_or_d,d,a"
14,"a_and_b,a,b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
15,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,b,a_or_b","a_or_d,d,a"
16,"a_and_b,a,b","c_and_d,c,d","b_or_d,b,d","c_and_a,c,a","c_or_b,c,b","a,b,a_or_b","d,a,a_or_d"
17,"a_and_b,a,b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a,b,a_or_b","a_or_d,d,a"
18,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c_and_a,c,a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
19,"a,b,a_and_b","c,d,c_and_d","b_or_d,b,d","c,a,c_and_a","c_or_b,c,b","a_or_b,a,b","a_or_d,d,a"
