,Q9_rate,Q11_rate,Q18_rate,Q22_rate,Q14_rate,Q16_rate,Q20_rate
2,1,1,1,2,0,3,3
4,2,0,1,2,4,3,0
5,2,1,2,2,0,3,3
7,1,2,1,0,0,0,4
9,0,2,2,1,0,0,3
10,2,0,1,1,0,0,3
11,1,2,2,0,4,0,3
12,1,1,2,0,0,0,3
13,2,1,2,1,0,3,3
14,1,1,0,0,3,3,3
17,0,2,2,1,0,4,4
19,2,2,2,2,3,0,3
20,1,1,2,0,0,4,4
22,0,0,2,2,0,0,0
23,1,0,2,2,0,4,4
24,2,1,0,1,3,0,0
25,1,1,1,0,0,0,4
27,0,2,1,2,4,4,3
29,1,0,0,0,3,0,3
30,1,1,1,2,0,4,3
31,1,1,1,2,4,4,4
32,0,0,0,0,0,0,4
33,2,0,1,1,3,3,3
34,2,1,0,0,4,0,4
37,1,1,2,1,3,4,3
38,2,2,1,1,4,4,3
39,1,2,2,1,0,0,4
40,1,0,2,2,0,4,4
42,0,0,0,0,0,3,0
43,1,1,2,2,0,0,3
44,1,1,0,2,4,4,4
45,0,1,0,1,3,0,3
47,2,1,2,0,0,3,4
48,0,1,2,1,3,3,4
50,1,0,1,1,4,0,0
52,1,0,0,1,4,3,4
53,1,2,2,2,3,4,0
54,0,0,0,2,3,3,4
56,1,2,2,0,3,3,3
57,2,2,1,1,3,3,0
58,1,0,0,2,0,4,0
59,2,2,1,0,4,4,3
60,2,1,2,1,4,3,3
61,1,0,2,0,0,0,4
62,1,1,2,0,4,4,0
63,2,1,2,1,0,0,3
64,0,1,2,1,3,0,0
65,2,0,1,1,3,3,0
66,1,0,0,0,0,4,0
67,0,0,2,2,0,3,0
68,0,0,0,1,0,0,4
70,0,1,2,2,0,0,3
71,1,1,1,0,0,0,4
72,1,1,1,0,4,4,3
74,1,0,2,1,3,0,3
75,1,1,0,1,4,0,0
78,0,0,1,1,3,3,0
79,2,0,2,0,4,3,4
80,2,0,1,1,0,3,3
81,2,0,1,0,4,4,4
82,2,0,1,0,0,4,0
83,1,2,0,1,0,4,0
84,1,0,0,1,3,3,3
85,1,0,2,0,3,3,0
86,0,0,0,1,0,0,3
87,2,2,2,2,0,0,3
88,2,2,2,1,3,4,3
89,1,1,2,0,3,0,0
90,1,1,2,1,3,4,3
92,1,1,0,1,4,3,4
93,2,2,0,1,4,0,4
94,2,1,2,1,3,3,3
95,0,1,1,2,4,4,4
98,1,1,2,2,3,4,3
99,0,1,2,1,3,0,0
100,1,1,2,1,4,3,0
101,1,2,2,1,3,4,0
102,0,1,2,0,4,3,4
103,2,0,2,0,4,0,4
104,1,1,2,2,3,3,0
105,2,0,0,1,4,3,3
106,0,2,1,1,4,0,4
108,0,0,1,0,3,4,0
109,2,2,0,2,4,3,3
110,1,1,2,1,3,0,3
111,0,0,2,0,0,3,3
112,1,1,2,2,3,4,0
114,0,2,0,1,4,4,0
115,0,2,0,0,4,3,3
116,0,0,2,1,3,0,0
117,1,1,1,1,0,4,3
118,0,0,2,0,3,4,4
120,0,2,0,1,3,4,3
121,2,1,0,2,4,3,4
122,2,2,2,0,4,0,4
123,1,0,1,0,3,0,4
124,1,0,1,2,3,3,4
125,2,0,0,2,4,3,3
126,0,0,1,0,0,4,4
127,1,0,0,2,4,3,0
128,0,0,2,0,0,0,0
131,1,0,2,1,4,3,4
132,2,0,1,0,0,3,3
133,1,1,2,1,3,3,3
134,1,0,0,2,4,3,0
135,1,2,0,0,0,0,4
136,1,2,0,0,4,4,3
137,2,1,1,0,0,4,3
139,2,0,1,2,4,3,4
140,0,0,1,2,0,3,3
141,2,1,0,1,3,3,3
142,0,2,1,0,0,3,3
143,1,1,0,0,4,4,3
144,0,0,2,0,0,0,0
145,1,0,2,0,0,3,0
146,0,0,0,0,0,0,4
147,1,0,2,2,3,4,3
148,1,1,2,0,3,4,4
149,1,0,2,2,0,3,0
150,1,1,1,2,4,4,3
151,1,2,2,0,4,3,4
152,1,0,1,1,3,0,0
153,2,0,2,2,4,4,0
154,0,1,0,0,3,0,3
155,0,2,1,1,0,4,3
157,1,0,0,1,4,4,3
158,0,0,2,0,0,4,4
159,0,0,2,2,3,3,0
160,1,1,2,0,3,0,3
161,0,0,1,1,3,3,4
162,0,1,0,1,0,4,0
163,2,2,0,0,4,4,0
164,0,2,0,0,0,4,3
165,2,2,1,2,4,3,4
