StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q7_11,Q7_12,Q7_13,Q7_14,Q7_15,Q7_16,Q7_17,Q7_18,Q7_19,Q7_20,Q7_21,Q7_22,Q7_23,Q7_24,Q7_25,Q7_26,Q7_27,Q7_28,Q7_29,Q7_30,Q7_31,Q7_32,Q7_33,Q7_34,Q7_35,Q7_36,Q7_37,Q7_38,Q7_39,Q7_40,Q7_41,Q7_42,Q7_43,Q7_44,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q9_1,Q9_2,Q9_3,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q11_1,Q11_2,Q11_3,Q12_First Click,Q12_Last Click,Q12_Page Submit,Q12_Click Count,Q13,Q14_1,Q14_2,Q14_3,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q16_1,Q16_2,Q16_3,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q18_1,Q18_2,Q18_3,Q19_First Click,Q19_Last Click,Q19_Page Submit,Q19_Click Count,Q20_1,Q20_2,Q20_3,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q22_1,Q22_2,Q22_3,Q23_First Click,Q23_Last Click,Q23_Page Submit,Q23_Click Count,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma is a manager.","Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma likes to exercise.","Emma lives in an apartment with her two cats in the center of the city and is an outgoing person. She takes yoga classes at the gym three times a week, enjoys reading science-fiction books and volunteers at least once a week in an animal shelter.
Rank the options in descending order from most to least probable. - Emma is a manager and likes to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Liz is a programmer.","Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Lis likes to paint.","Liz lives in a Victorian home in Oakland. She is an analytical thinker and works
at a start-up company. She tries to attend a few classes at the gym every week. She is very
ambitious at her job and also enjoys cooking very much and is quite good at it. 
Rank the options in descending order from most to least probable. - Liz is a programmer and likes to paint.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,"Emma and Liz went to the same high school together but they didn't know each other very well because they were not in the same class. After high school, each of them went to different college and majored in different areas. After college, they stumbled upon each other when they both moved to San-Francisco and were looking for roommates.
Rank the options in descending order from most to least probable. - Emma is a manager.","Emma and Liz went to the same high school together but they didn't know each other very well because they were not in the same class. After high school, each of them went to different college and majored in different areas. After college, they stumbled upon each other when they both moved to San-Francisco and were looking for roommates.
Rank the options in descending order from most to least probable. - Liz likes to paint.","Emma and Liz went to the same high school together but they didn't know each other very well because they were not in the same class. After high school, each of them went to different college and majored in different areas. After college, they stumbled upon each other when they both moved to San-Francisco and were looking for roommates.
Rank the options in descending order from most to least probable. - Emma is a manger or Liz likes to paint.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Emma and Liz want to do an extracurricular activity together. They decided to take  Mandarin classes together, twice a week in San-Francisco.
Rank the options in descending order from most to least probable. - Emma likes to exercise.","Emma and Liz want to do an extracurricular activity together. They decided to take  Mandarin classes together, twice a week in San-Francisco.
Rank the options in descending order from most to least probable. - Liz likes to paint.","Emma and Liz want to do an extracurricular activity together. They decided to take  Mandarin classes together, twice a week in San-Francisco.
Rank the options in descending order from most to least probable. - Emma likes to exercise or Liz likes to paint.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Liz and Emma have been working together for a long time and they decided that they want to open a business together. They believe that if they will combine their skills together they could build a new fitness app oriented for busy people.
Rank the options in descending order from most to least probable. - Liz is a programmer.","Liz and Emma have been working together for a long time and they decided that they want to open a business together. They believe that if they will combine their skills together they could build a new fitness app oriented for busy people.
Rank the options in descending order from most to least probable. - Emma likes to exercise.","Liz and Emma have been working together for a long time and they decided that they want to open a business together. They believe that if they will combine their skills together they could build a new fitness app oriented for busy people.
Rank the options in descending order from most to least probable. - Emma likes to exercise and Liz is a programmer.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - Emma is a manager.","Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - Emma likes to exercise.","Recently, Emma came to the conclusion that she doesn’t have enough time in a day.
Rank the options in descending order from most to least probable. - Emma is a manager or likes to exercise.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Recently the Start-up Liz and Emma are working at was acquired by another company. The new CEO is doing a massive firing. Emma was fired and Liz wasn't fired.
Rank the options in descending order from most to least probable. - Liz is a programmer.","Recently the Start-up Liz and Emma are working at was acquired by another company. The new CEO is doing a massive firing. Emma was fired and Liz wasn't fired.
Rank the options in descending order from most to least probable. - Emma is a manager and Liz is a programmer.","Recently the Start-up Liz and Emma are working at was acquired by another company. The new CEO is doing a massive firing. Emma was fired and Liz wasn't fired.
Rank the options in descending order from most to least probable. - Emma is a manager.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID11_12""}","{""ImportId"":""QID11_13""}","{""ImportId"":""QID11_14""}","{""ImportId"":""QID11_15""}","{""ImportId"":""QID11_16""}","{""ImportId"":""QID11_17""}","{""ImportId"":""QID11_18""}","{""ImportId"":""QID11_19""}","{""ImportId"":""QID11_20""}","{""ImportId"":""QID11_21""}","{""ImportId"":""QID11_22""}","{""ImportId"":""QID11_23""}","{""ImportId"":""QID11_24""}","{""ImportId"":""QID11_25""}","{""ImportId"":""QID11_26""}","{""ImportId"":""QID11_27""}","{""ImportId"":""QID11_28""}","{""ImportId"":""QID11_29""}","{""ImportId"":""QID11_30""}","{""ImportId"":""QID11_31""}","{""ImportId"":""QID11_32""}","{""ImportId"":""QID11_33""}","{""ImportId"":""QID11_34""}","{""ImportId"":""QID11_35""}","{""ImportId"":""QID11_36""}","{""ImportId"":""QID11_37""}","{""ImportId"":""QID11_38""}","{""ImportId"":""QID11_39""}","{""ImportId"":""QID11_40""}","{""ImportId"":""QID11_41""}","{""ImportId"":""QID11_42""}","{""ImportId"":""QID11_43""}","{""ImportId"":""QID11_44""}","{""ImportId"":""QID12_FIRST_CLICK""}","{""ImportId"":""QID12_LAST_CLICK""}","{""ImportId"":""QID12_PAGE_SUBMIT""}","{""ImportId"":""QID12_CLICK_COUNT""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID1_3""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID19_3""}","{""ImportId"":""QID20_FIRST_CLICK""}","{""ImportId"":""QID20_LAST_CLICK""}","{""ImportId"":""QID20_PAGE_SUBMIT""}","{""ImportId"":""QID20_CLICK_COUNT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID14_FIRST_CLICK""}","{""ImportId"":""QID14_LAST_CLICK""}","{""ImportId"":""QID14_PAGE_SUBMIT""}","{""ImportId"":""QID14_CLICK_COUNT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID16_FIRST_CLICK""}","{""ImportId"":""QID16_LAST_CLICK""}","{""ImportId"":""QID16_PAGE_SUBMIT""}","{""ImportId"":""QID16_CLICK_COUNT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID17_FIRST_CLICK""}","{""ImportId"":""QID17_LAST_CLICK""}","{""ImportId"":""QID17_PAGE_SUBMIT""}","{""ImportId"":""QID17_CLICK_COUNT""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID29_FIRST_CLICK""}","{""ImportId"":""QID29_LAST_CLICK""}","{""ImportId"":""QID29_PAGE_SUBMIT""}","{""ImportId"":""QID29_CLICK_COUNT""}","{""ImportId"":""survey_code""}"
2019-03-05 11:35:59,2019-03-05 11:36:00,2,,100,1,1,2019-03-05 11:36:00,R_eVYFwea8Z2wdr37,,,,,32.0666961669921875,34.766693115234375,test,,1,2,Magna. Morbi neque gravida justo. Ultricies eget lacus montes. Arcu.,8,5,4,2,1,1,4,5,5,3,2,3,3,2,4,1,4,2,2,3,2,2,1,2,3,3,5,2,1,4,3,5,4,4,1,5,1,4,4,5,4,4,2,1,2,3.279999999999999804600747665972448885440826416015625,5.12999999999999989341858963598497211933135986328125,6.160000000000000142108547152020037174224853515625,19,3,1,2,5.87000000000000010658141036401502788066864013671875,6.78000000000000024868995751603506505489349365234375,6.3300000000000000710542735760100185871124267578125,16,2,3,1,0.2200000000000000011102230246251565404236316680908203125,2.600000000000000088817841970012523233890533447265625,0.90000000000000002220446049250313080847263336181640625,8,4,2,3,1,3.069999999999999840127884453977458178997039794921875,7.5999999999999996447286321199499070644378662109375,6.21999999999999975131004248396493494510650634765625,50,1,2,3,7.4900000000000002131628207280300557613372802734375,8.589999999999999857891452847979962825775146484375,9.2200000000000006394884621840901672840118408203125,46,3,2,1,9.8499999999999996447286321199499070644378662109375,9.9900000000000002131628207280300557613372802734375,9.96000000000000085265128291212022304534912109375,17,3,2,1,8.2400000000000002131628207280300557613372802734375,8.6500000000000003552713678800500929355621337890625,8.78999999999999914734871708787977695465087890625,44,3,2,1,9.800000000000000710542735760100185871124267578125,9.92999999999999971578290569595992565155029296875,9.8800000000000007815970093361102044582366943359375,29,14324121
2019-03-05 11:36:00,2019-03-05 11:36:00,2,,100,0,1,2019-03-05 11:36:00,R_dal9YVIkr9wg6Hz,,,,,32.0666961669921875,34.766693115234375,test,,1,1,"At maecenas maecenas. Cursus phasellus tempora odio luctus culpa. Dolor consequat! Sapien, iaculis tempora molestie.",7,3,1,5,3,3,5,1,4,3,3,1,5,4,2,4,5,2,5,5,3,5,1,2,4,1,3,3,4,2,2,2,1,3,2,4,5,2,1,5,1,5,1,5,5,6.67999999999999971578290569595992565155029296875,8.699999999999999289457264239899814128875732421875,9.550000000000000710542735760100185871124267578125,16,1,2,3,3.600000000000000088817841970012523233890533447265625,7.5,7.5099999999999997868371792719699442386627197265625,41,3,1,2,6.62999999999999989341858963598497211933135986328125,8.949999999999999289457264239899814128875732421875,9.92999999999999971578290569595992565155029296875,38,5,3,1,2,5.519999999999999573674358543939888477325439453125,6.04999999999999982236431605997495353221893310546875,6.45999999999999996447286321199499070644378662109375,21,1,3,2,9.71000000000000085265128291212022304534912109375,9.9000000000000003552713678800500929355621337890625,9.9199999999999999289457264239899814128875732421875,23,2,1,3,7.0999999999999996447286321199499070644378662109375,9.78999999999999914734871708787977695465087890625,8.7400000000000002131628207280300557613372802734375,27,2,1,3,9.5600000000000004973799150320701301097869873046875,9.730000000000000426325641456060111522674560546875,9.8800000000000007815970093361102044582366943359375,20,1,2,3,2.75,5.1500000000000003552713678800500929355621337890625,7.88999999999999968025576890795491635799407958984375,39,62240863
2019-03-05 11:36:00,2019-03-05 11:36:00,2,,100,0,1,2019-03-05 11:36:00,R_3aw9dY5xXSZItTf,,,,,32.0666961669921875,34.766693115234375,test,,1,1,"Faucibus atque ac potenti felis dictumst! Tincidunt, praesent ullamcorper. Porta! Purus turpis rhoncus.",8,2,2,4,4,1,5,5,2,2,5,5,4,1,1,3,4,4,1,5,2,2,3,1,3,1,3,5,4,1,3,4,2,4,2,5,4,4,1,4,5,2,5,2,1,8.1500000000000003552713678800500929355621337890625,9.8900000000000005684341886080801486968994140625,9.4399999999999995026200849679298698902130126953125,3,2,1,3,6.94000000000000039079850466805510222911834716796875,7.589999999999999857891452847979962825775146484375,9.160000000000000142108547152020037174224853515625,33,3,2,1,3.1699999999999999289457264239899814128875732421875,5.95999999999999996447286321199499070644378662109375,9.46000000000000085265128291212022304534912109375,48,1,2,1,3,5.87000000000000010658141036401502788066864013671875,8.75,8.21000000000000085265128291212022304534912109375,43,2,1,3,6.96999999999999975131004248396493494510650634765625,9.4399999999999995026200849679298698902130126953125,8.1300000000000007815970093361102044582366943359375,46,2,3,1,4.20000000000000017763568394002504646778106689453125,7.1500000000000003552713678800500929355621337890625,4.54999999999999982236431605997495353221893310546875,2,3,2,1,4.05999999999999960920149533194489777088165283203125,5.42999999999999971578290569595992565155029296875,8.449999999999999289457264239899814128875732421875,8,3,1,2,0.95999999999999996447286321199499070644378662109375,4.25,5.38999999999999968025576890795491635799407958984375,11,56546466
2019-03-05 11:36:00,2019-03-05 11:36:01,2,,100,1,1,2019-03-05 11:36:01,R_eXKyolSlMClfKXH,,,,,32.0666961669921875,34.766693115234375,test,,1,3,Dui sodales fringilla risus montes viverra euismod turpis commodo neque.,4,4,5,4,3,1,4,2,1,1,4,4,2,1,5,4,4,1,3,4,3,5,5,4,2,2,1,1,2,3,4,3,3,2,5,2,3,1,2,4,3,2,3,4,5,7.9199999999999999289457264239899814128875732421875,8.6199999999999992184029906638897955417633056640625,9.8100000000000004973799150320701301097869873046875,14,1,3,2,0.9899999999999999911182158029987476766109466552734375,6.8499999999999996447286321199499070644378662109375,5.67999999999999971578290569595992565155029296875,17,2,3,1,1.6999999999999999555910790149937383830547332763671875,3.95999999999999996447286321199499070644378662109375,8.949999999999999289457264239899814128875732421875,43,5,2,1,3,4.69000000000000039079850466805510222911834716796875,8.3800000000000007815970093361102044582366943359375,7.42999999999999971578290569595992565155029296875,11,2,1,3,1.6599999999999999200639422269887290894985198974609375,3.100000000000000088817841970012523233890533447265625,6.55999999999999960920149533194489777088165283203125,0,2,3,1,5.61000000000000031974423109204508364200592041015625,6.5800000000000000710542735760100185871124267578125,8.1199999999999992184029906638897955417633056640625,0,3,2,1,0.7399999999999999911182158029987476766109466552734375,8.75,2.770000000000000017763568394002504646778106689453125,42,3,2,1,8.6500000000000003552713678800500929355621337890625,9.6899999999999995026200849679298698902130126953125,8.78999999999999914734871708787977695465087890625,3,21762941
2019-03-05 11:36:01,2019-03-05 11:36:01,2,,100,0,1,2019-03-05 11:36:01,R_aWBAe4rFtGWzgLr,,,,,32.0666961669921875,34.766693115234375,test,,1,1,Facilisi cras. Urna temporibus! Consectetuer tellus tincidunt ut! Ipsum ultricies.,8,4,1,3,2,1,3,5,3,1,2,1,4,2,3,4,5,4,2,3,4,4,4,2,3,4,2,3,1,4,3,4,3,2,2,5,5,1,1,3,5,5,5,5,4,1.5800000000000000710542735760100185871124267578125,3.060000000000000053290705182007513940334320068359375,5.45000000000000017763568394002504646778106689453125,17,3,1,2,1.8899999999999999023003738329862244427204132080078125,5.45000000000000017763568394002504646778106689453125,2.089999999999999857891452847979962825775146484375,36,3,1,2,7.30999999999999960920149533194489777088165283203125,9.8800000000000007815970093361102044582366943359375,9.1400000000000005684341886080801486968994140625,7,5,3,1,2,9.3699999999999992184029906638897955417633056640625,9.699999999999999289457264239899814128875732421875,9.8900000000000005684341886080801486968994140625,12,2,1,3,3.2400000000000002131628207280300557613372802734375,7.660000000000000142108547152020037174224853515625,8.410000000000000142108547152020037174224853515625,11,3,2,1,7.69000000000000039079850466805510222911834716796875,7.9199999999999999289457264239899814128875732421875,9.75,12,1,2,3,1.1599999999999999200639422269887290894985198974609375,1.95999999999999996447286321199499070644378662109375,2.45999999999999996447286321199499070644378662109375,12,1,2,3,0.5100000000000000088817841970012523233890533447265625,9.53999999999999914734871708787977695465087890625,7.38999999999999968025576890795491635799407958984375,37,81632284
2019-03-05 11:36:01,2019-03-05 11:36:01,2,,100,0,1,2019-03-05 11:36:01,R_1GNS2xrunZF5pbL,,,,,32.0666961669921875,34.766693115234375,test,,1,3,Facilisi vel donec? Faucibus non blandit scelerisque risus interdum. Suspendisse accusamus est donec.,8,3,1,1,1,4,5,3,3,1,1,4,5,5,5,2,3,3,3,3,1,1,4,5,2,4,5,2,3,5,4,2,4,3,2,2,5,4,4,1,1,3,4,5,1,1.8300000000000000710542735760100185871124267578125,2.1699999999999999289457264239899814128875732421875,4.769999999999999573674358543939888477325439453125,18,2,1,3,5.3499999999999996447286321199499070644378662109375,9.78999999999999914734871708787977695465087890625,8.2599999999999997868371792719699442386627197265625,17,1,3,2,5.32000000000000028421709430404007434844970703125,9.839999999999999857891452847979962825775146484375,8.2200000000000006394884621840901672840118408203125,24,3,2,3,1,6.87000000000000010658141036401502788066864013671875,6.87999999999999989341858963598497211933135986328125,6.980000000000000426325641456060111522674560546875,42,1,3,2,0.4699999999999999733546474089962430298328399658203125,2.12000000000000010658141036401502788066864013671875,7.88999999999999968025576890795491635799407958984375,42,3,1,2,3.62999999999999989341858963598497211933135986328125,7.69000000000000039079850466805510222911834716796875,5.29999999999999982236431605997495353221893310546875,13,2,1,3,3.310000000000000053290705182007513940334320068359375,9.8800000000000007815970093361102044582366943359375,7.230000000000000426325641456060111522674560546875,29,1,3,2,8.480000000000000426325641456060111522674560546875,8.9900000000000002131628207280300557613372802734375,9.7400000000000002131628207280300557613372802734375,32,72047547
2019-03-05 11:36:01,2019-03-05 11:36:02,2,,100,1,1,2019-03-05 11:36:02,R_bD6p7WG4hukPEoJ,,,,,32.0666961669921875,34.766693115234375,test,,1,3,Wisi faucibus fusce sem ut luctus malesuada duis magnis morbi cras placerat sollicitudin.,6,1,3,2,2,5,3,5,1,2,5,4,2,4,2,2,2,3,3,4,4,1,3,4,4,4,4,5,4,3,3,1,1,4,4,2,5,2,1,5,2,3,2,1,5,6.13999999999999968025576890795491635799407958984375,9.2599999999999997868371792719699442386627197265625,6.5800000000000000710542735760100185871124267578125,44,3,1,2,6.4000000000000003552713678800500929355621337890625,6.660000000000000142108547152020037174224853515625,6.95000000000000017763568394002504646778106689453125,7,1,3,2,8.4700000000000006394884621840901672840118408203125,9.17999999999999971578290569595992565155029296875,9.9399999999999995026200849679298698902130126953125,7,4,1,2,3,8.8699999999999992184029906638897955417633056640625,9.5099999999999997868371792719699442386627197265625,9.3100000000000004973799150320701301097869873046875,9,3,1,2,4.160000000000000142108547152020037174224853515625,9,6.730000000000000426325641456060111522674560546875,46,1,2,3,4.78000000000000024868995751603506505489349365234375,7.46999999999999975131004248396493494510650634765625,5.63999999999999968025576890795491635799407958984375,1,3,2,1,4.55999999999999960920149533194489777088165283203125,5.839999999999999857891452847979962825775146484375,6.4900000000000002131628207280300557613372802734375,26,1,3,2,1.5700000000000000621724893790087662637233734130859375,5,3.87999999999999989341858963598497211933135986328125,0,93433912
2019-03-05 11:36:02,2019-03-05 11:36:02,2,,100,0,1,2019-03-05 11:36:02,R_bdPXFzIxjE4qurj,,,,,32.0666961669921875,34.766693115234375,test,,1,3,"Phasellus. Interdum iaculis leo scelerisque felis rutrum, montes mauris wisi sollicitudin commodo fringilla potenti.",8,3,2,4,3,3,1,4,2,2,5,2,4,3,1,5,4,4,3,3,5,5,1,3,4,2,2,5,4,3,3,4,3,5,2,4,1,3,1,1,1,4,1,5,3,3.20000000000000017763568394002504646778106689453125,4.37999999999999989341858963598497211933135986328125,8.7400000000000002131628207280300557613372802734375,36,3,2,1,6.03000000000000024868995751603506505489349365234375,7,7.04999999999999982236431605997495353221893310546875,46,2,1,3,1.37999999999999989341858963598497211933135986328125,9.3499999999999996447286321199499070644378662109375,6.63999999999999968025576890795491635799407958984375,36,3,3,2,1,0.2399999999999999911182158029987476766109466552734375,4.5,6.019999999999999573674358543939888477325439453125,3,3,2,1,3.839999999999999857891452847979962825775146484375,7.69000000000000039079850466805510222911834716796875,6.32000000000000028421709430404007434844970703125,2,3,1,2,7.2599999999999997868371792719699442386627197265625,9.9700000000000006394884621840901672840118408203125,8.3300000000000000710542735760100185871124267578125,2,1,2,3,7.79000000000000003552713678800500929355621337890625,7.80999999999999960920149533194489777088165283203125,9.75,5,3,2,1,1.8899999999999999023003738329862244427204132080078125,1.9699999999999999733546474089962430298328399658203125,8.96000000000000085265128291212022304534912109375,27,64851476
