Q9,"Q9_othea,b,a_and_b_option",Q11,"Q11_othec,d,c_and_d_option",Q14,"Q14_otheb_or_d,b,d_option",Q16,"Q16_othec,a,c_and_a_option",Q18,"Q18_othec_or_b,c,b_option",Q20,"Q20_othea_or_b,a,b_option",Q22,"Q22_othea_or_d,d,a_option"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c,a,c_and_a","c_and_a,c,a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b,d,b_or_d","b_or_d,b,d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c_or_b,c,b","c,b,c_oc_or_b,c,b_b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a_and_b,a,b","a,b,a_and_b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c_and_a,c,a","c,a,c_and_a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a_or_b,a,b","a,b,a_or_b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a,b,a_or_b","a_or_b,a,b","a_or_d,d,a","d,a,a_or_d"
"a,b,a_and_b","a_and_b,a,b","c,d,c_and_d","c_and_d,c,d","b_or_d,b,d","b,d,b_or_d","c,a,c_and_a","c_and_a,c,a","c,b,c_oc_or_b,c,b_b","c_or_b,c,b","a_or_b,a,b","a,b,a_or_b","d,a,a_or_d","a_or_d,d,a"
