user,Q6_rate,Q8_rate,Q12_rate,Q10_rate,Q14_rate,Q16_rate,Q18_rate
3,0,0,2,0,0,0,3
4,0,0,1,0,0,3,3
5,1,1,2,0,4,3,3
6,0,0,1,0,0,0,0
7,1,1,1,4,0,3,0
8,1,1,2,0,0,0,0
9,1,0,0,0,0,0,0
10,0,0,1,0,0,4,0
11,0,0,2,3,3,3,4
12,1,1,2,0,3,3,0
13,0,1,2,3,0,0,0
14,1,1,1,0,0,0,3
16,0,1,1,0,0,4,0
17,1,0,2,0,4,4,4
18,0,0,2,4,4,4,4
19,0,1,2,4,3,3,4
20,1,1,1,3,3,3,3
21,1,1,2,3,0,3,3
24,1,1,1,4,3,0,3
25,1,2,1,0,0,4,0
26,1,0,0,0,0,4,0
27,2,0,2,3,0,0,0
28,0,0,1,4,3,0,0
29,2,2,0,4,0,3,4
30,0,0,2,0,3,0,0
32,1,0,2,3,0,3,0
33,0,2,0,3,3,3,4
35,0,0,2,0,4,4,3
36,1,1,0,0,3,3,0
37,0,0,2,4,0,4,3
38,1,0,2,0,4,3,0
39,1,1,0,4,3,3,3
40,2,0,1,0,0,0,0
42,1,1,1,3,0,3,3
43,0,0,1,0,0,4,0
44,1,1,0,0,3,0,0
45,2,0,1,0,4,3,3
46,1,1,2,3,3,4,4
49,1,0,2,3,4,3,4
50,0,0,2,0,0,4,3
51,2,1,2,4,0,4,0
52,1,1,1,3,0,0,4
