StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q83,Q84,Q85,Q86,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q77_7,Q77_8,Q77_9,Q77_10,Q77_11,Q77_12,Q77_13,Q77_14,Q77_15,Q77_16,Q77_17,Q77_18,Q77_19,Q77_20,Q77_21,Q77_22,Q77_23,Q77_24,Q77_25,Q77_26,Q77_27,Q77_28,Q77_29,Q77_30,Q77_31,Q77_32,Q77_33,Q77_34,Q77_35,Q77_36,Q77_37,Q77_38,Q77_39,Q77_40,Q77_41,Q77_42,Q77_43,Q77_44,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,Q88_1,Q88_2,Q88_3,Q88_4,Q88_5,Q88_6,Q88_7,Q88_8,Q88_9,Q88_10,Q88_11,Q88_12,Q88_13,Q88_14,Q89_First Click,Q89_Last Click,Q89_Page Submit,Q89_Click Count,Q94,Q95_First Click,Q95_Last Click,Q95_Page Submit,Q95_Click Count,Q96,Q97_First Click,Q97_Last Click,Q97_Page Submit,Q97_Click Count,Q92,Q93_First Click,Q93_Last Click,Q93_Page Submit,Q93_Click Count,Q108,Q109_First Click,Q109_Last Click,Q109_Page Submit,Q109_Click Count,Q100,Q101_First Click,Q101_Last Click,Q101_Page Submit,Q101_Click Count,Q102,Q103_First Click,Q103_Last Click,Q103_Page Submit,Q103_Click Count,Q104,Q105_First Click,Q105_Last Click,Q105_Page Submit,Q105_Click Count,Q106,Q107_First Click,Q107_Last Click,Q107_Page Submit,Q107_Click Count,Q90_6,Q90_2,Q90_7,Q90_3,Q91_First Click,Q91_Last Click,Q91_Page Submit,Q91_Click Count,Q79#1_1,Q79#2_1,Q80#1_1,Q80#1_2,Q80#1_3,Q80#1_4,Q80#1_5,Q80#1_6,Q80#1_7,Q80#1_8,Q80#1_9,Q80#1_10,Q80#1_11,Q80#1_12,Q80#1_13,Q80#1_14,Q80#1_15,Q80#1_16,Q80#1_17,Q80#1_18,Q80#1_19,Q80#1_20,Q80#1_21,Q80#1_22,Q80#1_23,Q80#1_24,Q80#2_1,Q80#2_2,Q80#2_3,Q80#2_4,Q80#2_5,Q80#2_6,Q80#2_7,Q80#2_8,Q80#2_9,Q80#2_10,Q80#2_11,Q80#2_12,Q80#2_13,Q80#2_14,Q80#2_15,Q80#2_16,Q80#2_17,Q80#2_18,Q80#2_19,Q80#2_20,Q80#2_21,Q80#2_22,Q80#2_23,Q80#2_24,Q81_First Click,Q81_Last Click,Q81_Page Submit,Q81_Click Count,Q110,Q111,survey_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:",To which gender identity do you most identify?,What is your age?,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)",I see myself as someone who is: - Is talkative,I see myself as someone who is: - Tends to find fault with others,I see myself as someone who is: - Does a thorough job,"I see myself as someone who is: - Is depressed, blue","I see myself as someone who is: - Is original, comes up with new ideas",I see myself as someone who is: - Is reserved,I see myself as someone who is: - Is helpful and unselfish with others,I see myself as someone who is: - Can be somewhat careless,"I see myself as someone who is: - Is relaxed, handles stress well",I see myself as someone who is: - Is curious about many different things,I see myself as someone who is: - Is full of energy,I see myself as someone who is: - Starts quarrels with others,I see myself as someone who is: - Is a reliable worker,I see myself as someone who is: - Can be tense,"I see myself as someone who is: - Is ingenious, a deep thinker",I see myself as someone who is: - Generates a lot of enthusiasm,I see myself as someone who is: - Has a forgiving nature,I see myself as someone who is: - Tends to be disorganized,I see myself as someone who is: - Worries a lot,I see myself as someone who is: - Has ana active imagination,I see myself as someone who is: - Tends to be quiet,I see myself as someone who is: - Is generally trusting,I see myself as someone who is: - Tends to be lazy,"I see myself as someone who is: - Is emotionally stable, not easily upset",I see myself as someone who is: - Is inventive,I see myself as someone who is: - Has an assertive personality,I see myself as someone who is: - Can be cold and aloof,I see myself as someone who is: - Preseveres until the task is finished,I see myself as someone who is: - Can be moody,"I see myself as someone who is: - Values artistic, aesthetic experiences","I see myself as someone who is: - Is sometimes shy, inhibited",I see myself as someone who is: - Is considerate and kind to almost everyone,I see myself as someone who is: - Does things efficiently,I see myself as someone who is: - Remains calm in tense situations,I see myself as someone who is: - Prefers work that is routine,"I see myself as someone who is: - Is outgoing, sociable",I see myself as someone who is: - Is sometimes rude to others,I see myself as someone who is: - Makes plans and follows through with them,I see myself as someone who is: - Gets nervous easily,"I see myself as someone who is: - Likes to reflect, play with ideas",I see myself as someone who is: - Has few artistic interests,I see myself as someone who is: - Likes to cooperate with others,I see myself as someone who is: - Is easily disracted,"I see myself as someone who is: - Is sophisticated in art, music, or literature",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Click to write the question text - I would feel uneasy if robots really had emotions.,Click to write the question text - Something bad might happen if robots developed into living beings.,Click to write the question text - I would feel relaxed talking with robots.,Click to write the question text - I would feel uneasy if I was given a job where I had to use robots.,"Click to write the question text - If robots had emotions, I would be able to make friends with them.",Click to write the question text - I (would?) feel comforted being with robots that have emotions.,"Click to write the question text - The word ""robot"" means nothing to me.",Click to write the question text - I would feel nervous operating a robot in front of other people.,Click to write the question text - I would hate the idea that robots or artificial intelligence were making judgments about things.,Click to write the question text - I would feel very nervous just standing in front of a robot.,"Click to write the question text - I feel that if I depend on robots too much, something bad might happen.",Click to write the question text - I would feel paranoid talking with a robot.,Click to write the question text - I am concerned that robots would be a bad influence on children.,Click to write the question text - I feel that in the future society will be dominated by robots.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What does Liz enjoy doing?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you DON'T agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot do you agree with?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,For each statement choose a robot. - Which robot would you trust to manage your investments portfolio?,For each statement choose a robot. - Which robot do you think will serve as a good jury member?,For each statement choose a robot. - Which robot do you think will be a better analyst?,For each statement choose a robot. - Which robot would you like as a bartender?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 1 - Fake - Natrual,In the question below you will be asked about the two robots. In each question the left column re... - Click to write Column 2 - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Fake - Natrual,Please rate your impression of the robot on these scales: - blue robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - blue robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - blue robot - Dead - Alive,Please rate your impression of the robot on these scales: - blue robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - blue robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - blue robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - blue robot - Inert - Interactive,Please rate your impression of the robot on these scales: - blue robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - blue robot - Dislike - Like,Please rate your impression of the robot on these scales: - blue robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - blue robot - Unkind - Kind,Please rate your impression of the robot on these scales: - blue robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - blue robot - Awful - Nice,Please rate your impression of the robot on these scales: - blue robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - blue robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - blue robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - blue robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - blue robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - blue robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - blue robot - Agitated - Calm,Please rate your impression of the robot on these scales: - blue robot - Quiescent - Surprised,Please rate your impression of the robot on these scales: - red robot - Fake - Natrual,Please rate your impression of the robot on these scales: - red robot - Machinlike - Humnalike,Please rate your impression of the robot on these scales: - red robot - Unconscious - Conscious,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Moving rigidly - Moving elegantly,Please rate your impression of the robot on these scales: - red robot - Dead - Alive,Please rate your impression of the robot on these scales: - red robot - Stagnant - Lively,Please rate your impression of the robot on these scales: - red robot - Mechanical - Organic,Please rate your impression of the robot on these scales: - red robot - Artificial - Lifelike,Please rate your impression of the robot on these scales: - red robot - Inert - Interactive,Please rate your impression of the robot on these scales: - red robot - Apathetic - Responsive,Please rate your impression of the robot on these scales: - red robot - Dislike - Like,Please rate your impression of the robot on these scales: - red robot - Unfriendly - Friendly,Please rate your impression of the robot on these scales: - red robot - Unkind - Kind,Please rate your impression of the robot on these scales: - red robot - Unpleasant - Pleasant,Please rate your impression of the robot on these scales: - red robot - Awful - Nice,Please rate your impression of the robot on these scales: - red robot - Incompetent - Competent,Please rate your impression of the robot on these scales: - red robot - Ignorant - Knowledgeable,Please rate your impression of the robot on these scales: - red robot - Irresponsible - Responsible,Please rate your impression of the robot on these scales: - red robot - Unintelligent - Intelligent,Please rate your impression of the robot on these scales: - red robot - Foolish - Sensible,Please rate your impression of the robot on these scales: - red robot - Anxious - Relaxed,Please rate your impression of the robot on these scales: - red robot - Agitated - Calm,Please rate your impression of the robot on these scales: - red robot - Quiescent - Surprised,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which robot would you prefer?,Why do you prefer this robot?,survey_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_TEXT""}","{""ImportId"":""QID86""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_12""}","{""ImportId"":""QID77_13""}","{""ImportId"":""QID77_14""}","{""ImportId"":""QID77_15""}","{""ImportId"":""QID77_16""}","{""ImportId"":""QID77_17""}","{""ImportId"":""QID77_18""}","{""ImportId"":""QID77_19""}","{""ImportId"":""QID77_20""}","{""ImportId"":""QID77_21""}","{""ImportId"":""QID77_22""}","{""ImportId"":""QID77_23""}","{""ImportId"":""QID77_24""}","{""ImportId"":""QID77_25""}","{""ImportId"":""QID77_26""}","{""ImportId"":""QID77_27""}","{""ImportId"":""QID77_28""}","{""ImportId"":""QID77_29""}","{""ImportId"":""QID77_30""}","{""ImportId"":""QID77_31""}","{""ImportId"":""QID77_32""}","{""ImportId"":""QID77_33""}","{""ImportId"":""QID77_34""}","{""ImportId"":""QID77_35""}","{""ImportId"":""QID77_36""}","{""ImportId"":""QID77_37""}","{""ImportId"":""QID77_38""}","{""ImportId"":""QID77_39""}","{""ImportId"":""QID77_40""}","{""ImportId"":""QID77_41""}","{""ImportId"":""QID77_42""}","{""ImportId"":""QID77_43""}","{""ImportId"":""QID77_44""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID88_1""}","{""ImportId"":""QID88_2""}","{""ImportId"":""QID88_3""}","{""ImportId"":""QID88_4""}","{""ImportId"":""QID88_5""}","{""ImportId"":""QID88_6""}","{""ImportId"":""QID88_7""}","{""ImportId"":""QID88_8""}","{""ImportId"":""QID88_9""}","{""ImportId"":""QID88_10""}","{""ImportId"":""QID88_11""}","{""ImportId"":""QID88_12""}","{""ImportId"":""QID88_13""}","{""ImportId"":""QID88_14""}","{""ImportId"":""QID89_FIRST_CLICK""}","{""ImportId"":""QID89_LAST_CLICK""}","{""ImportId"":""QID89_PAGE_SUBMIT""}","{""ImportId"":""QID89_CLICK_COUNT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_FIRST_CLICK""}","{""ImportId"":""QID95_LAST_CLICK""}","{""ImportId"":""QID95_PAGE_SUBMIT""}","{""ImportId"":""QID95_CLICK_COUNT""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_FIRST_CLICK""}","{""ImportId"":""QID97_LAST_CLICK""}","{""ImportId"":""QID97_PAGE_SUBMIT""}","{""ImportId"":""QID97_CLICK_COUNT""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_FIRST_CLICK""}","{""ImportId"":""QID93_LAST_CLICK""}","{""ImportId"":""QID93_PAGE_SUBMIT""}","{""ImportId"":""QID93_CLICK_COUNT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_FIRST_CLICK""}","{""ImportId"":""QID109_LAST_CLICK""}","{""ImportId"":""QID109_PAGE_SUBMIT""}","{""ImportId"":""QID109_CLICK_COUNT""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_FIRST_CLICK""}","{""ImportId"":""QID101_LAST_CLICK""}","{""ImportId"":""QID101_PAGE_SUBMIT""}","{""ImportId"":""QID101_CLICK_COUNT""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_FIRST_CLICK""}","{""ImportId"":""QID103_LAST_CLICK""}","{""ImportId"":""QID103_PAGE_SUBMIT""}","{""ImportId"":""QID103_CLICK_COUNT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_FIRST_CLICK""}","{""ImportId"":""QID107_LAST_CLICK""}","{""ImportId"":""QID107_PAGE_SUBMIT""}","{""ImportId"":""QID107_CLICK_COUNT""}","{""ImportId"":""QID90_6""}","{""ImportId"":""QID90_2""}","{""ImportId"":""QID90_7""}","{""ImportId"":""QID90_3""}","{""ImportId"":""QID91_FIRST_CLICK""}","{""ImportId"":""QID91_LAST_CLICK""}","{""ImportId"":""QID91_PAGE_SUBMIT""}","{""ImportId"":""QID91_CLICK_COUNT""}","{""ImportId"":""QID79#1_1""}","{""ImportId"":""QID79#2_1""}","{""ImportId"":""QID80#1_1""}","{""ImportId"":""QID80#1_2""}","{""ImportId"":""QID80#1_3""}","{""ImportId"":""QID80#1_4""}","{""ImportId"":""QID80#1_5""}","{""ImportId"":""QID80#1_6""}","{""ImportId"":""QID80#1_7""}","{""ImportId"":""QID80#1_8""}","{""ImportId"":""QID80#1_9""}","{""ImportId"":""QID80#1_10""}","{""ImportId"":""QID80#1_11""}","{""ImportId"":""QID80#1_12""}","{""ImportId"":""QID80#1_13""}","{""ImportId"":""QID80#1_14""}","{""ImportId"":""QID80#1_15""}","{""ImportId"":""QID80#1_16""}","{""ImportId"":""QID80#1_17""}","{""ImportId"":""QID80#1_18""}","{""ImportId"":""QID80#1_19""}","{""ImportId"":""QID80#1_20""}","{""ImportId"":""QID80#1_21""}","{""ImportId"":""QID80#1_22""}","{""ImportId"":""QID80#1_23""}","{""ImportId"":""QID80#1_24""}","{""ImportId"":""QID80#2_1""}","{""ImportId"":""QID80#2_2""}","{""ImportId"":""QID80#2_3""}","{""ImportId"":""QID80#2_4""}","{""ImportId"":""QID80#2_5""}","{""ImportId"":""QID80#2_6""}","{""ImportId"":""QID80#2_7""}","{""ImportId"":""QID80#2_8""}","{""ImportId"":""QID80#2_9""}","{""ImportId"":""QID80#2_10""}","{""ImportId"":""QID80#2_11""}","{""ImportId"":""QID80#2_12""}","{""ImportId"":""QID80#2_13""}","{""ImportId"":""QID80#2_14""}","{""ImportId"":""QID80#2_15""}","{""ImportId"":""QID80#2_16""}","{""ImportId"":""QID80#2_17""}","{""ImportId"":""QID80#2_18""}","{""ImportId"":""QID80#2_19""}","{""ImportId"":""QID80#2_20""}","{""ImportId"":""QID80#2_21""}","{""ImportId"":""QID80#2_22""}","{""ImportId"":""QID80#2_23""}","{""ImportId"":""QID80#2_24""}","{""ImportId"":""QID81_FIRST_CLICK""}","{""ImportId"":""QID81_LAST_CLICK""}","{""ImportId"":""QID81_PAGE_SUBMIT""}","{""ImportId"":""QID81_CLICK_COUNT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_TEXT""}","{""ImportId"":""survey_code""}"
2018-06-26 02:12:26,2018-06-26 02:15:16,0,71.84.20.24,100,170,1,2018-06-26 02:15:17,R_3KMwnx4OgoxhNPx,,,,,35.618896484375,-120.76689910889,anonymous,EN,1,1,39,6,4,4,4,5,2,5,2,5,4,5,4,5,4,2,4,5,4,5,4,2,4,5,3,5,4,5,3,2,4,5,4,2,4,1,4,5,4,5,4,5,3,5,4,2,2.937,15.521,16.098,21,4,3,4,5,2,5,4,2,2,5,4,2,4,2,2.121,6.855,8.003,7,1,0.885,0.885,1.97,1,1,1.221,1.221,2.062,1,4,5.22,5.22,6.126,1,2,0.797,0.797,1.986,1,1,0.594,1.257,2.199,2,2,0.687,0.687,1.475,1,2,3.477,3.477,4.86,1,1,0.659,0.659,1.887,1,1,1,4,1,1.512,3.663,4.664,4,4,2,4,3,4,3,2,4,3,4,4,3,4,2,2,4,3,5,3,4,2,2,4,3,2,4,5,4,2,3,5,2,5,2,2,3,5,3,3,2,1,5,3,3,2,5,3,5,2,5,3.372,28.457,32.104,38,5,Blue had more personality and seemed more human,91474527
2018-06-26 02:09:06,2018-06-26 02:19:07,0,73.47.99.21,100,601,1,2018-06-26 02:19:08,R_2fx3WMX7DpwChbH,,,,,41.599792480469,-70.563102722168,anonymous,EN,1,2,28,3,2,3,4,4,2,5,4,4,3,4,3,1,5,4,3,2,4,3,5,3,4,4,2,2,3,2,3,4,4,3,5,4,4,4,4,2,3,4,3,3,3,3,2,3,2.398,79.394,79.948,49,2,3,4,4,4,4,3,4,2,3,5,2,3,3,4.423,41.543,42.094,15,1,1.546,1.546,2.203,1,2,0.489,0.489,1.264,1,4,2.992,2.992,4.716,1,1,0.593,0.593,1.34,1,2,0.516,0.516,1.054,1,2,0.738,1.623,2.146,3,2,1.69,1.69,2.958,1,2,0.854,0.854,1.55,1,1,4,1,4,6.186,14.826,15.929,5,3,3,4,3,4,4,2,3,3,2,2,4,4,4,5,4,4,5,4,4,5,4,4,3,3,2,4,4,3,3,2,3,3,2,2,4,4,4,5,4,4,5,3,4,4,4,4,3,3,2,5.701,97.943,99.215,57,4,"I agreed with Red's choices more, as they seemed slightly more open-minded and resourceful than Blue's",14336078
2018-06-26 02:10:52,2018-06-26 02:24:44,0,70.127.30.49,100,832,1,2018-06-26 02:24:45,R_2CCzf8XgGfBiNlq,,,,,28.147903442383,-82.039901733398,anonymous,EN,1,1,40,5,2,3,5,4,3,4,4,1,4,5,3,2,5,2,4,3,4,1,4,3,4,3,1,4,3,2,2,5,2,3,4,4,5,4,4,2,2,4,2,3,2,3,1,3,2.684,60.508,60.991,91,2,3,3,1,3,3,2,2,3,1,4,2,2,4,2.856,41.702,42.269,29,2,2.012,2.016,2.774,2,2,0.712,0.73,1.452,2,4,3.015,6.118,6.151,3,2,0.743,0.751,1.405,2,1,0.626,0.642,1.5,2,1,0.534,0.549,1.437,2,1,0.668,3.153,6.28,4,1,1.069,1.081,1.749,2,1,1,1,4,4.99,11.529,12.864,8,1,5,4,2,4,2,3,4,3,2,3,4,4,4,5,4,4,3,4,5,3,5,4,3,4,2,2,4,2,2,3,2,3,2,2,3,4,3,4,3,4,3,4,4,2,5,4,4,5,2,21.189,167.547,168.559,117,5,I seemed to agree with the blue robots assessments more than reds.,65409180
2018-06-26 02:11:53,2018-06-26 02:27:25,0,108.36.109.120,100,931,1,2018-06-26 02:27:26,R_123UE2TeFwICMCc,,,,,39.985305786133,-75.436698913574,anonymous,EN,1,2,30,3,5,1,4,4,4,1,5,4,2,5,5,1,4,2,5,5,5,5,2,5,1,5,1,3,4,2,1,3,2,5,1,5,4,3,1,5,1,3,2,5,1,4,4,4,2.203,117.037,117.868,44,2,3,3,1,4,4,1,1,4,1,3,1,1,4,7.237,51.494,54.324,15,2,1.465,1.465,2.472,1,2,1.081,1.081,2.151,1,4,8.139,8.139,9.95,1,1,0.689,0.689,2.652,1,1,0.763,0.763,1.699,1,1,0.843,0.843,1.762,1,2,0.545,1.829,7.904,2,1,1.13,1.13,2.218,1,4,1,4,1,6.317,16.11,17.195,5,,,4,2,2,2,1,1,2,3,2,4,4,3,3,2,4,4,4,4,5,5,5,2,5,1,4,2,2,2,1,1,2,3,2,4,5,4,3,2,4,4,5,4,5,5,5,2,5,1,19.983,132.38,135.315,52,4,"The red robot just seemed to agree with my personal preferences more. Also, for some reason, I kept getting a blackjack metaphor in my head when I was thinking about these answers (math, perhaps.)",55766458
2018-06-26 02:10:02,2018-06-26 02:27:56,0,24.130.203.217,100,1073,1,2018-06-26 02:27:56,R_0eX2BNs7YLJBIuB,,,,,37.330596923828,-121.83670043945,anonymous,EN,1,2,35,5,1,5,4,4,4,5,4,4,2,4,2,2,4,5,3,2,2,4,5,4,5,4,5,2,4,1,2,4,4,4,5,4,3,2,5,1,4,4,5,2,2,4,5,4,8.642,121.078,122.361,47,5,4,4,2,3,1,1,2,4,2,2,2,2,3,3.159,39.815,41.284,15,1,5.378,5.378,7.222,1,1,0.909,0.909,2.493,1,4,20.941,20.941,22.549,1,2,1.494,1.494,2.693,1,2,0.79,0.79,2.479,1,2,1.044,1.044,2.198,1,2,1.89,1.89,3.549,1,2,1.496,1.496,2.979,1,1,1,1,1,3.967,10.067,12.556,4,,,2,2,4,1,1,1,4,1,1,4,5,3,4,4,4,4,4,5,3,4,4,5,5,2,2,2,4,1,1,1,4,1,1,3,5,3,4,4,4,4,3,4,4,3,2,5,5,2,29.88,147.622,151.205,50,5,I agreed with more of its rankings than I did the red robot,86206571
2018-06-26 02:25:05,2018-06-26 02:32:40,0,68.37.211.184,100,454,1,2018-06-26 02:32:41,R_2B2p06UyAnwmetO,,,,,42.272994995117,-83.599403381348,anonymous,EN,1,1,61,5,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,2,3,3,4,3,3,1.155,45.997,46.584,50,3,3,3,4,3,3,2,3,3,3,4,3,3,3,53.585,62.522,63.93,14,1,0.764,0.764,1.386,1,1,3.452,3.452,4.318,1,4,7.77,7.77,8.866,1,1,0.735,0.735,1.376,1,1,0.722,0.722,1.341,1,1,0.635,0.635,1.332,1,1,0.722,0.722,1.298,1,1,0.59,0.59,1.347,1,4,4,4,1,1.224,4.873,5.593,5,3,4,3,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,3,3,4,3,3,3,3,4,4,4,3,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,3,4,4,4,4,1.552,42.859,43.78,51,4,"is more precise ",58803917
2018-06-26 02:16:39,2018-06-26 02:35:54,0,197.211.63.158,100,1155,1,2018-06-26 02:35:55,R_3emgb03fkuRWWAO,,,,,6.4530944824219,3.3957977294922,anonymous,EN,1,2,26,5,1,1,5,1,4,4,5,2,5,2,5,1,5,3,4,4,5,1,1,5,4,4,1,4,2,4,1,5,1,1,4,4,5,5,2,5,2,5,1,4,4,2,1,1,11.236,203.153,204.908,49,4,4,2,4,2,2,3,4,5,4,4,4,4,4,9.135,86.954,88.668,16,2,3.09,3.09,4.084,1,2,0.884,0.884,1.868,1,5,28.186,28.186,29.47,1,2,1.33,1.33,2.086,1,1,0.953,0.953,2.065,1,1,1.338,1.338,2.624,1,1,0.856,6.13,7.516,2,1,3.705,3.705,4.752,1,1,1,1,4,8.321,25.666,26.356,5,4,,4,2,4,2,4,4,4,3,2,3,4,4,4,4,1,2,2,4,4,4,2,2,4,2,2,4,2,4,3,3,4,4,4,3,3,4,4,4,1,2,3,3,4,3,2,2,2,2,36.948,230.853,232.14,51,5,i prefer that robot because it looks more human in its thinking and ability to anylize problems,40081079
2018-06-26 02:35:09,2018-06-26 02:36:14,0,24.20.124.0,100,65,1,2018-06-26 02:36:15,R_3FPtoDox1Dbfzw8,,,,,45.498001098633,-122.77839660645,anonymous,EN,1,2,31,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,0,0,8.437,0,2,2,2,2,3,2,2,2,2,2,2,2,2,2,0,0,3.386,0,2,0.673,0.673,1.008,1,2,0.086,0.086,0.398,1,3,0.04,0.342,0.982,2,2,0.459,0.983,1.768,3,2,0.321,0.595,0.92,2,2,0.23,0.655,0.919,2,2,0.165,0.503,0.983,2,2,0,0,0.275,0,1,1,1,1,0.568,1.489,1.737,6,2,2,2,3,2,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.318,1.318,10.562,1,5,ftg,66883878
