,Unnamed: 0,question,option,full_text,dict_text,2,3,4,5,6,7,101,102,103,104,105,201,202,203,204,205,206,207,301,302,303,304,305,306,307,308,401,402,403,404,405,406,407,501,502,503,504,505,506,507,508,601,602,603,604,605,606,701,702,703,704,705,706,801,802,803,804,805,806,901,902,903,904,905,1001,1002,1003,1004,1005,1006,1101,1102,1103,1104,1105
0,StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-07 04:27:09,2018-06-07 04:27:25,2018-06-07 04:35:25,2018-06-07 05:28:25,2018-06-07 05:35:33,2018-06-07 04:27:08,2018-06-07 04:23:48,2018-06-07 04:58:37,2018-06-07 04:58:38,2018-06-07 05:03:11,2018-06-07 04:42:01,2018-06-07 04:26:08,2018-06-07 04:26:36,2018-06-07 04:26:48,2018-06-07 04:43:08,2018-06-07 04:38:46,2018-06-07 05:27:21,2018-06-07 05:51:03,2018-06-07 04:24:45,2018-06-07 04:33:19,2018-06-07 04:30:37,2018-06-07 04:31:49,2018-06-07 06:59:26,2018-06-07 04:24:57,2018-06-07 04:39:40,2018-06-07 04:43:52,2018-06-07 04:37:17,2018-06-07 04:27:54,2018-06-07 04:25:14,2018-06-07 04:41:17,2018-06-07 04:58:23,2018-06-07 05:31:33,2018-06-07 04:29:18,2018-06-07 04:27:47,2018-06-07 04:44:06,2018-06-07 04:51:05,2018-06-07 06:13:34,2018-06-07 06:39:40,2018-06-07 04:38:25,2018-06-07 05:37:18,2018-06-07 05:28:50,2018-06-07 04:41:11,2018-06-07 04:39:56,2018-06-07 04:40:00,2018-06-07 05:29:56,2018-06-07 07:36:15,2018-06-07 04:33:48,2018-06-07 04:26:06,2018-06-07 04:34:47,2018-06-07 04:32:31,2018-06-07 05:02:10,2018-06-07 06:07:09,2018-06-07 05:19:19,2018-06-07 04:24:22,2018-06-07 04:32:06,2018-06-07 04:31:39,2018-06-07 04:36:56,2018-06-07 04:44:07,2018-06-07 04:24:28,2018-06-07 04:25:28,2018-06-07 04:29:53,2018-06-07 04:43:21,2018-06-07 04:47:16,2018-06-07 05:40:50,2018-06-07 04:37:36,2018-06-07 04:39:03,2018-06-07 04:47:14,2018-06-07 05:06:56,2018-06-07 06:00:18,2018-06-07 05:35:42,2018-06-07 04:26:14,2018-06-07 04:27:15,2018-06-07 04:42:12,2018-06-07 04:48:49,2018-06-07 05:27:16
1,EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-07 04:32:59,2018-06-07 04:39:28,2018-06-07 04:42:34,2018-06-07 05:45:29,2018-06-07 05:47:26,2018-06-07 04:33:48,2018-06-07 04:56:53,2018-06-07 05:05:38,2018-06-07 05:11:04,2018-06-07 05:12:07,2018-06-07 05:12:11,2018-06-07 04:38:48,2018-06-07 04:40:32,2018-06-07 04:41:07,2018-06-07 04:47:01,2018-06-07 04:54:24,2018-06-07 05:32:52,2018-06-07 06:07:20,2018-06-07 04:32:46,2018-06-07 04:48:07,2018-06-07 04:48:40,2018-06-07 04:51:01,2018-06-07 07:16:01,2018-06-07 04:30:52,2018-06-07 04:41:43,2018-06-07 05:41:43,2018-06-07 04:47:51,2018-06-07 04:52:23,2018-06-07 05:00:01,2018-06-07 05:02:50,2018-06-07 05:09:45,2018-06-07 05:48:33,2018-06-07 04:31:06,2018-06-07 04:51:28,2018-06-07 04:55:24,2018-06-07 05:06:33,2018-06-07 06:38:03,2018-06-07 06:44:06,2018-06-07 04:52:48,2018-06-07 05:45:44,2018-06-07 06:15:01,2018-06-07 04:53:33,2018-06-07 04:55:14,2018-06-07 05:00:13,2018-06-07 05:42:35,2018-06-07 07:50:54,2018-06-07 04:38:04,2018-06-07 04:40:21,2018-06-07 04:51:16,2018-06-07 05:06:43,2018-06-07 05:15:41,2018-06-07 06:24:54,2018-06-07 05:21:51,2018-06-07 04:38:03,2018-06-07 04:38:24,2018-06-07 04:43:00,2018-06-07 04:48:00,2018-06-07 05:09:16,2018-06-07 04:29:39,2018-06-07 04:29:47,2018-06-07 04:45:00,2018-06-07 04:54:24,2018-06-07 05:21:34,2018-06-07 05:49:44,2018-06-07 04:47:32,2018-06-07 04:57:26,2018-06-07 05:07:08,2018-06-07 05:14:32,2018-06-07 06:20:48,2018-06-07 05:56:56,2018-06-07 04:37:07,2018-06-07 04:50:50,2018-06-07 04:59:03,2018-06-07 05:06:56,2018-06-07 05:45:58
2,Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",144.168.131.197,72.23.57.229,69.181.245.243,69.68.69.12,69.36.57.162,69.181.245.243,68.80.159.197,84.117.24.48,84.117.24.48,196.17.64.5,67.245.216.203,108.169.161.66,196.16.109.139,73.110.45.225,196.16.109.139,173.234.168.44,98.16.218.254,96.43.44.213,157.50.8.188,45.57.180.108,196.17.65.146,99.189.12.65,73.128.105.17,99.108.152.126,99.189.12.65,67.242.182.67,124.123.56.217,38.132.117.104,167.160.123.107,23.81.209.106,107.172.196.4,73.94.236.206,167.160.123.107,172.245.210.185,66.160.188.81,174.56.169.58,138.75.174.102,71.237.202.138,174.60.239.169,24.163.96.64,107.77.200.109,71.227.121.46,45.47.32.189,196.17.65.146,71.58.237.142,107.3.46.12,76.245.15.246,138.128.18.44,24.60.247.22,68.59.144.118,75.141.186.21,65.191.222.213,68.59.144.118,74.70.148.125,196.17.66.184,104.129.131.155,99.56.221.155,68.185.120.98,73.12.103.214,198.20.160.163,73.236.40.189,173.93.84.103,174.236.129.56,68.63.222.65,38.132.117.101,98.200.189.160,180.191.151.117,107.175.184.252,68.114.116.246,71.237.202.138,172.56.42.23,195.181.169.155,67.181.212.84,97.81.21.184,71.8.86.183
4,Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,55,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,55,34,47,100,100,100,100,100,100,26,100,100,100,100,100,47,55,92,100,100,100,100,100,47,100,100,100,100,100,42,100,100,100,100,100,47,100,100,100,100,100,100,100,100,100,100,79,100,100,100,100,100
5,Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",350,723,429,1023,713,400,1984,420,745,536,1810,760,835,859,232,938,330,977,480,888,1083,1152,994,355,123,3470,633,1469,2087,1292,681,1020,108,1420,677,927,1469,266,862,506,2770,741,917,1212,758,878,255,855,989,2052,811,1064,151,821,377,680,664,1508,311,258,907,662,2057,534,595,1103,1193,455,1229,1273,653,1415,1010,1087,1121
6,Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
7,RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-07 04:32:59,2018-06-07 04:39:29,2018-06-07 04:42:35,2018-06-07 05:45:30,2018-06-07 05:47:27,2018-06-08 04:33:52,2018-06-07 04:56:53,2018-06-07 05:05:38,2018-06-07 05:11:04,2018-06-07 05:12:07,2018-06-07 05:12:13,2018-06-07 04:38:49,2018-06-07 04:40:32,2018-06-07 04:41:08,2018-06-07 04:47:02,2018-06-07 04:54:25,2018-06-07 05:32:52,2018-06-07 06:07:21,2018-06-07 04:32:48,2018-06-07 04:48:08,2018-06-07 04:48:41,2018-06-07 04:51:02,2018-06-07 07:16:01,2018-06-08 04:30:57,2018-06-08 04:41:54,2018-06-08 05:41:48,2018-06-07 04:47:52,2018-06-07 04:52:24,2018-06-07 05:00:02,2018-06-07 05:02:51,2018-06-07 05:09:46,2018-06-07 05:48:33,2018-06-08 04:31:18,2018-06-07 04:51:29,2018-06-07 04:55:24,2018-06-07 05:06:34,2018-06-07 06:38:04,2018-06-07 06:44:07,2018-06-08 04:53:05,2018-06-08 05:46:20,2018-06-08 06:15:18,2018-06-07 04:53:34,2018-06-07 04:55:15,2018-06-07 05:00:14,2018-06-07 05:42:37,2018-06-07 07:50:55,2018-06-08 04:38:06,2018-06-07 04:40:22,2018-06-07 04:51:17,2018-06-07 05:06:44,2018-06-07 05:15:42,2018-06-07 06:24:54,2018-06-08 05:21:58,2018-06-07 04:38:04,2018-06-07 04:38:25,2018-06-07 04:43:00,2018-06-07 04:48:01,2018-06-07 05:09:17,2018-06-08 04:29:40,2018-06-07 04:29:48,2018-06-07 04:45:01,2018-06-07 04:54:25,2018-06-07 05:21:35,2018-06-07 05:49:44,2018-06-07 04:47:33,2018-06-07 04:57:27,2018-06-07 05:07:10,2018-06-07 05:14:33,2018-06-07 06:20:49,2018-06-08 05:57:45,2018-06-07 04:37:08,2018-06-07 04:50:51,2018-06-07 04:59:04,2018-06-07 05:06:56,2018-06-07 05:45:59
8,ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_2R7DQ2IRDFIyeRn,R_883i94DV4dQuEiR,R_1pAIbETAQh0OTju,R_20USM6QIIwJ3t96,R_3qfISvr9FrgFkqw,R_xEEXA3z59uwgp69,R_1Ny828OL3kKEX04,R_1gvGFbzDteCjD5W,R_O1Zv6hG8jcH7cyZ,R_3iyzwQy8PZ08LDg,R_2b3qU4SNylWBJvw,R_2EauiqocN9DqRMZ,R_31oQ1kryLE9AMKq,R_27lporB8KdYdZ4I,R_2Po46KibsJYk4XL,R_2ZDIJ20soWQHNO1,R_3JdY7uo4rM0ZExZ,R_5cHR7KRgL6TG6BP,R_3hEMoK30JNwNlzz,R_22FSTkafmtA1lko,R_1PRjCE9a6z82GxG,R_PYBWyCicsAE42Pv,R_2TnsysyJA578QCH,R_1q1B2bQSgLGhyJ4,R_2S7WFMCAW9gmhdB,R_3R9CWoL5vjVx1Vm,R_3NOsQmrn8CVVjHX,R_2Y99vmvmZD9Igrn,R_2urGHxwWAlyGdHu,R_1l011tD1Bg8DQy2,R_3fdaKyucMA6ueH8,R_2OJD0HQHgnW7TIm,R_38KUXmSBY0qHy4p,R_2Ce9onUvQQjCiGS,R_21cuWbYxhmQ9lCq,R_27x7GeRCFbfA0Ps,R_3Rf85R89Bo46ARh,R_3QGhT2z79AhcQ7w,R_22RAkTuWV17K2x8,R_2rHIELmmNt9i7TN,R_3Oe5xUruQDNJQnt,R_3sgkqeXS5mSH5qt,R_3nHt10lYNAiQigG,R_3ISLswL6vppB6AJ,R_3RgVGyKsN0qt4Hf,R_2wHJHyIhHfvmo9h,R_07fuxya8TFD822d,R_bC56Lvuly4rKCRP,R_Ap00PlqjpND5zot,R_1HiZPMDsByiIEPG,R_1jvUWvCVrHxOPaP,R_26evzLJuqRk5deP,R_511LoMDE2Z8LGAp,R_3qTJSADRUn7a3j2,R_2RRoxZuuBYPUMJT,R_2c57Hvsm5Asf1bS,R_1gSznyOVNi7tr7h,R_AEySi3L8fyqNGlb,R_43cMexxUEdZFOvL,R_2B4dlFaujcudGHi,R_3kjmdYqKVTQmctW,R_28SYDV6w7F4pTjc,R_1H7z3OpAcVKon5o,R_3rYeFmjlA6JRzCz,R_1jGFYFMKd2MjAet,R_12Rc88NieRTaw5S,R_3qNXmXQ8m5t60sN,R_3iqcID71slg3qNF,R_1ISCgMjTBzjsb7s,R_1NqZY0X15MszjSk,R_248jSr60q0E4zMP,R_2q4YVOKOy4M9l69,R_29tqGQIajUZLeeE,R_2tJziYe9uwnAkKg,R_9WWazB6nQFvh22l
