,question,option,full_text,dict_text,2,3,4,5,6,7,8,9
StartDate,"startDate,timeZone",,Start Date,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}",2018-06-07 04:24:45,2018-06-07 04:33:19,2018-06-07 04:30:37,2018-06-07 04:31:49,2018-06-07 06:59:26,2018-06-07 04:24:57,2018-06-07 04:39:40,2018-06-07 04:43:52
EndDate,"endDate,timeZone",,End Date,"{""ImportId"":""endDate"",""timeZone"":""America/Denver""}",2018-06-07 04:32:46,2018-06-07 04:48:07,2018-06-07 04:48:40,2018-06-07 04:51:01,2018-06-07 07:16:01,2018-06-07 04:30:52,2018-06-07 04:41:43,2018-06-07 05:41:43
Status,status,,Response Type,"{""ImportId"":""status""}",0,0,0,0,0,0,0,0
IPAddress,ipAddress,,IP Address,"{""ImportId"":""ipAddress""}",157.50.8.188,45.57.180.108,196.17.65.146,99.189.12.65,73.128.105.17,99.108.152.126,99.189.12.65,67.242.182.67
Progress,progress,,Progress,"{""ImportId"":""progress""}",100,100,100,100,100,55,34,47
Duration (in seconds),duration,,Duration (in seconds),"{""ImportId"":""duration""}",480,888,1083,1152,994,355,123,3470
Finished,finished,,Finished,"{""ImportId"":""finished""}",1,1,1,1,1,0,0,0
RecordedDate,"recordedDate,timeZone",,Recorded Date,"{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}",2018-06-07 04:32:48,2018-06-07 04:48:08,2018-06-07 04:48:41,2018-06-07 04:51:02,2018-06-07 07:16:01,2018-06-08 04:30:57,2018-06-08 04:41:54,2018-06-08 05:41:48
ResponseId,ID,"recordId""}",Response ID,"{""ImportId"":""_recordId""}",R_3hEMoK30JNwNlzz,R_22FSTkafmtA1lko,R_1PRjCE9a6z82GxG,R_PYBWyCicsAE42Pv,R_2TnsysyJA578QCH,R_1q1B2bQSgLGhyJ4,R_2S7WFMCAW9gmhdB,R_3R9CWoL5vjVx1Vm
RecipientLastName,recipientLastName,,Recipient Last Name,"{""ImportId"":""recipientLastName""}",,,,,,,,
RecipientFirstName,recipientFirstName,,Recipient First Name,"{""ImportId"":""recipientFirstName""}",,,,,,,,
RecipientEmail,recipientEmail,,Recipient Email,"{""ImportId"":""recipientEmail""}",,,,,,,,
ExternalReference,externalDataReference,,External Data Reference,"{""ImportId"":""externalDataReference""}",,,,,,,,
LocationLatitude,locationLatitude,,Location Latitude,"{""ImportId"":""locationLatitude""}",13.083297729492,32.960296630859,34.054397583008,32.658493041992,39.012496948242,,,
LocationLongitude,locationLongitude,,Location Longitude,"{""ImportId"":""locationLongitude""}",80.283294677734,-96.830001831055,-118.2440032959,-97.089797973633,-75.605102539062,,,
DistributionChannel,distributionChannel,,Distribution Channel,"{""ImportId"":""distributionChannel""}",anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous,anonymous
UserLanguage,userLanguage,,User Language,"{""ImportId"":""userLanguage""}",EN,EN,EN,EN,EN,EN,EN,EN
Q1.2,QID83,,"I am age 18 or older, I have read and understood the information above, I want to participate in this research and continue with the survey:","{""ImportId"":""QID83""}",1,1,1,1,1,1,1,1
Q1.3,gender,,To which gender identity do you most identify?,"{""ImportId"":""QID84""}",2,2,2,2,1,2,2,2
Q1.4,age,"TEXT""}",What is your age?,"{""ImportId"":""QID85_TEXT""}",26,44,28,26,37,23,60,39
Q1.5,education,,"What is the highest degree or level of school you have completed? (If 
you’re currently enrolled in school, please indicate the highest degree 
you have received.)","{""ImportId"":""QID86""}",7,6,3,5,4,5,2,3
Q2.1_1,BFI,1,I see myself as someone who is: - Is talkative,"{""ImportId"":""QID77_1""}",3,4,1,2,2,2,2,4
Q2.1_2,BFI,2,I see myself as someone who is: - Tends to find fault with others,"{""ImportId"":""QID77_2""}",4,3,2,2,5,1,2,4
Q2.1_3,BFI,3,I see myself as someone who is: - Does a thorough job,"{""ImportId"":""QID77_3""}",4,4,5,4,5,4,2,5
Q2.1_4,BFI,4,"I see myself as someone who is: - Is depressed, blue","{""ImportId"":""QID77_4""}",3,4,4,2,3,1,2,1
Q2.1_5,BFI,5,"I see myself as someone who is: - Is original, comes up with new ideas","{""ImportId"":""QID77_5""}",4,3,3,4,4,5,2,5
Q2.1_6,BFI,6,I see myself as someone who is: - Is reserved,"{""ImportId"":""QID77_6""}",3,4,2,4,4,3,2,2
Q2.1_7,BFI,7,I see myself as someone who is: - Is helpful and unselfish with others,"{""ImportId"":""QID77_7""}",4,4,1,2,4,5,2,4
Q2.1_8,BFI,8,I see myself as someone who is: - Can be somewhat careless,"{""ImportId"":""QID77_8""}",3,3,1,2,2,1,2,2
Q2.1_9,BFI,9,"I see myself as someone who is: - Is relaxed, handles stress well","{""ImportId"":""QID77_9""}",4,4,5,2,4,5,2,4
