,rationality,side,robot,feature,sub_scale,meaning,answers,userID,age,gender,education
0,,,participant,NARS,S1,Situations and Interactions with Robots,0.0,R_883i94DV4dQuEiR,22,female,MA
1,,,participant,NARS,S2,Social Influence of Robots,0.0,R_883i94DV4dQuEiR,22,female,MA
2,,,participant,NARS,S3,Emotions in Interaction with Robots,0.0,R_883i94DV4dQuEiR,22,female,MA
3,,,participant,BFI,S1,Extraversion,0.32500000000000007,R_883i94DV4dQuEiR,22,female,MA
4,,,participant,BFI,S2,Agreeableness,0.7777777777777778,R_883i94DV4dQuEiR,22,female,MA
5,,,participant,BFI,S3,Conscientiousness,0.6666666666666667,R_883i94DV4dQuEiR,22,female,MA
6,,,participant,BFI,S4,Neuroticism,0.8999999999999999,R_883i94DV4dQuEiR,22,female,MA
7,,,participant,BFI,S5,Openness,0.8,R_883i94DV4dQuEiR,22,female,MA
8,rational,right,red,Godspeed,S1,Anthropomorphism,0.0,R_883i94DV4dQuEiR,22,female,MA
9,rational,right,red,Godspeed,S2,Animacy,0.0,R_883i94DV4dQuEiR,22,female,MA
10,rational,right,red,Godspeed,S3,Likeability,0.0,R_883i94DV4dQuEiR,22,female,MA
11,rational,right,red,Godspeed,S4,Perceived Intelligence,0.0,R_883i94DV4dQuEiR,22,female,MA
12,rational,right,red,Godspeed,S5,Perceived Safety,0.0,R_883i94DV4dQuEiR,22,female,MA
13,half,left,blue,Godspeed,S1,Anthropomorphism,0.0,R_883i94DV4dQuEiR,22,female,MA
14,half,left,blue,Godspeed,S2,Animacy,0.0,R_883i94DV4dQuEiR,22,female,MA
15,half,left,blue,Godspeed,S3,Likeability,0.0,R_883i94DV4dQuEiR,22,female,MA
16,half,left,blue,Godspeed,S4,Perceived Intelligence,0.0,R_883i94DV4dQuEiR,22,female,MA
17,half,left,blue,Godspeed,S5,Perceived Safety,0.0,R_883i94DV4dQuEiR,22,female,MA
18,rational,right,red,r_preference,summary,Count (Normalized) participant chose this robot,0.8571428571428571,R_883i94DV4dQuEiR,22,female,MA
19,half,left,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.14285714285714285,R_883i94DV4dQuEiR,22,female,MA
20,rational,right,red,q_preference,prefer,Which robot would you prefer?,1.0,R_883i94DV4dQuEiR,22,female,MA
21,rational,right,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_883i94DV4dQuEiR,22,female,MA
