,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.6,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
4,participant,NARS,S2,Social Influence of Robots,0.76,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.7333333333333334,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
6,participant,BFI,S1,Extraversion,0.65,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
7,participant,BFI,S2,Agreeableness,0.6,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
8,participant,BFI,S3,Conscientiousness,0.6666666666666666,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
9,participant,BFI,S4,Neuroticism,0.5499999999999999,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
10,participant,BFI,S5,Openness,0.6799999999999999,R_2Ce9onUvQQjCiGS,26,2.0,5.0,,
11,red,Godspeed,S1,Anthropomorphism,0.8999999999999999,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
12,red,Godspeed,S2,Animacy,0.8666666666666667,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
13,red,Godspeed,S3,Likeability,0.8800000000000001,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
14,red,Godspeed,S4,Perceived Intelligence,0.8,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
15,red,Godspeed,S5,Perceived Safety,0.8666666666666667,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
16,blue,Godspeed,S1,Anthropomorphism,0.5333333333333333,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
17,blue,Godspeed,S2,Animacy,0.5333333333333333,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
18,blue,Godspeed,S3,Likeability,0.52,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
19,blue,Godspeed,S4,Perceived Intelligence,0.5333333333333333,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
20,blue,Godspeed,S5,Perceived Safety,0.5333333333333333,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
21,red,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
22,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
23,blue,q_preference,prefer,Which robot would you prefer?,2.0,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
24,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
25,blue,q_preference,member,Which robot do you think will serve as a good jury member?,2.0,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
26,blue,q_preference,analyst,Which robot do you think will be a better analyst?,2.0,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
27,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
28,red,q_preference,summary,Count (Normalized) participant chose this robot,0.4,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
33,red,preference,average,,0.41428571428571426,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
34,red,preference,std,,0.020203050891044183,R_2Ce9onUvQQjCiGS,26,2.0,5.0,left,half
35,blue,preference,average,,0.5714285714285714,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
36,blue,preference,std,,,R_2Ce9onUvQQjCiGS,26,2.0,5.0,right,irrational
3,participant,NARS,S1,Situations and Interactions with Robots,0.8333333333333334,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
4,participant,NARS,S2,Social Influence of Robots,0.68,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.8666666666666667,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
6,participant,BFI,S1,Extraversion,0.625,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
7,participant,BFI,S2,Agreeableness,0.6222222222222221,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
8,participant,BFI,S3,Conscientiousness,0.5555555555555556,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
9,participant,BFI,S4,Neuroticism,0.55,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
10,participant,BFI,S5,Openness,0.62,R_21cuWbYxhmQ9lCq,30,2.0,5.0,,
11,red,Godspeed,S1,Anthropomorphism,0.65,R_21cuWbYxhmQ9lCq,30,2.0,5.0,left,half
12,red,Godspeed,S2,Animacy,0.7000000000000001,R_21cuWbYxhmQ9lCq,30,2.0,5.0,left,half
13,red,Godspeed,S3,Likeability,0.72,R_21cuWbYxhmQ9lCq,30,2.0,5.0,left,half
14,red,Godspeed,S4,Perceived Intelligence,0.7,R_21cuWbYxhmQ9lCq,30,2.0,5.0,left,half
15,red,Godspeed,S5,Perceived Safety,0.7333333333333334,R_21cuWbYxhmQ9lCq,30,2.0,5.0,left,half
16,blue,Godspeed,S1,Anthropomorphism,0.55,R_21cuWbYxhmQ9lCq,30,2.0,5.0,right,irrational
17,blue,Godspeed,S2,Animacy,0.5666666666666667,R_21cuWbYxhmQ9lCq,30,2.0,5.0,right,irrational
