,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.3333333333333333,R_248jSr60q0E4zMP,34,2.0,3.0,,
4,participant,NARS,S2,Social Influence of Robots,0.76,R_248jSr60q0E4zMP,34,2.0,3.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.6,R_248jSr60q0E4zMP,34,2.0,3.0,,
6,participant,BFI,S1,Extraversion,0.27499999999999997,R_248jSr60q0E4zMP,34,2.0,3.0,,
7,participant,BFI,S2,Agreeableness,0.31111111111111117,R_248jSr60q0E4zMP,34,2.0,3.0,,
8,participant,BFI,S3,Conscientiousness,1.0,R_248jSr60q0E4zMP,34,2.0,3.0,,
9,participant,BFI,S4,Neuroticism,0.4500000000000001,R_248jSr60q0E4zMP,34,2.0,3.0,,
10,participant,BFI,S5,Openness,0.38,R_248jSr60q0E4zMP,34,2.0,3.0,,
11,red,Godspeed,S1,Anthropomorphism,0.2,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
12,red,Godspeed,S2,Animacy,0.26666666666666666,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
13,red,Godspeed,S3,Likeability,0.4000000000000001,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
14,red,Godspeed,S4,Perceived Intelligence,0.36,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
15,red,Godspeed,S5,Perceived Safety,0.5333333333333333,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
16,blue,Godspeed,S1,Anthropomorphism,0.2,R_248jSr60q0E4zMP,34,2.0,3.0,right,irrational
17,blue,Godspeed,S2,Animacy,0.19999999999999998,R_248jSr60q0E4zMP,34,2.0,3.0,right,irrational
18,blue,Godspeed,S3,Likeability,0.44000000000000006,R_248jSr60q0E4zMP,34,2.0,3.0,right,irrational
19,blue,Godspeed,S4,Perceived Intelligence,0.39999999999999997,R_248jSr60q0E4zMP,34,2.0,3.0,right,irrational
20,blue,Godspeed,S5,Perceived Safety,0.6,R_248jSr60q0E4zMP,34,2.0,3.0,right,irrational
21,red,r_preference,summary,Count (Normalized) participant chose this robot,1.0,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
22,blue,r_preference,summary,Count (Normalized) participant chose this robot,,R_248jSr60q0E4zMP,34,2.0,3.0,right,irrational
23,red,q_preference,prefer,Which robot would you prefer?,1.0,R_248jSr60q0E4zMP,34,2.0,3.0,left,rational
