,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.7000000000000001,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
4,participant,NARS,S2,Social Influence of Robots,0.76,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.3333333333333333,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
6,participant,BFI,S1,Extraversion,0.5750000000000001,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
7,participant,BFI,S2,Agreeableness,0.4666666666666667,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
8,participant,BFI,S3,Conscientiousness,0.5555555555555556,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
9,participant,BFI,S4,Neuroticism,0.6000000000000001,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
10,participant,BFI,S5,Openness,0.64,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,,
11,red,Godspeed,S1,Anthropomorphism,0.85,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,left,irrational
12,red,Godspeed,S2,Animacy,0.6,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,left,irrational
13,red,Godspeed,S3,Likeability,0.6000000000000001,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,left,irrational
14,red,Godspeed,S4,Perceived Intelligence,0.76,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,left,irrational
15,red,Godspeed,S5,Perceived Safety,0.46666666666666673,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,left,irrational
16,blue,Godspeed,S1,Anthropomorphism,0.55,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,right,rational
17,blue,Godspeed,S2,Animacy,0.6000000000000001,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,right,rational
18,blue,Godspeed,S3,Likeability,0.44000000000000006,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,right,rational
19,blue,Godspeed,S4,Perceived Intelligence,0.6,R_aXocArydFBAUV93,Natoque ligula vel pede pede. Accumsan dapibus ridiculus dictumst iaculis ac. Consectetuer sodales. Facilisis.,1.0,1.0,right,rational
