,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.7000000000000001,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
4,participant,NARS,S2,Social Influence of Robots,0.7600000000000001,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
6,participant,BFI,S1,Extraversion,0.65,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
7,participant,BFI,S2,Agreeableness,0.6222222222222222,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
8,participant,BFI,S3,Conscientiousness,0.6222222222222222,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
9,participant,BFI,S4,Neuroticism,0.65,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
10,participant,BFI,S5,Openness,0.7,R_bC56Lvuly4rKCRP,84,2.0,6.0,,
11,red,Godspeed,S1,Anthropomorphism,0.4000000000000001,R_bC56Lvuly4rKCRP,84,2.0,6.0,right,half
12,red,Godspeed,S2,Animacy,0.5666666666666667,R_bC56Lvuly4rKCRP,84,2.0,6.0,right,half
13,red,Godspeed,S3,Likeability,0.48,R_bC56Lvuly4rKCRP,84,2.0,6.0,right,half
14,red,Godspeed,S4,Perceived Intelligence,0.4,R_bC56Lvuly4rKCRP,84,2.0,6.0,right,half
15,red,Godspeed,S5,Perceived Safety,0.4000000000000001,R_bC56Lvuly4rKCRP,84,2.0,6.0,right,half
16,blue,Godspeed,S1,Anthropomorphism,0.8,R_bC56Lvuly4rKCRP,84,2.0,6.0,left,irrational
17,blue,Godspeed,S2,Animacy,0.8333333333333334,R_bC56Lvuly4rKCRP,84,2.0,6.0,left,irrational
18,blue,Godspeed,S3,Likeability,0.8800000000000001,R_bC56Lvuly4rKCRP,84,2.0,6.0,left,irrational
19,blue,Godspeed,S4,Perceived Intelligence,0.8799999999999999,R_bC56Lvuly4rKCRP,84,2.0,6.0,left,irrational
20,blue,Godspeed,S5,Perceived Safety,0.9333333333333332,R_bC56Lvuly4rKCRP,84,2.0,6.0,left,irrational
