,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.7333333333333334,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
4,participant,NARS,S2,Social Influence of Robots,0.68,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.6666666666666666,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
6,participant,BFI,S1,Extraversion,0.575,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
7,participant,BFI,S2,Agreeableness,0.6222222222222222,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
8,participant,BFI,S3,Conscientiousness,0.6666666666666666,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
9,participant,BFI,S4,Neuroticism,0.625,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
10,participant,BFI,S5,Openness,0.6799999999999999,R_3hEMoK30JNwNlzz,26,2.0,7.0,,
11,red,Godspeed,S1,Anthropomorphism,0.8000000000000002,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
12,red,Godspeed,S2,Animacy,0.76,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
13,red,Godspeed,S3,Likeability,0.7200000000000001,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
14,red,Godspeed,S4,Perceived Intelligence,0.6799999999999999,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
15,red,Godspeed,S5,Perceived Safety,0.7333333333333334,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
16,blue,Godspeed,S1,Anthropomorphism,0.5,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
17,blue,Godspeed,S2,Animacy,0.5000000000000001,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
18,blue,Godspeed,S3,Likeability,0.48,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
19,blue,Godspeed,S4,Perceived Intelligence,0.52,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
20,blue,Godspeed,S5,Perceived Safety,0.4666666666666666,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
21,red,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
22,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
23,blue,q_preference,prefer,Which robot would you prefer?,2.0,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
24,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
25,blue,q_preference,member,Which robot do you think will serve as a good jury member?,2.0,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
26,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
27,blue,q_preference,bartender,Which robot would you like as a bartender?,2.0,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
28,red,q_preference,summary,Count (Normalized) participant chose this robot,0.4,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
33,red,preference,average,,0.4857142857142857,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
34,red,preference,std,,0.12121830534626525,R_3hEMoK30JNwNlzz,26,2.0,7.0,right,half
35,blue,preference,average,,0.42857142857142855,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
36,blue,preference,std,,,R_3hEMoK30JNwNlzz,26,2.0,7.0,left,rational
3,participant,NARS,S1,Situations and Interactions with Robots,0.7999999999999999,R_22FSTkafmtA1lko,44,2.0,6.0,,
4,participant,NARS,S2,Social Influence of Robots,0.8400000000000001,R_22FSTkafmtA1lko,44,2.0,6.0,,
