,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.4000000000000001,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
4,participant,NARS,S2,Social Influence of Robots,0.5599999999999999,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.39999999999999997,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
6,participant,BFI,S1,Extraversion,0.44999999999999996,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
7,participant,BFI,S2,Agreeableness,0.8888888888888888,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
8,participant,BFI,S3,Conscientiousness,0.9333333333333331,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
9,participant,BFI,S4,Neuroticism,0.22499999999999998,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
10,participant,BFI,S5,Openness,0.6599999999999999,R_3qTJSADRUn7a3j2,33,2.0,4.0,,
11,red,Godspeed,S1,Anthropomorphism,0.2,R_3qTJSADRUn7a3j2,33,2.0,4.0,right,irrational
12,red,Godspeed,S2,Animacy,0.4333333333333333,R_3qTJSADRUn7a3j2,33,2.0,4.0,right,irrational
13,red,Godspeed,S3,Likeability,0.6,R_3qTJSADRUn7a3j2,33,2.0,4.0,right,irrational
14,red,Godspeed,S4,Perceived Intelligence,0.48,R_3qTJSADRUn7a3j2,33,2.0,4.0,right,irrational
15,red,Godspeed,S5,Perceived Safety,0.5333333333333333,R_3qTJSADRUn7a3j2,33,2.0,4.0,right,irrational
16,blue,Godspeed,S1,Anthropomorphism,0.2,R_3qTJSADRUn7a3j2,33,2.0,4.0,left,rational
17,blue,Godspeed,S2,Animacy,0.4333333333333333,R_3qTJSADRUn7a3j2,33,2.0,4.0,left,rational
18,blue,Godspeed,S3,Likeability,0.6,R_3qTJSADRUn7a3j2,33,2.0,4.0,left,rational
19,blue,Godspeed,S4,Perceived Intelligence,0.6,R_3qTJSADRUn7a3j2,33,2.0,4.0,left,rational
20,blue,Godspeed,S5,Perceived Safety,0.6,R_3qTJSADRUn7a3j2,33,2.0,4.0,left,rational
