,robot,feature,sub_scale,meaning,answers,userID,age,gender,education,side,rationality
3,participant,NARS,S1,Situations and Interactions with Robots,0.7000000000000001,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
4,participant,NARS,S2,Social Influence of Robots,0.6799999999999999,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.7333333333333334,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
6,participant,BFI,S1,Extraversion,0.6,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
7,participant,BFI,S2,Agreeableness,0.5555555555555556,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
8,participant,BFI,S3,Conscientiousness,0.6222222222222222,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
9,participant,BFI,S4,Neuroticism,0.675,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
10,participant,BFI,S5,Openness,0.6599999999999999,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,,
11,red,Godspeed,S1,Anthropomorphism,0.75,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
12,red,Godspeed,S2,Animacy,0.6666666666666666,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
13,red,Godspeed,S3,Likeability,0.72,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
14,red,Godspeed,S4,Perceived Intelligence,0.76,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
15,red,Godspeed,S5,Perceived Safety,0.6666666666666666,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
16,blue,Godspeed,S1,Anthropomorphism,0.65,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
17,blue,Godspeed,S2,Animacy,0.6666666666666666,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
18,blue,Godspeed,S3,Likeability,0.6799999999999999,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
19,blue,Godspeed,S4,Perceived Intelligence,0.7200000000000001,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
20,blue,Godspeed,S5,Perceived Safety,0.6666666666666666,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
21,red,r_preference,summary,Count (Normalized) participant chose this robot,0.5714285714285714,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
22,blue,r_preference,summary,Count (Normalized) participant chose this robot,0.42857142857142855,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
23,blue,q_preference,prefer,Which robot would you prefer?,2.0,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
24,red,q_preference,portfolio,Which robot would you trust to manage your investments portfolio?,1.0,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
25,blue,q_preference,member,Which robot do you think will serve as a good jury member?,2.0,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
26,red,q_preference,analyst,Which robot do you think will be a better analyst?,1.0,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
27,red,q_preference,bartender,Which robot would you like as a bartender?,1.0,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
28,red,q_preference,summary,Count (Normalized) participant chose this robot,0.6,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
33,red,preference,average,,0.5857142857142856,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
34,red,preference,std,,0.02020305089104422,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,right,rational
35,blue,preference,average,,0.42857142857142855,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
36,blue,preference,std,,,R_2R7DQ2IRDFIyeRn,32,2.0,6.0,left,half
3,participant,NARS,S1,Situations and Interactions with Robots,0.4666666666666666,R_883i94DV4dQuEiR,22,1.0,5.0,,
4,participant,NARS,S2,Social Influence of Robots,0.64,R_883i94DV4dQuEiR,22,1.0,5.0,,
5,participant,NARS,S3,Emotions in Interaction with Robots,0.26666666666666666,R_883i94DV4dQuEiR,22,1.0,5.0,,
6,participant,BFI,S1,Extraversion,0.32500000000000007,R_883i94DV4dQuEiR,22,1.0,5.0,,
